bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,docs.stopped,image_2.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,31.6235364000313,31.6235364000313,space,74.35568290017545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
,,,,,,,,,106.01339490013197,106.01339490013197,space,33.64320749999024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,15,0,15,0,,,,,,,,,,None,278.329797900049,278.329797900049,278.329797900049,278.329797900049,278.329797900049,278.329797900049,f,0.7501071998849511,279.113254400203,279.113254400203,279.113254400203,279.113254400203,279.113254400203,279.113254400203,279.41035070014186,279.41035070014186,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,280.3245254000649,282.8339156000875,282.8339156000875,282.8339156000875,282.8339156000875,282.8339156000875,74,40,45,35,40,63,6.0,1.2792585000861436,284.1298692000564,285.90899710007943,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,16,0,16,0,,,,,,,,,,None,285.90899710007943,285.90899710007943,285.90899710007943,285.90899710007943,285.90899710007943,285.90899710007943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,44,42,27,0,**,None,None,291.9419460000936,293.6545155001804,287.4295747000724,291.9419460000936,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,17,0,17,0,,,,,,,,,,None,293.6545155001804,293.6545155001804,293.6545155001804,293.6545155001804,293.6545155001804,293.6545155001804,i,1.4255858000833541,295.10393880004995,295.10393880004995,295.10393880004995,295.10393880004995,295.10393880004995,295.10393880004995,295.3999899001792,295.3999899001792,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,297.1457688000519,299.6545460000634,299.6545460000634,299.6545460000634,299.6545460000634,299.6545460000634,77,41,42,35,42,56,3.0,2.0776152999605983,301.7489129002206,303.2949589001946,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,18,0,18,0,,,,,,,,,,None,303.2949589001946,303.2949589001946,303.2949589001946,303.2949589001946,303.2949589001946,303.2949589001946,r,0.36815820005722344,303.69510050001554,303.69510050001554,303.69510050001554,303.69510050001554,303.69510050001554,303.69510050001554,303.99406270007603,303.99406270007603,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,305.72204040014185,308.2311475002207,308.2311475002207,308.2311475002207,308.2311475002207,308.2311475002207,64,39,46,33,64,68,3.0,2.143881200114265,310.39165900019,312.10459180013277,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,19,0,19,0,,,,,,,,,,None,312.10459180013277,312.10459180013277,312.10459180013277,312.10459180013277,312.10459180013277,312.10459180013277,r,0.4297009001020342,312.5559869001154,312.5559869001154,312.5559869001154,312.5559869001154,312.5559869001154,312.5559869001154,312.8524823000189,312.8524823000189,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,314.3315606000833,316.84100870019756,316.84100870019756,316.84100870019756,316.84100870019756,316.84100870019756,66,40,52,27,66,72,2.0,2.3927735998295248,319.25083640008233,320.9467704000417,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,20,0,20,0,,,,,,,,,,None,320.9467704000417,320.9467704000417,320.9467704000417,320.9467704000417,320.9467704000417,320.9467704000417,r,0.694803899852559,321.66415660013445,321.66415660013445,321.66415660013445,321.66415660013445,321.66415660013445,321.66415660013445,321.9610685000662,321.9610685000662,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,322.9414588001091,325.450765500078,325.450765500078,325.450765500078,325.450765500078,325.450765500078,59,43,57,23,59,46,5.0,1.42830799985677,326.8966019002255,328.47626020014286,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,21,0,21,0,,,,,,,,,,None,328.47626020014286,328.47626020014286,328.47626020014286,328.47626020014286,328.47626020014286,328.47626020014286,r,0.7335969998966902,329.2412056000903,329.2412056000903,329.2412056000903,329.2412056000903,329.2412056000903,329.2412056000903,329.5402250001207,329.5402250001207,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,330.7036694001872,333.2128068001475,333.2128068001475,333.2128068001475,333.2128068001475,333.2128068001475,66,45,65,22,66,71,4.0,2.110825899988413,335.3404282000847,336.85360060003586,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,22,0,22,0,,,,,,,,,,None,336.85360060003586,336.85360060003586,336.85360060003586,336.85360060003586,336.85360060003586,336.85360060003586,f,0.34263539989478886,337.2205712001305,337.2205712001305,337.2205712001305,337.2205712001305,337.2205712001305,337.2205712001305,337.5185621001292,337.5185621001292,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,338.34944440005347,340.8586808000691,340.8586808000691,340.8586808000691,340.8586808000691,340.8586808000691,63,46,55,21,46,51,3.0,1.344952399842441,342.22158450004645,344.08346710004844,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,23,0,23,0,,,,,,,,,,None,344.08346710004844,344.08346710004844,344.08346710004844,344.08346710004844,344.08346710004844,344.08346710004844,r,0.5561512999702245,344.66625800007023,344.66625800007023,344.66625800007023,344.66625800007023,344.66625800007023,344.66625800007023,344.9649346000515,344.9649346000515,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,345.9620035002008,348.47124790004455,348.47124790004455,348.47124790004455,348.47124790004455,348.47124790004455,55,42,56,27,55,44,5.0,1.811463100137189,350.2993500002194,352.14621080015786,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
1,24,0,24,0,,,,,,,,,,None,352.14621080015786,352.14621080015786,352.14621080015786,352.14621080015786,352.14621080015786,352.14621080015786,r,0.8206899999640882,352.9944842001423,352.9944842001423,352.9944842001423,352.9944842001423,352.9944842001423,352.9944842001423,353.29217880009674,353.29217880009674,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,354.97085180017166,357.47986480011605,357.47986480011605,357.47986480011605,357.47986480011605,357.47986480011605,54,36,45,25,54,56,4.0,2.55903959996067,360.05636500008404,361.9521799001377,,,,,,,,,,101,f,18,2022-11-25_09h30.54.357,RL,2022.2.4,60.213505059725385,
