bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,image_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,34.983798100147396,34.983798100147396,space,11.241416200064123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
,,,,,,,,,46.25367720006034,46.25367720006034,y,40.4130500999745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,116,0,116,0,,,,,,,,,,None,1072.6805835999548,1072.6805835999548,1072.6805835999548,1072.6805835999548,1072.6805835999548,1072.6805835999548,r,1.1944613000378013,1073.8969740001485,1073.8969740001485,1073.8969740001485,1073.8969740001485,1073.8969740001485,1073.8969740001485,1074.1934440999757,1074.1934440999757,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1075.639336100081,1078.1480956000742,1078.1480956000742,1078.1480956000742,1078.1480956000742,1078.1480956000742,47,37,37,52,47,76,3.0,1.1298307999968529,1079.2952944000717,1080.9911820001435,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,117,0,117,0,,,,,,,,,,None,1080.9911820001435,1080.9911820001435,1080.9911820001435,1080.9911820001435,1080.9911820001435,1080.9911820001435,f,0.9007353000342846,1081.9231642000377,1081.9231642000377,1081.9231642000377,1081.9231642000377,1081.9231642000377,1081.9231642000377,1082.2211017999798,1082.2211017999798,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1084.0162243000232,1086.5257209001575,1086.5257209001575,1086.5257209001575,1086.5257209001575,1086.5257209001575,58,31,44,50,31,75,3.0,1.6611256999894977,1088.2038302000146,1089.999942400027,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,118,0,118,0,,,,,,,,,,None,1089.999942400027,1089.999942400027,1089.999942400027,1089.999942400027,1089.999942400027,1089.999942400027,r,0.2951422999612987,1090.3177982999478,1090.3177982999478,1090.3177982999478,1090.3177982999478,1090.3177982999478,1090.3177982999478,1090.6152680001687,1090.6152680001687,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1091.8451491000596,1094.3540213999804,1094.3540213999804,1094.3540213999804,1094.3540213999804,1094.3540213999804,57,37,49,48,57,82,3.0,1.8444377998821437,1096.215661100112,1097.9614798000548,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,119,0,119,0,,,,,,,,,,None,1097.9614798000548,1097.9614798000548,1097.9614798000548,1097.9614798000548,1097.9614798000548,1097.9614798000548,i,0.5199494999833405,1098.5106065999717,1098.5106065999717,1098.5106065999717,1098.5106065999717,1098.5106065999717,1098.5106065999717,1098.8095719001722,1098.8095719001722,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1100.538217100082,1103.0469725001603,1103.0469725001603,1103.0469725001603,1103.0469725001603,1103.0469725001603,53,33,40,48,40,70,2.0,1.9436060001607984,1105.0084019999485,1106.6209663001355,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,120,0,120,0,,,,,,,,,,None,1106.6209663001355,1106.6209663001355,1106.6209663001355,1106.6209663001355,1106.6209663001355,1106.6209663001355,i,1.0366777000017464,1107.687151900027,1107.687151900027,1107.687151900027,1107.687151900027,1107.687151900027,1107.687151900027,1107.9844400000293,1107.9844400000293,1109.8295491000172,1109.8295491000172,1109.8295491000172,1109.8295491000172,1109.8295491000172,1109.8295491000172,1109.8127040001564,1109.8127040001564,1109.8295491000172,1109.8295491000172,1109.8295491000172,1109.8295491000172,1109.8295491000172,1109.8295491000172,1109.8295491000172,1109.8295491000172,1109.8295491000172,1112.3385231001303,1112.3385231001303,1112.3385231001303,1112.3385231001303,1112.3385231001303,58,37,43,49,43,82,2.0,2.1266616999637336,1114.4825718000066,1116.2617015000433,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,121,0,121,0,,,,,,,,,,None,1116.2617015000433,1116.2617015000433,1116.2617015000433,1116.2617015000433,1116.2617015000433,1116.2617015000433,f,0.46216679993085563,1116.7453557001427,1116.7453557001427,1116.7453557001427,1116.7453557001427,1116.7453557001427,1116.7453557001427,1117.0429154001176,1117.0429154001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1117.8739911001176,1120.3827512001153,1120.3827512001153,1120.3827512001153,1120.3827512001153,1120.3827512001153,51,30,41,45,30,72,2.0,1.6282619999255985,1122.0287771001458,1123.7413966001477,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,122,0,122,0,,,,,,,,,,None,1123.7413966001477,1123.7413966001477,1123.7413966001477,1123.7413966001477,1123.7413966001477,1123.7413966001477,f,1.3746692000422627,1125.1378232000861,1125.1378232000861,1125.1378232000861,1125.1378232000861,1125.1378232000861,1125.1378232000861,1125.4366077999584,1125.4366077999584,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1127.1654124001507,1129.6744709999766,1129.6744709999766,1129.6744709999766,1129.6744709999766,1129.6744709999766,59,44,46,52,44,80,2.0,2.2265916001051664,1131.917967400048,1133.7473167001735,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,123,0,123,0,,,,,,,,,,None,1133.7473167001735,1133.7473167001735,1133.7473167001735,1133.7473167001735,1133.7473167001735,1133.7473167001735,r,1.364263999974355,1135.1451006000862,1135.1451006000862,1135.1451006000862,1135.1451006000862,1135.1451006000862,1135.1451006000862,1135.4430182001088,1135.4430182001088,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1136.43996720016,1138.9493426999543,1138.9493426999543,1138.9493426999543,1138.9493426999543,1138.9493426999543,57,42,45,55,57,76,3.0,2.0932440001051873,1141.0600108001381,1142.822377000004,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,124,0,124,0,,,,,,,,,,None,1142.822377000004,1142.822377000004,1142.822377000004,1142.822377000004,1142.822377000004,1142.822377000004,f,1.251356199849397,1144.1041974001564,1144.1041974001564,1144.1041974001564,1144.1041974001564,1144.1041974001564,1144.1041974001564,1144.401416900102,1144.401416900102,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1145.3491182001308,1147.8583192001097,1147.8583192001097,1147.8583192001097,1147.8583192001097,1147.8583192001097,60,48,42,57,48,77,3.0,1.8444900999311358,1149.7197082999628,1151.2826982999686,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
1,125,0,125,0,,,,,,,,,,None,1151.2826982999686,1151.2826982999686,1151.2826982999686,1151.2826982999686,1151.2826982999686,1151.2826982999686,i,1.0281434999778867,1152.3315145999659,1152.3315145999659,1152.3315145999659,1152.3315145999659,1152.3315145999659,1152.3315145999659,1152.6293275000062,1152.6293275000062,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1153.5265030001756,1156.035994300153,1156.035994300153,1156.035994300153,1156.035994300153,1156.035994300153,55,46,50,61,50,75,3.0,1.5451831999234855,1157.5982924001291,1159.3767811001744,,,,,,,,,150,m,18,2023-04-05_11h10.38.135,RL,2022.2.4,59.943557079744096,
