bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,docs.stopped,image_2.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,27.030220283952076,27.030220283952076,space,9.78126354701817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
,,,,,,,,,36.9060223599663,36.9060223599663,space,16.728431362018455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,27,0,27,0,,,,,,,,,,None,280.3210533919628,280.3210533919628,280.3210533919628,280.3210533919628,280.3210533919628,280.3210533919628,r,0.6916051650187001,281.08154829900013,281.08154829900013,281.08154829900013,281.08154829900013,281.08154829900013,281.08154829900013,281.37260522000724,281.37260522000724,282.4431206919835,282.4431206919835,282.4876707599615,282.4876707599615,282.4876707599615,282.4876707599615,282.4876707599615,282.4876707599615,282.4876707599615,282.4876707599615,282.4876707599615,282.4876707599615,282.4876707599615,282.4876707599615,282.4876707599615,282.4876707599615,282.4876707599615,285.0152537939721,285.0152537939721,285.0152537939721,285.0152537939721,285.0152537939721,81,26,73,57,81,25,7.0,0.8447762580472045,285.89269899996,287.6525036729872,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,28,0,28,0,,,,,,,,,,None,287.6525036729872,287.6525036729872,287.6525036729872,287.6525036729872,287.6525036729872,287.6525036729872,i,0.5271257639979012,288.2461302909651,288.2461302909651,288.2461302909651,288.2461302909651,288.2461302909651,288.2461302909651,288.5531908329576,288.5531908329576,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,290.35950443998445,292.8615196669707,292.8615196669707,292.8615196669707,292.8615196669707,292.8615196669707,68,30,72,56,72,48,7.0,1.0356216270010918,293.91048437397694,295.6747439460014,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,29,0,29,0,,,,,,,,,,None,295.6747439460014,295.6747439460014,295.6747439460014,295.6747439460014,295.6747439460014,295.6747439460014,i,0.4793136340449564,296.2415009489632,296.2415009489632,296.2415009489632,296.2415009489632,296.2415009489632,296.2415009489632,296.5158603619784,296.5158603619784,297.9022619819734,297.9022619819734,297.93520046799676,297.93520046799676,297.93520046799676,297.93520046799676,297.93520046799676,297.93520046799676,297.93520046799676,297.93520046799676,297.93520046799676,297.93520046799676,297.93520046799676,297.93520046799676,297.93520046799676,297.93520046799676,297.93520046799676,300.48512552300235,300.48512552300235,300.48512552300235,300.48512552300235,300.48512552300235,68,28,72,55,72,63,7.0,1.0595345880137756,301.55878480296815,303.48279411596013,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,30,0,30,0,,,,,,,,,,None,303.48279411596013,303.48279411596013,303.48279411596013,303.48279411596013,303.48279411596013,303.48279411596013,i,0.3821166770067066,303.93261362198973,303.93261362198973,303.93261362198973,303.93261362198973,303.93261362198973,303.93261362198973,304.20957296999404,304.20957296999404,306.1925510279834,306.1925510279834,306.2343365519773,306.2343365519773,306.2343365519773,306.2343365519773,306.2343365519773,306.2343365519773,306.2343365519773,306.2343365519773,306.2343365519773,306.2343365519773,306.2343365519773,306.2343365519773,306.2343365519773,306.2343365519773,306.2343365519773,308.77341722196434,308.77341722196434,308.77341722196434,308.77341722196434,308.77341722196434,52,24,77,48,77,22,7.0,1.8160270149819553,310.614767741994,312.19578815298155,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,31,0,31,0,,,,,,,,,,None,312.19578815298155,312.19578815298155,312.19578815298155,312.19578815298155,312.19578815298155,312.19578815298155,j,0.5320728350197896,312.82529710797826,312.82529710797826,312.82529710797826,312.82529710797826,312.82529710797826,312.82529710797826,313.10185327695217,313.10185327695217,314.41518195095705,314.41518195095705,314.4485125239589,314.4485125239589,314.4485125239589,314.4485125239589,314.4485125239589,314.4485125239589,314.4485125239589,314.4485125239589,314.4485125239589,314.4485125239589,314.4485125239589,314.4485125239589,314.4485125239589,314.4485125239589,314.4485125239589,316.972867533972,316.972867533972,316.972867533972,316.972867533972,316.972867533972,62,29,74,55,55,53,7.0,1.0798888169811107,318.0861092080013,319.7417187409592,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,32,0,32,0,,,,,,,,,,None,319.7417187409592,319.7417187409592,319.7417187409592,319.7417187409592,319.7417187409592,319.7417187409592,j,0.2411975099821575,320.1011442729505,320.1011442729505,320.1011442729505,320.1011442729505,320.1011442729505,320.1011442729505,320.36157380597433,320.36157380597433,321.5835213380051,321.5835213380051,321.62950883898884,321.62950883898884,321.62950883898884,321.62950883898884,321.62950883898884,321.62950883898884,321.62950883898884,321.62950883898884,321.62950883898884,321.62950883898884,321.62950883898884,321.62950883898884,321.62950883898884,321.62950883898884,321.62950883898884,324.1496710439678,324.1496710439678,324.1496710439678,324.1496710439678,324.1496710439678,60,35,70,54,54,62,7.0,0.631931577983778,324.8037103450042,326.6061910809949,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,33,0,33,0,,,,,,,,,,None,326.6061910809949,326.6061910809949,326.6061910809949,326.6061910809949,326.6061910809949,326.6061910809949,r,0.3363276510499418,327.06913079397054,327.06913079397054,327.06913079397054,327.06913079397054,327.06913079397054,327.06913079397054,327.30165813397616,327.30165813397616,328.25596228195354,328.25596228195354,328.34125704399776,328.34125704399776,328.34125704399776,328.34125704399776,328.34125704399776,328.34125704399776,328.34125704399776,328.34125704399776,328.34125704399776,328.34125704399776,328.34125704399776,328.34125704399776,328.34125704399776,328.34125704399776,328.34125704399776,330.85291415295796,330.85291415295796,330.85291415295796,330.85291415295796,330.85291415295796,60,36,75,53,60,53,7.0,0.9105579479946755,331.7871825869661,333.43005710997386,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,34,0,34,0,,,,,,,,,,None,333.43005710997386,333.43005710997386,333.43005710997386,333.43005710997386,333.43005710997386,333.43005710997386,j,0.24191138497553766,333.81221019796794,333.81221019796794,333.81221019796794,333.81221019796794,333.81221019796794,333.81221019796794,334.0530394279631,334.0530394279631,335.1936780239921,335.1936780239921,335.26255748799304,335.26255748799304,335.26255748799304,335.26255748799304,335.26255748799304,335.26255748799304,335.26255748799304,335.26255748799304,335.26255748799304,335.26255748799304,335.26255748799304,335.26255748799304,335.26255748799304,335.26255748799304,335.26255748799304,337.77330715500284,337.77330715500284,337.77330715500284,337.77330715500284,337.77330715500284,59,34,70,58,58,62,6.0,1.6606034509604797,339.45575773197925,341.2781097459956,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,35,0,35,0,,,,,,,,,,None,341.2781097459956,341.2781097459956,341.2781097459956,341.2781097459956,341.2781097459956,341.2781097459956,r,0.304475734999869,341.68363749596756,341.68363749596756,341.68363749596756,341.68363749596756,341.68363749596756,341.68363749596756,341.9261800579843,341.9261800579843,343.79967294895323,343.79967294895323,343.8360993429669,343.8360993429669,343.8360993429669,343.8360993429669,343.8360993429669,343.8360993429669,343.8360993429669,343.8360993429669,343.8360993429669,343.8360993429669,343.8360993429669,343.8360993429669,343.8360993429669,343.8360993429669,343.8360993429669,346.34401770099066,346.34401770099066,346.34401770099066,346.34401770099066,346.34401770099066,63,35,77,57,63,51,7.0,1.8568160269642249,348.2218479209696,349.9717446619761,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
1,36,0,36,0,,,,,,,,,,None,349.9717446619761,349.9717446619761,349.9717446619761,349.9717446619761,349.9717446619761,349.9717446619761,i,0.5727292759693228,350.63307552895276,350.63307552895276,350.63307552895276,350.63307552895276,350.63307552895276,350.63307552895276,350.9029167959816,350.9029167959816,352.7968414009665,352.7968414009665,352.8265882759588,352.8265882759588,352.8265882759588,352.8265882759588,352.8265882759588,352.8265882759588,352.8265882759588,352.8265882759588,352.8265882759588,352.8265882759588,352.8265882759588,352.8265882759588,352.8265882759588,352.8265882759588,352.8265882759588,355.361029194959,355.361029194959,355.361029194959,355.361029194959,355.361029194959,61,26,67,52,67,55,7.0,0.5807223650044762,355.95139220700366,357.5783420969965,,,,,,,,102,f,25,2022-11-25_09h32.03.107,RL,2022.2.4,None,
