bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,image_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,21.268718500155956,21.268718500155956,space,1.2790063999127597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
,,,,,,,,,22.574301900109276,22.574301900109276,y,13.951844099909067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,41,0,41,0,,,,,,,,,,None,342.90722630009986,342.90722630009986,342.90722630009986,342.90722630009986,342.90722630009986,342.90722630009986,r,0.2823956999927759,343.2235520000104,343.2235520000104,343.2235520000104,343.2235520000104,343.2235520000104,343.2235520000104,343.5226517000701,343.5226517000701,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,344.76908540003933,347.27786080003716,347.27786080003716,347.27786080003716,347.27786080003716,347.27786080003716,32,62,30,32,32,70,1.0,0.3973042001016438,347.6938047001604,349.6886941001285,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,42,0,42,0,,,,,,,,,,None,349.6886941001285,349.6886941001285,349.6886941001285,349.6886941001285,349.6886941001285,349.6886941001285,f,0.29005379998125136,350.0075685000047,350.0075685000047,350.0075685000047,350.0075685000047,350.0075685000047,350.0075685000047,350.3035828000866,350.3035828000866,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,351.84979350003414,354.35847269999795,354.35847269999795,354.35847269999795,354.35847269999795,354.35847269999795,31,58,35,26,58,81,1.0,0.6474225001875311,355.0236271000467,356.9357255001087,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,43,0,43,0,,,,,,,,,,None,356.9357255001087,356.9357255001087,356.9357255001087,356.9357255001087,356.9357255001087,356.9357255001087,f,0.33631489984691143,357.3037709000055,357.3037709000055,357.3037709000055,357.3037709000055,357.3037709000055,357.3037709000055,357.6007282999344,357.6007282999344,359.09666030015796,359.09666030015796,359.09666030015796,359.09666030015796,359.09666030015796,359.09666030015796,359.07994189998135,359.07994189998135,359.09666030015796,359.09666030015796,359.09666030015796,359.09666030015796,359.09666030015796,359.09666030015796,359.09666030015796,359.09666030015796,359.09666030015796,361.60568960011005,361.60568960011005,361.60568960011005,361.60568960011005,361.60568960011005,27,55,24,34,55,66,1.0,0.6307089000474662,362.25388230010867,363.9333115001209,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,44,0,44,0,,,,,,,,,,None,363.9333115001209,363.9333115001209,363.9333115001209,363.9333115001209,363.9333115001209,363.9333115001209,i,0.42799759982153773,364.38352259993553,364.38352259993553,364.38352259993553,364.38352259993553,364.38352259993553,364.38352259993553,364.68129490013234,364.68129490013234,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,366.50984110007994,369.0188297999557,369.0188297999557,369.0188297999557,369.0188297999557,369.0188297999557,33,67,27,25,27,67,1.0,0.7797981000039726,369.8167159999721,371.64553480013274,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,45,0,45,0,,,,,,,,,,None,371.64553480013274,371.64553480013274,371.64553480013274,371.64553480013274,371.64553480013274,371.64553480013274,j,0.7478279999922961,372.41152369999327,372.41152369999327,372.41152369999327,372.41152369999327,372.41152369999327,372.41152369999327,372.70961090014316,372.70961090014316,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,374.35491160000674,376.86408630013466,376.86408630013466,376.86408630013466,376.86408630013466,376.86408630013466,27,63,32,20,20,66,1.0,0.5476634001825005,377.4292866999749,379.04215340013616,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,46,0,46,0,,,,,,,,,,None,379.04215340013616,379.04215340013616,379.04215340013616,379.04215340013616,379.04215340013616,379.04215340013616,f,0.29991429997608066,379.3758249001112,379.3758249001112,379.3758249001112,379.3758249001112,379.3758249001112,379.3758249001112,379.67395590012893,379.67395590012893,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,381.5687482000794,384.07783690001816,384.07783690001816,384.07783690001816,384.07783690001816,384.07783690001816,24,63,35,33,63,61,5.0,0.581211999990046,384.67585100000724,386.23859159997664,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,47,0,47,0,,,,,,,,,,None,386.23859159997664,386.23859159997664,386.23859159997664,386.23859159997664,386.23859159997664,386.23859159997664,f,0.511432999977842,386.7725684000179,386.7725684000179,386.7725684000179,386.7725684000179,386.7725684000179,386.7725684000179,387.0705864999909,387.0705864999909,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,387.9345377001446,390.443561000051,390.443561000051,390.443561000051,390.443561000051,390.443561000051,24,63,32,35,63,68,4.0,0.6302449000068009,391.09197680000216,392.7374317999929,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,48,0,48,0,,,,,,,,,,None,392.7374317999929,392.7374317999929,392.7374317999929,392.7374317999929,392.7374317999929,392.7374317999929,r,0.3511356001254171,393.1203225001227,393.1203225001227,393.1203225001227,393.1203225001227,393.1203225001227,393.1203225001227,393.4193955999799,393.4193955999799,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,394.76577279996127,397.27466380014084,397.27466380014084,397.27466380014084,397.27466380014084,397.27466380014084,20,66,29,29,20,71,1.0,1.0796990999951959,398.37170449993573,399.98492310009897,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,49,0,49,0,,,,,,,,,,None,399.98492310009897,399.98492310009897,399.98492310009897,399.98492310009897,399.98492310009897,399.98492310009897,f,0.35172469983808696,400.3693693999667,400.3693693999667,400.3693693999667,400.3693693999667,400.3693693999667,400.3693693999667,400.6666155999992,400.6666155999992,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,402.52825910015963,405.0371465999633,405.0371465999633,405.0371465999633,405.0371465999633,405.0371465999633,29,61,37,31,61,66,3.0,1.3285789000801742,406.383140000049,407.89630450005643,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
1,50,0,50,0,,,,,,,,,,None,407.89630450005643,407.89630450005643,407.89630450005643,407.89630450005643,407.89630450005643,407.89630450005643,f,0.3476360000204295,408.26446989993565,408.26446989993565,408.26446989993565,408.26446989993565,408.26446989993565,408.26446989993565,408.5615529001225,408.5615529001225,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,410.5392557999585,413.04853150015697,413.04853150015697,413.04853150015697,413.04853150015697,413.04853150015697,24,65,39,28,65,73,2.0,0.4808223000727594,413.54734060005285,415.22647210001014,,,,,,,155,f,26,2023-04-03_14h43.39.608,RL,2022.2.4,60.01990261150946,
