bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,docs.stopped,image_2.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,1619.899364999961,1619.899364999961,space,20.586532599758357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
,,,,,,,,,1640.5219585997984,1640.5219585997984,space,28.301208700053394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,16,0,16,0,,,,,,,,,,None,1805.432800800074,1805.432800800074,1805.432800800074,1805.432800800074,1805.432800800074,1805.432800800074,f,0.4507242999970913,1805.9175692000426,1805.9175692000426,1805.9175692000426,1805.9175692000426,1805.9175692000426,1805.9175692000426,1806.214371799957,1806.214371799957,1807.5437809997238,1807.5437809997238,1807.5609220000915,1807.5609220000915,1807.5609220000915,1807.5609220000915,1807.5609220000915,1807.5609220000915,1807.5609220000915,1807.5609220000915,1807.5609220000915,1807.5609220000915,1807.5609220000915,1807.5609220000915,1807.5609220000915,1807.5609220000915,1807.5609220000915,1810.0699408999644,1810.0699408999644,1810.0699408999644,1810.0699408999644,1810.0699408999644,51,82,43,39,82,60,5.0,1.5279558999463916,1811.6154296998866,1813.4111985997297,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,17,0,17,0,,,,,,,,,,None,1813.4111985997297,1813.4111985997297,1813.4111985997297,1813.4111985997297,1813.4111985997297,1813.4111985997297,f,0.7531308000907302,1814.1951383999549,1814.1951383999549,1814.1951383999549,1814.1951383999549,1814.1951383999549,1814.1951383999549,1814.491637200117,1814.491637200117,1815.6051901997998,1815.6051901997998,1815.6219367999583,1815.6219367999583,1815.6219367999583,1815.6219367999583,1815.6219367999583,1815.6219367999583,1815.6219367999583,1815.6219367999583,1815.6219367999583,1815.6219367999583,1815.6219367999583,1815.6219367999583,1815.6219367999583,1815.6219367999583,1815.6219367999583,1818.1315859998576,1818.1315859998576,1818.1315859998576,1818.1315859998576,1818.1315859998576,53,71,40,26,71,65,5.0,1.6777371000498533,1819.826303999871,1821.6887884996831,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,18,0,18,0,,,,,,,,,,None,1821.6887884996831,1821.6887884996831,1821.6887884996831,1821.6887884996831,1821.6887884996831,1821.6887884996831,f,0.5156069998629391,1822.240572199691,1822.240572199691,1822.240572199691,1822.240572199691,1822.240572199691,1822.240572199691,1822.5367600996979,1822.5367600996979,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1823.9163357000798,1826.4251799997874,1826.4251799997874,1826.4251799997874,1826.4251799997874,1826.4251799997874,59,75,50,35,75,61,4.0,1.7278720000758767,1828.1703770998865,1829.915956299752,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,19,0,19,0,,,,,,,,,,None,1829.915956299752,1829.915956299752,1829.915956299752,1829.915956299752,1829.915956299752,1829.915956299752,f,0.7477410999126732,1830.6991210998967,1830.6991210998967,1830.6991210998967,1830.6991210998967,1830.6991210998967,1830.6991210998967,1830.9970571999438,1830.9970571999438,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1832.143492099829,1834.6525685000233,1834.6525685000233,1834.6525685000233,1834.6525685000233,1834.6525685000233,59,68,48,29,68,75,3.0,1.3619698002003133,1836.031973300036,1837.7280019000173,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,20,0,20,0,,,,,,,,,,None,1837.7280019000173,1837.7280019000173,1837.7280019000173,1837.7280019000173,1837.7280019000173,1837.7280019000173,f,0.4068014998920262,1838.164818899706,1838.164818899706,1838.164818899706,1838.164818899706,1838.164818899706,1838.164818899706,1838.4599951999262,1838.4599951999262,1839.2742090998217,1839.2742090998217,1839.2909721001051,1839.2909721001051,1839.2909721001051,1839.2909721001051,1839.2909721001051,1839.2909721001051,1839.2909721001051,1839.2909721001051,1839.2909721001051,1839.2909721001051,1839.2909721001051,1839.2909721001051,1839.2909721001051,1839.2909721001051,1839.2909721001051,1841.800143999979,1841.800143999979,1841.800143999979,1841.800143999979,1841.800143999979,56,57,52,35,57,56,4.0,1.0297191003337502,1842.847127399873,1844.4267829000019,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,21,0,21,0,,,,,,,,,,None,1844.4267829000019,1844.4267829000019,1844.4267829000019,1844.4267829000019,1844.4267829000019,1844.4267829000019,f,0.7403573002666235,1845.193073600065,1845.193073600065,1845.193073600065,1845.193073600065,1845.193073600065,1845.193073600065,1845.4907780997455,1845.4907780997455,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1846.6871793000028,1849.1963205998763,1849.1963205998763,1849.1963205998763,1849.1963205998763,1849.1963205998763,65,61,49,36,61,63,4.0,1.4784706998616457,1850.6921298000962,1852.6206477000378,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,22,0,22,0,,,,,,,,,,None,1852.6206477000378,1852.6206477000378,1852.6206477000378,1852.6206477000378,1852.6206477000378,1852.6206477000378,f,0.7217318001203239,1853.3719520997256,1853.3719520997256,1853.3719520997256,1853.3719520997256,1853.3719520997256,1853.3719520997256,1853.6684485999867,1853.6684485999867,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1854.9982137000188,1857.506924699992,1857.506924699992,1857.506924699992,1857.506924699992,1857.506924699992,60,51,48,33,51,75,3.0,1.810810700058937,1859.3352562999353,1861.2808110998012,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,23,0,23,0,,,,,,,,,,None,1861.2808110998012,1861.2808110998012,1861.2808110998012,1861.2808110998012,1861.2808110998012,1861.2808110998012,j,0.5064353998750448,1861.8153117997572,1861.8153117997572,1861.8153117997572,1861.8153117997572,1861.8153117997572,1861.8153117997572,1862.112269999925,1862.112269999925,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1863.4251435999759,1865.9340427001007,1865.9340427001007,1865.9340427001007,1865.9340427001007,1865.9340427001007,58,68,44,38,38,15,4.0,1.8271484998986125,1867.7790781999938,1869.4586216998287,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,24,0,24,0,,,,,,,,,,None,1869.4586216998287,1869.4586216998287,1869.4586216998287,1869.4586216998287,1869.4586216998287,1869.4586216998287,r,0.604026900138706,1870.0913601997308,1870.0913601997308,1870.0913601997308,1870.0913601997308,1870.0913601997308,1870.0913601997308,1870.389248599764,1870.389248599764,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1871.8024733997881,1874.3110834998079,1874.3110834998079,1874.3110834998079,1874.3110834998079,1874.3110834998079,58,64,47,33,58,66,4.0,1.195771099999547,1875.524560699705,1877.1040771999396,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
1,25,0,25,0,,,,,,,,,,None,1877.1040771999396,1877.1040771999396,1877.1040771999396,1877.1040771999396,1877.1040771999396,1877.1040771999396,i,0.7533781002275646,1877.8891019998118,1877.8891019998118,1877.8891019998118,1877.8891019998118,1877.8891019998118,1877.8891019998118,1878.1849368996918,1878.1849368996918,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1879.8133028000593,1882.3226044001058,1882.3226044001058,1882.3226044001058,1882.3226044001058,1882.3226044001058,64,64,49,35,49,71,3.0,1.5453935000114143,1883.8853221996687,1885.7137782000937,,,,,,,,,129,f,1,2022-12-12_14h48.41.302,RL,2022.2.4,60.04538229599241,
