bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,image_3.started,slider.started,text.started,image_4.started,image_5.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,rest_image.started,rest_response.started,rest_response.rt,bigx.started,bigx.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,34.40630395000335,34.40630395000335,space,25.502820551992045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
,,,,,,,,,,,59.96017882900196,59.96017882900196,s,42.99341366298904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
1,-0.3,-0.225,0,108,108,108,,,,,,,,,,None,1502.72108906199,1502.72108906199,1502.72108906199,1502.72108906199,1502.72108906199,1502.72108906199,r,0.5037090770056238,1503.2642935920012,1503.2642935920012,1503.2642935920012,1503.2642935920012,1503.2642935920012,1503.2642935920012,1503.5363476670027,1503.5363476670027,1504.8337985349935,1504.8337985349935,1504.8562919050019,1504.8562919050019,1504.8562919050019,1504.8562919050019,1504.8562919050019,1504.8562919050019,1504.8562919050019,1504.8562919050019,1504.8562919050019,1504.8562919050019,1504.8562919050019,1504.8562919050019,1504.8562919050019,1504.8562919050019,1504.8562919050019,75,42,55,53,75,23,None,None,1507.3830715700024,1507.3830715700024,1507.3830715700024,1507.3830715700024,1507.3830715700024,1507.3830715700024,1507.3830715700024,1507.3830715700024,0.009749242002726533,1507.3830715700024,80,80,[0.115],[-0.28125],[1],[0],[0],[4.091902415006189],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],1511.504452905996,1511.504452905996,1511.504452905996,1511.504452905996,11,1.2409417309972923,1512.759707930003,1514.6087319259968,,,,,,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
0,0.3,0.225,0,109,109,109,,,,,,,,,,None,1514.6087319259968,1514.6087319259968,1514.6087319259968,1514.6087319259968,1514.6087319259968,1514.6087319259968,r,0.6383585270086769,1515.2968062009895,1515.2968062009895,1515.2968062009895,1515.2968062009895,1515.2968062009895,1515.2968062009895,1515.568240816996,1515.568240816996,1516.787325600002,1516.787325600002,1516.81452365499,1516.81452365499,1516.81452365499,1516.81452365499,1516.81452365499,1516.81452365499,1516.81452365499,1516.81452365499,1516.81452365499,1516.81452365499,1516.81452365499,1516.81452365499,1516.81452365499,1516.81452365499,1516.81452365499,75,45,55,45,75,47,7.0,1.647813060990302,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],,,,,None,None,1521.0223665619997,1522.7306788409915,1519.3266254399932,1519.3266254399932,1519.3266254399932,1519.3266254399932,1519.3266254399932,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
1,-0.3,-0.225,0,110,110,110,,,,,,,,,,None,1522.7306788409915,1522.7306788409915,1522.7306788409915,1522.7306788409915,1522.7306788409915,1522.7306788409915,r,0.7334996019926621,1523.517320133993,1523.517320133993,1523.517320133993,1523.517320133993,1523.517320133993,1523.517320133993,1523.786834101993,1523.786834101993,1525.591162947996,1525.591162947996,1525.6316077899974,1525.6316077899974,1525.6316077899974,1525.6316077899974,1525.6316077899974,1525.6316077899974,1525.6316077899974,1525.6316077899974,1525.6316077899974,1525.6316077899974,1525.6316077899974,1525.6316077899974,1525.6316077899974,1525.6316077899974,1525.6316077899974,73,42,55,52,73,24,None,None,1528.1685110959952,1528.1685110959952,1528.1685110959952,1528.1685110959952,1528.1685110959952,1528.1685110959952,1528.1685110959952,1528.1685110959952,0.01053616100398358,1528.1685110959952,80,80,[0.04125],[-0.265],[1],[0],[0],[5.607200066995574],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],1533.8041080029943,1533.8041080029943,1533.8041080029943,1533.8041080029943,10.05,1.962723732998711,1535.782988366991,1537.570093959992,,,,,,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
0,0.3,0.225,0,111,111,111,,,,,,,,,,None,1537.570093959992,1537.570093959992,1537.570093959992,1537.570093959992,1537.570093959992,1537.570093959992,r,0.3521939859929262,1537.9618459079938,1537.9618459079938,1537.9618459079938,1537.9618459079938,1537.9618459079938,1537.9618459079938,1538.2283521279896,1538.2283521279896,1540.1435026499967,1540.1435026499967,1540.1843431570014,1540.1843431570014,1540.1843431570014,1540.1843431570014,1540.1843431570014,1540.1843431570014,1540.1843431570014,1540.1843431570014,1540.1843431570014,1540.1843431570014,1540.1843431570014,1540.1843431570014,1540.1843431570014,1540.1843431570014,1540.1843431570014,82,46,42,40,82,51,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,1,66,[0.1075],[-0.29125],[1],[0],[0],[3.0604908909881487],['tijiao_random_2'],1545.7961742079933,1545.7961742079933,1545.7961742079933,1545.7961742079933,8.025,1.8740425860014511,1547.692223045,1549.4097161480022,,,,,,1542.724875090993,1542.724875090993,1542.724875090993,1542.724875090993,1542.724875090993,1542.724875090993,1542.724875090993,1542.724875090993,0.01025210200168658,1542.724875090993,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
1,-0.3,-0.225,0,112,112,112,,,,,,,,,,None,1549.4097161480022,1549.4097161480022,1549.4097161480022,1549.4097161480022,1549.4097161480022,1549.4097161480022,r,0.45538023399421945,1549.912453803001,1549.912453803001,1549.912453803001,1549.912453803001,1549.912453803001,1549.912453803001,1550.1850333579932,1550.1850333579932,1551.2668012950016,1551.2668012950016,1551.2917786390026,1551.2917786390026,1551.2917786390026,1551.2917786390026,1551.2917786390026,1551.2917786390026,1551.2917786390026,1551.2917786390026,1551.2917786390026,1551.2917786390026,1551.2917786390026,1551.2917786390026,1551.2917786390026,1551.2917786390026,1551.2917786390026,76,45,47,48,76,47,7.0,1.7828801110008499,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,2,,[],[],[],[],[],[],[],,,,,None,None,1555.616030871999,1557.3802181469946,1553.7876612480031,1553.7876612480031,1553.7876612480031,1553.7876612480031,1553.7876612480031,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
0,0.3,0.225,0,113,113,113,,,,,,,,,,None,1557.3802181469946,1557.3802181469946,1557.3802181469946,1557.3802181469946,1557.3802181469946,1557.3802181469946,r,0.49915518300258555,1557.919910785,1557.919910785,1557.919910785,1557.919910785,1557.919910785,1557.919910785,1558.1885781589954,1558.1885781589954,1559.5581893100025,1559.5581893100025,1559.5982139979897,1559.5982139979897,1559.5982139979897,1559.5982139979897,1559.5982139979897,1559.5982139979897,1559.5982139979897,1559.5982139979897,1559.5982139979897,1559.5982139979897,1559.5982139979897,1559.5982139979897,1559.5982139979897,1559.5982139979897,1559.5982139979897,64,49,47,59,64,44,6.0,2.196093530001235,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],,,,,None,None,1564.3347776040027,1566.0340772199997,1562.0970423010003,1562.0970423010003,1562.0970423010003,1562.0970423010003,1562.0970423010003,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
1,-0.3,-0.225,0,114,114,114,,,,,,,,,,None,1566.0340772199997,1566.0340772199997,1566.0340772199997,1566.0340772199997,1566.0340772199997,1566.0340772199997,r,0.5647154570033308,1566.6409133919951,1566.6409133919951,1566.6409133919951,1566.6409133919951,1566.6409133919951,1566.6409133919951,1566.9099640399945,1566.9099640399945,1568.879834901003,1568.879834901003,1568.9178482650022,1568.9178482650022,1568.9178482650022,1568.9178482650022,1568.9178482650022,1568.9178482650022,1568.9178482650022,1568.9178482650022,1568.9178482650022,1568.9178482650022,1568.9178482650022,1568.9178482650022,1568.9178482650022,1568.9178482650022,1568.9178482650022,63,58,44,39,63,58,None,None,1571.4464414849936,1571.4464414849936,1571.4464414849936,1571.4464414849936,1571.4464414849936,1571.4464414849936,1571.4464414849936,1571.4464414849936,0.009298582997871563,1571.4464414849936,70,70,[0.055],[-0.27625],[1],[0],[0],[3.8993137729994487],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],1575.3745326429926,1575.3745326429926,1575.3745326429926,1575.3745326429926,8.887500000000001,2.645726634989842,1578.0405925090017,1579.7407912219933,,,,,,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
0,0.3,0.225,0,115,115,115,,,,,,,,,,None,1579.7407912219933,1579.7407912219933,1579.7407912219933,1579.7407912219933,1579.7407912219933,1579.7407912219933,r,0.46974758099531755,1580.2611041030032,1580.2611041030032,1580.2611041030032,1580.2611041030032,1580.2611041030032,1580.2611041030032,1580.531222067002,1580.531222067002,1581.4829572960007,1581.4829572960007,1581.5249213249917,1581.5249213249917,1581.5249213249917,1581.5249213249917,1581.5249213249917,1581.5249213249917,1581.5249213249917,1581.5249213249917,1581.5249213249917,1581.5249213249917,1581.5249213249917,1581.5249213249917,1581.5249213249917,1581.5249213249917,1581.5249213249917,66,53,46,44,66,18,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,23,[0.015],[-0.29875],[1],[0],[0],[4.399452858007862],['tijiao_random_2'],1588.4774550439906,1588.4774550439906,1588.4774550439906,1588.4774550439906,5.925,2.1324145100079477,1590.6315945389942,1592.3804374350002,,,,,,1584.0656846619968,1584.0656846619968,1584.0656846619968,1584.0656846619968,1584.0656846619968,1584.0656846619968,1584.0656846619968,1584.0656846619968,0.009882591009954922,1584.0656846619968,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
1,-0.3,-0.225,0,116,116,116,,,,,,,,,,None,1592.3804374350002,1592.3804374350002,1592.3804374350002,1592.3804374350002,1592.3804374350002,1592.3804374350002,r,0.6052696429978823,1593.0399841409962,1593.0399841409962,1593.0399841409962,1593.0399841409962,1593.0399841409962,1593.0399841409962,1593.3059990640031,1593.3059990640031,1594.3744857769925,1594.3744857769925,1594.4145201079955,1594.4145201079955,1594.4145201079955,1594.4145201079955,1594.4145201079955,1594.4145201079955,1594.4145201079955,1594.4145201079955,1594.4145201079955,1594.4145201079955,1594.4145201079955,1594.4145201079955,1594.4145201079955,1594.4145201079955,1594.4145201079955,68,55,43,44,68,39,7.0,1.82933649700135,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],,,,,None,None,1598.7852370320034,1600.7836933979997,1596.9106249439938,1596.9106249439938,1596.9106249439938,1596.9106249439938,1596.9106249439938,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
0,0.3,0.225,0,117,117,117,,,,,,,,,,None,1600.7836933979997,1600.7836933979997,1600.7836933979997,1600.7836933979997,1600.7836933979997,1600.7836933979997,r,0.4624201330007054,1601.2867857840029,1601.2867857840029,1601.2867857840029,1601.2867857840029,1601.2867857840029,1601.2867857840029,1601.5581010390015,1601.5581010390015,1603.0058088929945,1603.0058088929945,1603.0465017509996,1603.0465017509996,1603.0465017509996,1603.0465017509996,1603.0465017509996,1603.0465017509996,1603.0465017509996,1603.0465017509996,1603.0465017509996,1603.0465017509996,1603.0465017509996,1603.0465017509996,1603.0465017509996,1603.0465017509996,1603.0465017509996,67,51,40,47,67,30,7.0,1.1148804020049283,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],,,,,None,None,1606.7096885929932,1608.2533010899933,1605.5517161699972,1605.5517161699972,1605.5517161699972,1605.5517161699972,1605.5517161699972,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
1,-0.3,-0.225,0,118,118,118,,,,,,,,,,None,1608.2533010899933,1608.2533010899933,1608.2533010899933,1608.2533010899933,1608.2533010899933,1608.2533010899933,r,0.4649065929988865,1608.7570081070007,1608.7570081070007,1608.7570081070007,1608.7570081070007,1608.7570081070007,1608.7570081070007,1609.0276922490011,1609.0276922490011,1610.5136728109937,1610.5136728109937,1610.5526914380025,1610.5526914380025,1610.5526914380025,1610.5526914380025,1610.5526914380025,1610.5526914380025,1610.5526914380025,1610.5526914380025,1610.5526914380025,1610.5526914380025,1610.5526914380025,1610.5526914380025,1610.5526914380025,1610.5526914380025,1610.5526914380025,72,56,39,46,72,7,None,None,1613.0768764069944,1613.0768764069944,1613.0768764069944,1613.0768764069944,1613.0768764069944,1613.0768764069944,1613.0768764069944,1613.0768764069944,0.01025704899802804,1613.0768764069944,78,78,[0.115],[-0.31],[1],[0],[0],[5.776413640996907],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],1618.8824921269988,1618.8824921269988,1618.8824921269988,1618.8824921269988,10.975000000000001,0.9910827470012009,1619.8951416810014,1621.877559886998,,,,,,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
0,0.3,0.225,0,119,119,119,,,,,,,,,,None,1621.877559886998,1621.877559886998,1621.877559886998,1621.877559886998,1621.877559886998,1621.877559886998,r,0.33546240399300586,1622.2652860870003,1622.2652860870003,1622.2652860870003,1622.2652860870003,1622.2652860870003,1622.2652860870003,1622.533757422003,1622.533757422003,1623.834839817995,1623.834839817995,1623.8745050379948,1623.8745050379948,1623.8745050379948,1623.8745050379948,1623.8745050379948,1623.8745050379948,1623.8745050379948,1623.8745050379948,1623.8745050379948,1623.8745050379948,1623.8745050379948,1623.8745050379948,1623.8745050379948,1623.8745050379948,1623.8745050379948,75,56,37,48,75,49,7.0,1.249097644991707,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,1627.6660316579946,1629.6644574459933,1626.3738066060032,1626.3738066060032,1626.3738066060032,1626.3738066060032,1626.3738066060032,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
1,-0.3,-0.225,0,120,120,120,,,,,,,,,,None,1629.6644574459933,1629.6644574459933,1629.6644574459933,1629.6644574459933,1629.6644574459933,1629.6644574459933,r,0.5913432920060586,1630.306479631996,1630.306479631996,1630.306479631996,1630.306479631996,1630.306479631996,1630.306479631996,1630.5714384469902,1630.5714384469902,1631.9565371350036,1631.9565371350036,1631.997336728993,1631.997336728993,1631.997336728993,1631.997336728993,1631.997336728993,1631.997336728993,1631.997336728993,1631.997336728993,1631.997336728993,1631.997336728993,1631.997336728993,1631.997336728993,1631.997336728993,1631.997336728993,1631.997336728993,73,56,38,50,73,40,None,None,1634.5274415159947,1634.5274415159947,1634.5274415159947,1634.5274415159947,1634.5274415159947,1634.5274415159947,1634.5274415159947,1634.5274415159947,0.009031780995428562,1634.5274415159947,78,78,[0.05625],[-0.30125],[1],[0],[0],[3.29411194100976],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],1637.8541429949983,1637.8541429949983,1637.8541429949983,1637.8541429949983,10.075,1.7325331079919124,1639.6036953479925,1641.3691409399908,,,,,,,,,,,,,,,,,,,,,282,f,23,2023-04-05_15h08.08.937,RL,2022.2.4,59.8594826185611,
