bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,image_3.started,slider.started,text.started,image_4.started,image_5.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,25.022349399980158,25.022349399980158,space,16.120462999970187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
,,,,,,,,,,,41.168793499993626,41.168793499993626,s,49.90602819999913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
1,-0.3,-0.225,0,78,78,78,,,,,,,,,,None,1149.3535829000175,1149.3535829000175,1149.3535829000175,1149.3535829000175,1149.3535829000175,1149.3535829000175,j,0.4962557000108063,1149.8692886999925,1149.8692886999925,1149.8692886999925,1149.8692886999925,1149.8692886999925,1149.8692886999925,1150.1682999000186,1150.1682999000186,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,1151.3981512000319,70,60,39,88,88,54,7.0,1.2627994999638759,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,3,,[],[],[],[],[],[],[],,,,,None,None,1155.1949804000324,1156.982604800025,1153.907300700026,1153.907300700026,1153.907300700026,1153.907300700026,1153.907300700026,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
0,0.3,0.225,0,79,79,79,,,,,,,,,,None,1156.982604800025,1156.982604800025,1156.982604800025,1156.982604800025,1156.982604800025,1156.982604800025,j,0.5341702000005171,1157.5480961999856,1157.5480961999856,1157.5480961999856,1157.5480961999856,1157.5480961999856,1157.5480961999856,1157.846961800009,1157.846961800009,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,1158.7446782999905,58,50,45,87,87,50,7.0,1.2288407000014558,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],,,,,None,None,1162.51030850003,1164.0633635999984,1161.253976100008,1161.253976100008,1161.253976100008,1161.253976100008,1161.253976100008,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
1,-0.3,-0.225,0,80,80,80,,,,,,,,,,None,1164.0633635999984,1164.0633635999984,1164.0633635999984,1164.0633635999984,1164.0633635999984,1164.0633635999984,j,0.5817486000014469,1164.6621983000077,1164.6621983000077,1164.6621983000077,1164.6621983000077,1164.6621983000077,1164.6621983000077,1164.9613363000099,1164.9613363000099,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,1165.8919764999882,72,49,49,69,69,56,None,None,1168.4020561000216,1168.4020561000216,1168.4020561000216,1168.4020561000216,1168.4020561000216,1168.4020561000216,1168.4020561000216,1168.4020561000216,0.006240899965632707,1168.4020561000216,78,78,[0.13703703703703704],[-0.2518518518518518],[1],[0],[0],[5.1943847999791615],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],1173.6155285999994,1173.6155285999994,1173.6155285999994,1173.6155285999994,6.12037037037037,3.725468599994201,1177.359255700023,1178.8729901000042,,,,,,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
0,0.3,0.225,0,81,81,81,,,,,,,,,,None,1178.8729901000042,1178.8729901000042,1178.8729901000042,1178.8729901000042,1178.8729901000042,1178.8729901000042,j,0.3704135000007227,1179.2755796000129,1179.2755796000129,1179.2755796000129,1179.2755796000129,1179.2755796000129,1179.2755796000129,1179.571374799998,1179.571374799998,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,1181.0340176000027,72,56,52,83,83,74,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,1,82,[0.002777777777777778],[-0.29814814814814816],[1],[0],[0],[10.61848080001073],['tijiao_random_2'],1194.1842875999864,1194.1842875999864,1194.1842875999864,1194.1842875999864,9.027777777777779,3.6514674000209197,1197.8535966000054,1199.832503099984,,,,,,1183.5529482000275,1183.5529482000275,1183.5529482000275,1183.5529482000275,1183.5529482000275,1183.5529482000275,1183.5529482000275,1183.5529482000275,0.006796700006816536,1183.5529482000275,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
1,-0.3,-0.225,0,82,82,82,,,,,,,,,,None,1199.832503099984,1199.832503099984,1199.832503099984,1199.832503099984,1199.832503099984,1199.832503099984,j,0.3254062000196427,1200.1831034999923,1200.1831034999923,1200.1831034999923,1200.1831034999923,1200.1831034999923,1200.1831034999923,1200.4809180999873,1200.4809180999873,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,1201.4280428999919,69,58,56,77,77,75,5.0,2.758429999987129,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,2,,[],[],[],[],[],[],[],,,,,None,None,1206.7246325000306,1208.6252069000038,1203.937410500017,1203.937410500017,1203.937410500017,1203.937410500017,1203.937410500017,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
0,0.3,0.225,0,83,83,83,,,,,,,,,,None,1208.6252069000038,1208.6252069000038,1208.6252069000038,1208.6252069000038,1208.6252069000038,1208.6252069000038,r,0.6099716000026092,1209.25748510001,1209.25748510001,1209.25748510001,1209.25748510001,1209.25748510001,1209.25748510001,1209.5562212000368,1209.5562212000368,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,1211.1847660000203,68,61,50,79,68,63,None,None,1213.6963960999856,1213.6963960999856,1213.6963960999856,1213.6963960999856,1213.6963960999856,1213.6963960999856,1213.6963960999856,1213.6963960999856,0.007130499987397343,1213.6963960999856,64,64,[0.013888888888888888],[-0.3037037037037037],[1],[0],[0],[5.740097800036892],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],1219.4581491000135,1219.4581491000135,1219.4581491000135,1219.4581491000135,6.138888888888888,2.7104442000272684,1222.1870291000232,1223.700572200003,,,,,,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
1,-0.3,-0.225,0,84,84,84,,,,,,,,,,None,1223.700572200003,1223.700572200003,1223.700572200003,1223.700572200003,1223.700572200003,1223.700572200003,r,0.7444720000494272,1224.4664710999932,1224.4664710999932,1224.4664710999932,1224.4664710999932,1224.4664710999932,1224.4664710999932,1224.7643233999843,1224.7643233999843,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,1226.0108525999822,73,61,52,83,73,65,None,None,1228.5222150000045,1228.5222150000045,1228.5222150000045,1228.5222150000045,1228.5222150000045,1228.5222150000045,1228.5222150000045,1228.5222150000045,0.00660800002515316,1228.5222150000045,75,75,[0.03425925925925926],[-0.27870370370370373],[1],[0],[0],[9.397337600006722],['tijiao'],0.6,0,,[],[],[],[],[],[],[],1237.9415128999972,1237.9415128999972,1237.9415128999972,1237.9415128999972,7.138888888888889,3.025573499966413,1240.985725000035,1242.6489863999886,,,,,,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
0,0.3,0.225,0,85,85,85,,,,,,,,,,None,1242.6489863999886,1242.6489863999886,1242.6489863999886,1242.6489863999886,1242.6489863999886,1242.6489863999886,r,0.2837095000431873,1242.9660169000272,1242.9660169000272,1242.9660169000272,1242.9660169000272,1242.9660169000272,1242.9660169000272,1243.264319800015,1243.264319800015,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,1245.0256521999836,71,59,41,101,71,67,None,None,1247.5359785000328,1247.5359785000328,1247.5359785000328,1247.5359785000328,1247.5359785000328,1247.5359785000328,1247.5359785000328,1247.5359785000328,0.0060939000104554,1247.5359785000328,74,74,[-0.023148148148148147],[-0.2935185185185185],[1],[0],[0],[6.123727699974552],['tijiao'],0.6,0,,[],[],[],[],[],[],[],1253.6809790999978,1253.6809790999978,1253.6809790999978,1253.6809790999978,7.981481481481482,3.109244799998123,1256.8096179999993,1258.4061225000187,,,,,,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
1,-0.3,-0.225,0,86,86,86,,,,,,,,,,None,1258.4061225000187,1258.4061225000187,1258.4061225000187,1258.4061225000187,1258.4061225000187,1258.4061225000187,r,0.47746369999367744,1258.9057660999824,1258.9057660999824,1258.9057660999824,1258.9057660999824,1258.9057660999824,1258.9057660999824,1259.204237500031,1259.204237500031,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,1260.400668999995,69,52,48,87,69,61,5.0,3.6564825999666937,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],,,,,None,None,1266.5939084999845,1268.5116565999924,1262.909810299985,1262.909810299985,1262.909810299985,1262.909810299985,1262.909810299985,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
0,0.3,0.225,0,87,87,87,,,,,,,,,,None,1268.5116565999924,1268.5116565999924,1268.5116565999924,1268.5116565999924,1268.5116565999924,1268.5116565999924,i,0.8123089000000618,1269.3436611000216,1269.3436611000216,1269.3436611000216,1269.3436611000216,1269.3436611000216,1269.3436611000216,1269.642186400015,1269.642186400015,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,1271.5200493999873,76,57,51,87,51,66,4.0,2.6254883999936283,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],,,,,None,None,1276.6808791999938,1278.6005936000147,1274.0294398000115,1274.0294398000115,1274.0294398000115,1274.0294398000115,1274.0294398000115,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
1,-0.3,-0.225,0,88,88,88,,,,,,,,,,None,1278.6005936000147,1278.6005936000147,1278.6005936000147,1278.6005936000147,1278.6005936000147,1278.6005936000147,i,0.3836551000131294,1279.0183128000353,1279.0183128000353,1279.0183128000353,1279.0183128000353,1279.0183128000353,1279.0183128000353,1279.3155828000163,1279.3155828000163,1280.6953242000309,1280.6953242000309,1280.712025100016,1280.712025100016,1280.712025100016,1280.712025100016,1280.712025100016,1280.712025100016,1280.712025100016,1280.712025100016,1280.712025100016,1280.712025100016,1280.712025100016,1280.712025100016,1280.712025100016,1280.712025100016,1280.712025100016,66,52,50,87,50,61,3.0,2.226302300055977,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],,,,,None,None,1285.4745524000027,1287.1775930000003,1283.2210887999972,1283.2210887999972,1283.2210887999972,1283.2210887999972,1283.2210887999972,,,,,,,,,,,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
0,0.3,0.225,0,89,89,89,,,,,,,,,,None,1287.1775930000003,1287.1775930000003,1287.1775930000003,1287.1775930000003,1287.1775930000003,1287.1775930000003,f,0.30976719997124746,1287.5119684999809,1287.5119684999809,1287.5119684999809,1287.5119684999809,1287.5119684999809,1287.5119684999809,1287.8090084000141,1287.8090084000141,1288.7730147999828,1288.7730147999828,1288.7898471000372,1288.7898471000372,1288.7898471000372,1288.7898471000372,1288.7898471000372,1288.7898471000372,1288.7898471000372,1288.7898471000372,1288.7898471000372,1288.7898471000372,1288.7898471000372,1288.7898471000372,1288.7898471000372,1288.7898471000372,1288.7898471000372,67,53,46,76,53,70,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,1,86,[-0.06666666666666667],[-0.29814814814814816],[1],[0],[0],[6.413198700000066],['tijiao_random_2'],1297.7361438000225,1297.7361438000225,1297.7361438000225,1297.7361438000225,4.953703703703704,3.7160354999941774,1301.4706789000193,1303.2333186999895,,,,,,1291.3098516000318,1291.3098516000318,1291.3098516000318,1291.3098516000318,1291.3098516000318,1291.3098516000318,1291.3098516000318,1291.3098516000318,0.006841700000222772,1291.3098516000318,,,,257,f,22,2023-03-23_13h36.45.542,RL,2022.2.4,60.164091539017534,
