bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,slider_2.started,image_7.started,confi.started,notconfi.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,rest_image.started,rest_response.started,rest_response.rt,bigx.started,bigx.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,67.84835190000013,67.84835190000013,space,9.151531499810517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
,,,,,,,,,,,77.03641770011745,77.03641770011745,s,52.78648599982262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
0,0.3,0.225,0,105,105,105,,,,,,,,,,None,1553.2833253000863,1553.2833253000863,1553.2833253000863,1553.2833253000863,1553.2833253000863,1553.2833253000863,r,0.3641180000267923,1553.6678292001598,1553.6678292001598,1553.6678292001598,1553.6678292001598,1553.6678292001598,1553.6678292001598,1553.9652414000593,1553.9652414000593,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,1555.5607702999841,,,,,,65,62,38,60,65,80,None,None,,,[],[],[],[],[],[],[],-0.2,1,67,[0.0962962962962963],[-0.2777777777777778],[1],[0],[0],[3.7207753001712263],['tijiao_random_2'],6.888888888888889,1.986654399894178,1563.820279699983,1565.666264000116,,,,,,,,,,,1561.8153925000224,1561.8153925000224,1561.8153925000224,1561.8153925000224,1558.0806591999717,1558.0806591999717,1558.0806591999717,1558.0806591999717,1558.0806591999717,1558.0806591999717,1558.0806591999717,1558.0806591999717,0.007718400098383427,1558.0806591999717,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
1,-0.3,-0.225,0,106,106,106,,,,,,,,,,None,1565.666264000116,1565.666264000116,1565.666264000116,1565.666264000116,1565.666264000116,1565.666264000116,f,0.29105979995802045,1565.9822156000882,1565.9822156000882,1565.9822156000882,1565.9822156000882,1565.9822156000882,1565.9822156000882,1566.28125,1566.28125,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1567.9767046000343,1570.486041800119,1570.486041800119,1570.486041800119,1570.486041800119,1570.486041800119,63,54,33,71,54,80,1.0,2.492951299995184,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],None,None,1573.0054300001357,1574.9409634000622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
0,0.3,0.225,0,107,107,107,,,,,,,,,,None,1574.9409634000622,1574.9409634000622,1574.9409634000622,1574.9409634000622,1574.9409634000622,1574.9409634000622,j,0.48797819996252656,1575.4568133000284,1575.4568133000284,1575.4568133000284,1575.4568133000284,1575.4568133000284,1575.4568133000284,1575.7556115000043,1575.7556115000043,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,1577.4506046001334,,,,,,69,56,41,77,77,80,None,None,,,[],[],[],[],[],[],[],-0.2,1,67,[-0.09074074074074075],[-0.29814814814814816],[1],[0],[0],[5.016584499971941],['tijiao_random_2'],6.925925925925926,2.535878699971363,1587.5555227999575,1589.4178264001384,,,,,,,,,,,1585.0009697000496,1585.0009697000496,1585.0009697000496,1585.0009697000496,1579.9717789001297,1579.9717789001297,1579.9717789001297,1579.9717789001297,1579.9717789001297,1579.9717789001297,1579.9717789001297,1579.9717789001297,0.0065234999638050795,1579.9717789001297,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
1,-0.3,-0.225,0,108,108,108,,,,,,,,,,None,1589.4178264001384,1589.4178264001384,1589.4178264001384,1589.4178264001384,1589.4178264001384,1589.4178264001384,j,0.26410989998839796,1589.704114699969,1589.704114699969,1589.704114699969,1589.704114699969,1589.704114699969,1589.704114699969,1590.0001757999416,1590.0001757999416,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1591.5127654001117,1594.021720299963,1594.021720299963,1594.021720299963,1594.021720299963,1594.021720299963,64,57,41,66,66,76,2.0,2.7255537000019103,,,[],[],[],[],[],[],[],0.6,2,,[],[],[],[],[],[],[],None,None,1596.77549670008,1598.7092371000908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
0,0.3,0.225,0,109,109,109,,,,,,,,,,None,1598.7092371000908,1598.7092371000908,1598.7092371000908,1598.7092371000908,1598.7092371000908,1598.7092371000908,j,0.8778693999629468,1599.607281200122,1599.607281200122,1599.607281200122,1599.607281200122,1599.607281200122,1599.607281200122,1599.9061670000665,1599.9061670000665,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1600.8371898999903,1603.346105700126,1603.346105700126,1603.346105700126,1603.346105700126,1603.346105700126,67,49,44,70,70,72,3.0,2.674722599796951,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],None,None,1606.0484627000988,1607.6515114000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
1,-0.3,-0.225,0,110,110,110,,,,,,,,,,None,1607.6515114000067,1607.6515114000067,1607.6515114000067,1607.6515114000067,1607.6515114000067,1607.6515114000067,j,0.5932678999379277,1608.268722299952,1608.268722299952,1608.268722299952,1608.268722299952,1608.268722299952,1608.268722299952,1608.5657620001584,1608.5657620001584,1610.49409199995,1610.49409199995,1610.510840700008,1610.510840700008,1610.510840700008,1610.510840700008,1610.510840700008,1610.510840700008,1610.510840700008,1610.510840700008,1610.510840700008,1610.510840700008,1610.510840700008,1610.510840700008,1610.510840700008,1610.510840700008,1610.510840700008,,,,,,69,50,45,73,73,66,None,None,75,75,[-0.03611111111111111],[-0.3],[1],[0],[0],[4.743192299967632],['tijiao'],0.2,0,,[],[],[],[],[],[],[],8.064814814814815,1.447154600173235,1619.252286199946,1621.2479638999794,1613.0221474000718,1613.0221474000718,1613.0221474000718,1613.0221474000718,1613.0221474000718,1613.0221474000718,1613.0221474000718,1613.0221474000718,0.007363300072029233,1613.0221474000718,1617.7866029001307,1617.7866029001307,1617.7866029001307,1617.7866029001307,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
0,0.3,0.225,0,111,111,111,,,,,,,,,,None,1621.2479638999794,1621.2479638999794,1621.2479638999794,1621.2479638999794,1621.2479638999794,1621.2479638999794,j,0.29489929997362196,1621.5642208999489,1621.5642208999489,1621.5642208999489,1621.5642208999489,1621.5642208999489,1621.5642208999489,1621.8629598999396,1621.8629598999396,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1622.960313100135,1625.4692319000605,1625.4692319000605,1625.4692319000605,1625.4692319000605,1625.4692319000605,67,45,52,79,79,68,6.0,2.3100206998642534,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,1627.8051039001439,1629.3919782999437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
1,-0.3,-0.225,0,112,112,112,,,,,,,,,,None,1629.3919782999437,1629.3919782999437,1629.3919782999437,1629.3919782999437,1629.3919782999437,1629.3919782999437,j,0.30881020007655025,1629.7250513001345,1629.7250513001345,1629.7250513001345,1629.7250513001345,1629.7250513001345,1629.7250513001345,1630.024256899953,1630.024256899953,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,1631.7196826001164,,,,,,77,49,45,66,66,67,None,None,76,76,[0.1175925925925926],[-0.28055555555555556],[1],[0],[0],[7.6683827000670135],['tijiao'],0.2,0,,[],[],[],[],[],[],[],6.953703703703703,2.4600094000343233,1644.4002942000516,1645.9305637001526,1634.2310592001304,1634.2310592001304,1634.2310592001304,1634.2310592001304,1634.2310592001304,1634.2310592001304,1634.2310592001304,1634.2310592001304,0.0074148999992758036,1634.2310592001304,1641.9216424999759,1641.9216424999759,1641.9216424999759,1641.9216424999759,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
0,0.3,0.225,0,113,113,113,,,,,,,,,,None,1645.9305637001526,1645.9305637001526,1645.9305637001526,1645.9305637001526,1645.9305637001526,1645.9305637001526,j,0.31533090001903474,1646.2652477000374,1646.2652477000374,1646.2652477000374,1646.2652477000374,1646.2652477000374,1646.2652477000374,1646.5624249000102,1646.5624249000102,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,1648.5736945001408,,,,,,76,49,48,73,73,28,None,None,73,73,[0.11388888888888889],[-0.30648148148148147],[1],[0],[0],[5.458618300035596],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],7.962962962962963,1.7805949000176042,1658.3625205999706,1660.3080837000161,1651.0838395999745,1651.0838395999745,1651.0838395999745,1651.0838395999745,1651.0838395999745,1651.0838395999745,1651.0838395999745,1651.0838395999745,0.006235100096091628,1651.0838395999745,1656.562996600056,1656.562996600056,1656.562996600056,1656.562996600056,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
1,-0.3,-0.225,0,114,114,114,,,,,,,,,,None,1660.3080837000161,1660.3080837000161,1660.3080837000161,1660.3080837000161,1660.3080837000161,1660.3080837000161,j,0.2468286999501288,1660.5742341000587,1660.5742341000587,1660.5742341000587,1660.5742341000587,1660.5742341000587,1660.5742341000587,1660.8733636999968,1660.8733636999968,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1662.5022371001542,1665.0113161001354,1665.0113161001354,1665.0113161001354,1665.0113161001354,1665.0113161001354,75,48,43,74,74,35,7.0,2.2098904999438673,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,1667.2472439999692,1669.2336967999581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
0,0.3,0.225,0,115,115,115,,,,,,,,,,None,1669.2336967999581,1669.2336967999581,1669.2336967999581,1669.2336967999581,1669.2336967999581,1669.2336967999581,j,0.29800910013727844,1669.5510031001177,1669.5510031001177,1669.5510031001177,1669.5510031001177,1669.5510031001177,1669.5510031001177,1669.848955300171,1669.848955300171,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,1671.660820600111,,,,,,53,54,33,74,74,40,None,None,72,72,[0.13055555555555556],[-0.2851851851851852],[1],[0],[0],[3.9616602999158204],['tijiao'],0.6,0,,[],[],[],[],[],[],[],10.018518518518519,2.147293899906799,1680.3193274999503,1682.231437700102,1674.1726540999953,1674.1726540999953,1674.1726540999953,1674.1726540999953,1674.1726540999953,1674.1726540999953,1674.1726540999953,1674.1726540999953,0.007709499914199114,1674.1726540999953,1678.1538168999832,1678.1538168999832,1678.1538168999832,1678.1538168999832,,,,,,,,,,,,,,,,284,f,19,2023-04-05_13h47.30.929,RL,2022.2.4,60.14285132396947,
