bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,41.893334202992264,41.893334202992264,space,12.092882128999918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
,,,,,,,,,,,54.04460157599533,54.04460157599533,s,46.88435979699716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
0,0.3,0.225,0,111,111,111,,,,,,,,,,None,1611.46433822799,1611.46433822799,1611.46433822799,1611.46433822799,1611.46433822799,1611.46433822799,f,0.28454623399011325,1611.7874925840006,1611.7874925840006,1611.7874925840006,1611.7874925840006,1611.7874925840006,1611.7874925840006,1612.0551036379911,1612.0551036379911,1612.8970985880005,1612.8970985880005,1612.9180993859918,1612.9180993859918,1612.9180993859918,1612.9180993859918,1612.9180993859918,1612.9180993859918,1612.9180993859918,1612.9180993859918,1612.9180993859918,1612.9180993859918,1612.9180993859918,1612.9180993859918,1612.9180993859918,1612.9180993859918,1612.9180993859918,70,70,49,58,70,74,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,70,[0.1225],[-0.27375],[1],[0],[0],[3.604673599009402],['tijiao_random_2'],1619.0873953789996,1619.0873953789996,1619.0873953789996,1619.0873953789996,8.0,1.7324065470020287,1620.8378765450034,1622.3690281070012,1615.462420003998,1615.462420003998,1615.462420003998,1615.462420003998,1615.462420003998,1615.462420003998,1615.462420003998,1615.462420003998,0.011297559001832269,1615.462420003998,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
1,-0.3,-0.225,0,112,112,112,,,,,,,,,,None,1622.3690281070012,1622.3690281070012,1622.3690281070012,1622.3690281070012,1622.3690281070012,1622.3690281070012,f,0.30079437801032327,1622.710097253992,1622.710097253992,1622.710097253992,1622.710097253992,1622.710097253992,1622.710097253992,1622.981811862992,1622.981811862992,1623.8786337659985,1623.8786337659985,1623.919045292001,1623.919045292001,1623.919045292001,1623.919045292001,1623.919045292001,1623.919045292001,1623.919045292001,1623.919045292001,1623.919045292001,1623.919045292001,1623.919045292001,1623.919045292001,1623.919045292001,1623.919045292001,1623.919045292001,72,61,50,59,61,80,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,1,75,"[0.055, 0.0775]","[-0.36375, -0.30125]","[1, 1]","[0, 0]","[0, 0]","[5.984003849996952, 6.685292177004158]",['tijiao_random_2'],1633.1581616929907,1633.1581616929907,1633.1581616929907,1633.1581616929907,7.2,1.8459259700030088,1635.0268851699948,1636.6925162389962,1626.455063261994,1626.455063261994,1626.455063261994,1626.455063261994,1626.455063261994,1626.455063261994,1626.455063261994,1626.455063261994,0.010158671997487545,1626.455063261994,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
0,0.3,0.225,0,113,113,113,,,,,,,,,,None,1636.6925162389962,1636.6925162389962,1636.6925162389962,1636.6925162389962,1636.6925162389962,1636.6925162389962,j,0.22395246400265023,1636.9625058959937,1636.9625058959937,1636.9625058959937,1636.9625058959937,1636.9625058959937,1636.9625058959937,1637.233669299996,1637.233669299996,1639.1724297379988,1639.1724297379988,1639.2119107189937,1639.2119107189937,1639.2119107189937,1639.2119107189937,1639.2119107189937,1639.2119107189937,1639.2119107189937,1639.2119107189937,1639.2119107189937,1639.2119107189937,1639.2119107189937,1639.2119107189937,1639.2119107189937,1639.2119107189937,1639.2119107189937,75,59,54,69,69,72,None,None,1641.7398337780032,1641.7398337780032,1641.7398337780032,1641.7398337780032,1641.7398337780032,1641.7398337780032,1641.7398337780032,1641.7398337780032,0.008885753995855339,1641.7398337780032,70,70,[0.0825],[-0.29875],[1],[0],[0],[3.4974761600024067],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],1645.270802287996,1645.270802287996,1645.270802287996,1645.270802287996,7.05,0.925709018993075,1646.2150204139907,1647.998392458001,,,,,,,,,,,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
1,-0.3,-0.225,0,114,114,114,,,,,,,,,,None,1647.998392458001,1647.998392458001,1647.998392458001,1647.998392458001,1647.998392458001,1647.998392458001,j,0.2940877380024176,1648.3421355219907,1648.3421355219907,1648.3421355219907,1648.3421355219907,1648.3421355219907,1648.3421355219907,1648.6240160779998,1648.6240160779998,1649.460577534992,1649.460577534992,1649.4840926909965,1649.4840926909965,1649.4840926909965,1649.4840926909965,1649.4840926909965,1649.4840926909965,1649.4840926909965,1649.4840926909965,1649.4840926909965,1649.4840926909965,1649.4840926909965,1649.4840926909965,1649.4840926909965,1649.4840926909965,1649.4840926909965,73,64,46,54,54,64,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,50,[0.00875],[-0.28125],[1],[0],[0],[10.865768572009983],['tijiao_random_2'],1662.9080425129941,1662.9080425129941,1662.9080425129941,1662.9080425129941,4.9875,1.5122399749961914,1664.4419021319918,1665.9888849919953,1652.0242297310033,1652.0242297310033,1652.0242297310033,1652.0242297310033,1652.0242297310033,1652.0242297310033,1652.0242297310033,1652.0242297310033,0.010521999007323757,1652.0242297310033,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
0,0.3,0.225,0,115,115,115,,,,,,,,,,None,1665.9888849919953,1665.9888849919953,1665.9888849919953,1665.9888849919953,1665.9888849919953,1665.9888849919953,i,0.4957950279931538,1666.5257416179957,1666.5257416179957,1666.5257416179957,1666.5257416179957,1666.5257416179957,1666.5257416179957,1666.7960682309931,1666.7960682309931,1668.2581868650013,1668.2581868650013,1668.3002194879955,1668.3002194879955,1668.3002194879955,1668.3002194879955,1668.3002194879955,1668.3002194879955,1668.3002194879955,1668.3002194879955,1668.3002194879955,1668.3002194879955,1668.3002194879955,1668.3002194879955,1668.3002194879955,1668.3002194879955,1668.3002194879955,70,66,54,49,54,81,2.0,2.174868879999849,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,1673.0222060099914,1674.9944147119968,,,,,,,,,,,1670.8015739010007,1670.8015739010007,1670.8015739010007,1670.8015739010007,1670.8015739010007,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
1,-0.3,-0.225,0,116,116,116,,,,,,,,,,None,1674.9944147119968,1674.9944147119968,1674.9944147119968,1674.9944147119968,1674.9944147119968,1674.9944147119968,f,0.23984840999764856,1675.287980039997,1675.287980039997,1675.287980039997,1675.287980039997,1675.287980039997,1675.287980039997,1675.5544199769938,1675.5544199769938,1677.0419296539912,1677.0419296539912,1677.067868276994,1677.067868276994,1677.067868276994,1677.067868276994,1677.067868276994,1677.067868276994,1677.067868276994,1677.067868276994,1677.067868276994,1677.067868276994,1677.067868276994,1677.067868276994,1677.067868276994,1677.067868276994,1677.067868276994,73,60,46,52,60,23,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,65,[-0.10375],[-0.285],[1],[0],[0],[2.7907184270006837],['tijiao_random_2'],1682.4167091449926,1682.4167091449926,1682.4167091449926,1682.4167091449926,8.0375,1.6471271790069295,1684.0850567570014,1686.0828642620036,1679.6128297329997,1679.6128297329997,1679.6128297329997,1679.6128297329997,1679.6128297329997,1679.6128297329997,1679.6128297329997,1679.6128297329997,0.01025273599952925,1679.6128297329997,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
0,0.3,0.225,0,117,117,117,,,,,,,,,,None,1686.0828642620036,1686.0828642620036,1686.0828642620036,1686.0828642620036,1686.0828642620036,1686.0828642620036,f,0.4287714380043326,1686.5580260279967,1686.5580260279967,1686.5580260279967,1686.5580260279967,1686.5580260279967,1686.5580260279967,1686.8250406619918,1686.8250406619918,1688.4260496600036,1688.4260496600036,1688.4673400519969,1688.4673400519969,1688.4673400519969,1688.4673400519969,1688.4673400519969,1688.4673400519969,1688.4673400519969,1688.4673400519969,1688.4673400519969,1688.4673400519969,1688.4673400519969,1688.4673400519969,1688.4673400519969,1688.4673400519969,1688.4673400519969,77,58,40,45,58,66,3.0,3.066631633992074,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],,,,,None,None,1694.079481904002,1695.6876726519986,,,,,,,,,,,1690.9676442499913,1690.9676442499913,1690.9676442499913,1690.9676442499913,1690.9676442499913,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
1,-0.3,-0.225,0,118,118,118,,,,,,,,,,None,1695.6876726519986,1695.6876726519986,1695.6876726519986,1695.6876726519986,1695.6876726519986,1695.6876726519986,i,0.26442482000857126,1695.9904752830043,1695.9904752830043,1695.9904752830043,1695.9904752830043,1695.9904752830043,1695.9904752830043,1696.2627009499993,1696.2627009499993,1697.209755814998,1697.209755814998,1697.2505081220006,1697.2505081220006,1697.2505081220006,1697.2505081220006,1697.2505081220006,1697.2505081220006,1697.2505081220006,1697.2505081220006,1697.2505081220006,1697.2505081220006,1697.2505081220006,1697.2505081220006,1697.2505081220006,1697.2505081220006,1697.2505081220006,76,57,48,43,48,56,2.0,2.3246483090042602,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,3,,[],[],[],[],[],[],[],,,,,None,None,1702.1178500709939,1703.8077568900044,,,,,,,,,,,1699.7497796889947,1699.7497796889947,1699.7497796889947,1699.7497796889947,1699.7497796889947,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
0,0.3,0.225,0,119,119,119,,,,,,,,,,None,1703.8077568900044,1703.8077568900044,1703.8077568900044,1703.8077568900044,1703.8077568900044,1703.8077568900044,f,0.24996482700225897,1704.100034543997,1704.100034543997,1704.100034543997,1704.100034543997,1704.100034543997,1704.100034543997,1704.3682172519912,1704.3682172519912,1705.6526619979995,1705.6526619979995,1705.6907498959918,1705.6907498959918,1705.6907498959918,1705.6907498959918,1705.6907498959918,1705.6907498959918,1705.6907498959918,1705.6907498959918,1705.6907498959918,1705.6907498959918,1705.6907498959918,1705.6907498959918,1705.6907498959918,1705.6907498959918,1705.6907498959918,71,57,41,45,57,53,5.0,1.291276262010797,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,2,,[],[],[],[],[],[],[],,,,,None,None,1709.528700408002,1711.0943763559917,,,,,,,,,,,1708.1879858419998,1708.1879858419998,1708.1879858419998,1708.1879858419998,1708.1879858419998,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
1,-0.3,-0.225,0,120,120,120,,,,,,,,,,None,1711.0943763559917,1711.0943763559917,1711.0943763559917,1711.0943763559917,1711.0943763559917,1711.0943763559917,f,0.2987230300059309,1711.4350581229955,1711.4350581229955,1711.4350581229955,1711.4350581229955,1711.4350581229955,1711.4350581229955,1711.7169497529976,1711.7169497529976,1713.4112241550029,1713.4112241550029,1713.4315641419962,1713.4315641419962,1713.4315641419962,1713.4315641419962,1713.4315641419962,1713.4315641419962,1713.4315641419962,1713.4315641419962,1713.4315641419962,1713.4315641419962,1713.4315641419962,1713.4315641419962,1713.4315641419962,1713.4315641419962,1713.4315641419962,68,54,35,47,54,42,None,None,1715.9511270899966,1715.9511270899966,1715.9511270899966,1715.9511270899966,1715.9511270899966,1715.9511270899966,1715.9511270899966,1715.9511270899966,0.00896020801155828,1715.9511270899966,54,54,[0.0375],[-0.30375],[1],[0],[0],[3.6522973690007348],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],1719.6360395619995,1719.6360395619995,1719.6360395619995,1719.6360395619995,7.975,0.9557641680003144,1720.6095706589986,1722.3493624239927,,,,,,,,,,,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
0,0.3,0.225,0,121,121,121,,,,,,,,,,None,1722.3493624239927,1722.3493624239927,1722.3493624239927,1722.3493624239927,1722.3493624239927,1722.3493624239927,f,0.23643191599694546,1722.6215472859913,1722.6215472859913,1722.6215472859913,1722.6215472859913,1722.6215472859913,1722.6215472859913,1722.889695343998,1722.889695343998,1724.8286916319921,1724.8286916319921,1724.8665221650008,1724.8665221650008,1724.8665221650008,1724.8665221650008,1724.8665221650008,1724.8665221650008,1724.8665221650008,1724.8665221650008,1724.8665221650008,1724.8665221650008,1724.8665221650008,1724.8665221650008,1724.8665221650008,1724.8665221650008,1724.8665221650008,74,55,42,45,55,57,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.6,1,50,[0.07375],[-0.28625],[1],[0],[0],[9.116860766007449],['tijiao_random_2'],1736.5429939129972,1736.5429939129972,1736.5429939129972,1736.5429939129972,3.1125,1.1424771870078985,1737.7091705519997,1739.5584233580012,1727.4072716009978,1727.4072716009978,1727.4072716009978,1727.4072716009978,1727.4072716009978,1727.4072716009978,1727.4072716009978,1727.4072716009978,0.010309539997251704,1727.4072716009978,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
1,-0.3,-0.225,0,122,122,122,,,,,,,,,,None,1739.5584233580012,1739.5584233580012,1739.5584233580012,1739.5584233580012,1739.5584233580012,1739.5584233580012,f,0.2516510970017407,1739.848118637994,1739.848118637994,1739.848118637994,1739.848118637994,1739.848118637994,1739.848118637994,1740.115811923999,1740.115811923999,1742.0512396849954,1742.0512396849954,1742.0754784949968,1742.0754784949968,1742.0754784949968,1742.0754784949968,1742.0754784949968,1742.0754784949968,1742.0754784949968,1742.0754784949968,1742.0754784949968,1742.0754784949968,1742.0754784949968,1742.0754784949968,1742.0754784949968,1742.0754784949968,1742.0754784949968,76,53,32,54,53,86,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,1,55,[0.1425],[-0.31],[1],[0],[0],[2.6561824919917854],['tijiao_random_2'],1747.2915435229952,1747.2915435229952,1747.2915435229952,1747.2915435229952,8.0375,1.6102190610108664,1748.9201996909978,1750.5137996690028,1744.6150011639984,1744.6150011639984,1744.6150011639984,1744.6150011639984,1744.6150011639984,1744.6150011639984,1744.6150011639984,1744.6150011639984,0.01009645099111367,1744.6150011639984,,,,,,,,,283,f,19,2023-04-05_13h47.30.249,RL,2022.2.4,60.00107522186719,
