bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,wait_playerB.started,wait_playerB.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,value_expect_self,expect_self_black.started,expect_self_black.stopped,expect_self.started,expect_self.stopped,expect_self_red.started,expect_self_red.stopped,expect_self_green.started,expect_self_green.stopped,expect_self_yellow.started,expect_self_yellow.stopped,expect_self_blue.started,expect_self_blue.stopped,tijiao.started,tijiao.stopped,expectself.text,expectself.started,expectself.stopped,tijiao_click.started,tijiao_click.stopped,random_whicharm,whether_ask,jiantou_random.started,jiantou_random.stopped,expect_red.started,expect_red.stopped,expect_green.started,expect_green.stopped,expect_yellow.started,expect_yellow.stopped,expect_blue.started,expect_blue.stopped,expect_random_2.started,expect_random_2.stopped,expect_random_3.text,expect_random_3.started,expect_random_3.stopped,tijiao_random_2.started,tijiao_random_2.stopped,tijiao_random.started,tijiao_random.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,image_7.started,image_7.stopped,confi.started,confi.stopped,notconfi.started,notconfi.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
1,-0.3,-0.225,0,10,10,10,,,,,,,,,,,,,,,None,None,None,None,None,175.4117949000065,None,175.4117949000065,None,175.4117949000065,None,175.4117949000065,None,i,0.2850198000014643,175.4117949000065,None,175.4117949000065,None,175.7376574000009,None,175.7376574000009,None,175.7376574000009,None,175.7376574000009,None,175.7376574000009,None,175.7376574000009,None,176.02627790000406,177.5722337000043,176.02627790000406,177.5722337000043,177.59338160000334,None,177.59338160000334,None,177.59338160000334,None,177.59338160000334,None,177.59338160000334,None,177.59338160000334,None,177.59338160000334,None,177.59338160000334,None,177.59338160000334,None,49,64,58,55,58,58,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,0.6,1,180.12475650000124,None,180.12475650000124,None,180.12475650000124,None,180.12475650000124,None,180.12475650000124,None,180.12475650000124,None,56,180.12475650000124,None,180.12475650000124,None,9.16600038181059e-05,None,1.0185185185185182,1.7675515999944764,184.1352121000018,None,184.1352121000018,None,184.1352121000018,None,184.1352121000018,None,None,None,185.915820000002,None,-0.000925925925925926,-0.2898148148148148,1,0,0,3.9898575999977766,tijiao,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
0,0.3,0.225,0,11,11,11,,,,,,,,,,,,,,,None,None,None,None,None,187.8783154000048,None,187.8783154000048,None,187.8783154000048,None,187.8783154000048,None,j,0.26055859999905806,187.8783154000048,None,187.8783154000048,None,188.1720673000018,None,188.1720673000018,None,188.1720673000018,None,188.1720673000018,None,188.1720673000018,None,188.1720673000018,None,188.45897010000044,190.08820550000382,188.45897010000044,190.08820550000382,190.1096378000002,None,190.1096378000002,None,190.1096378000002,None,190.1096378000002,None,190.1096378000002,None,190.1096378000002,None,190.1096378000002,None,190.1096378000002,None,190.1096378000002,None,42,74,52,56,56,56,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.2,1,192.6428103000071,None,192.6428103000071,None,192.6428103000071,None,192.6428103000071,None,192.6428103000071,None,192.6428103000071,None,78,192.6428103000071,None,192.6428103000071,None,0.01619019000645494,None,1.0,2.8995121999978437,199.06120490000467,None,199.06120490000467,None,199.06120490000467,None,199.06120490000467,None,None,None,201.97331350000604,None,-0.046296296296296294,-0.26666666666666666,1,0,0,6.398762999997416,tijiao,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
1,-0.3,-0.225,0,12,12,12,,,,,,,,,,,,,,,None,None,None,None,None,203.8692319000038,None,203.8692319000038,None,203.8692319000038,None,203.8692319000038,None,r,0.3382571999973152,203.8692319000038,None,203.8692319000038,None,204.24464240000088,None,204.24464240000088,None,204.24464240000088,None,204.24464240000088,None,204.24464240000088,None,204.24464240000088,None,204.53171050000674,206.19393160000618,204.53171050000674,206.19393160000618,206.21474260000105,None,206.21474260000105,None,206.21474260000105,None,206.21474260000105,None,206.21474260000105,None,206.21474260000105,None,206.21474260000105,None,206.21474260000105,None,206.21474260000105,None,39,66,48,50,39,51,None,None,None,None,None,None,None,None,None,None,None,None,45,208.7388901000013,None,208.7388901000013,None,208.7388901000013,None,208.7388901000013,None,208.7388901000013,None,208.7388901000013,None,208.7388901000013,None,45,208.7388901000013,None,0.009745359995577019,None,0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,1.0277777777777777,2.9365083999946364,215.6791721000045,None,215.6791721000045,None,215.6791721000045,None,215.6791721000045,None,None,None,218.6419193000038,None,,,,,,,,-0.044444444444444446,-0.2796296296296296,1,0,0,6.907767899996543,tijiao,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
0,0.3,0.225,0,13,13,13,,,,,,,,,,,,,,,None,None,None,None,None,220.5380276000069,None,220.5380276000069,None,220.5380276000069,None,220.5380276000069,None,j,0.3370918000000529,220.5380276000069,None,220.5380276000069,None,220.91294340000604,None,220.91294340000604,None,220.91294340000604,None,220.91294340000604,None,220.91294340000604,None,220.91294340000604,None,221.20346900000004,222.7819834000038,221.20346900000004,222.7819834000038,222.80330730000424,None,222.80330730000424,None,222.80330730000424,None,222.80330730000424,None,222.80330730000424,None,222.80330730000424,None,222.80330730000424,None,222.80330730000424,None,222.80330730000424,None,38,62,44,52,52,60,None,None,None,None,None,None,None,None,None,None,None,None,56,225.32259940000222,None,225.32259940000222,None,225.32259940000222,None,225.32259940000222,None,225.32259940000222,None,225.32259940000222,None,225.32259940000222,None,56,225.32259940000222,None,0.012100159998226445,None,0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,1,2.820311600000423,232.5142008000039,None,232.5142008000039,None,232.5142008000039,None,232.5142008000039,None,None,None,235.3477514000042,None,,,,,,,,-0.05185185185185185,-0.27870370370370373,1,0,0,7.159618300000147,tijiao,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
1,-0.3,-0.225,0,14,14,14,,,,,,,,,,,,,,,None,None,None,None,None,237.02697090000584,None,237.02697090000584,None,237.02697090000584,None,237.02697090000584,None,r,0.3212290999945253,237.02697090000584,None,237.02697090000584,None,237.3851860000068,None,237.3851860000068,None,237.3851860000068,None,237.3851860000068,None,237.3851860000068,None,237.3851860000068,None,237.67476070000703,238.73838510000496,237.67476070000703,238.73838510000496,238.76073200000246,None,238.76073200000246,None,238.76073200000246,None,238.76073200000246,None,238.76073200000246,None,238.76073200000246,None,238.76073200000246,None,238.76073200000246,None,238.76073200000246,None,33,67,40,48,33,46,241.27106500000082,None,3.0,3.3842023000033805,241.27106500000082,None,241.27106500000082,None,241.27106500000082,None,241.27106500000082,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.6,3,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,244.7013694000052,None,,,,,,,,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
0,0.3,0.225,0,15,15,15,,,,,,,,,,,,,,,None,None,None,None,None,246.41819580000447,None,246.41819580000447,None,246.41819580000447,None,246.41819580000447,None,f,0.3840779999954975,246.41819580000447,None,246.41819580000447,None,246.84337970000342,None,246.84337970000342,None,246.84337970000342,None,246.84337970000342,None,246.84337970000342,None,246.84337970000342,None,247.13241810000181,248.44526050000422,247.13241810000181,248.44526050000422,248.46622160000697,None,248.46622160000697,None,248.46622160000697,None,248.46622160000697,None,248.46622160000697,None,248.46622160000697,None,248.46622160000697,None,248.46622160000697,None,248.46622160000697,None,40,68,50,52,68,66,250.97616820000258,None,4.0,3.251822899997933,250.97616820000258,None,250.97616820000258,None,250.97616820000258,None,250.97616820000258,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.6,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,254.27584650000063,None,,,,,,,,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
1,-0.3,-0.225,0,16,16,16,,,,,,,,,,,,,,,None,None,None,None,None,255.8939659000025,None,255.8939659000025,None,255.8939659000025,None,255.8939659000025,None,f,0.24352060000092024,255.8939659000025,None,255.8939659000025,None,256.16885720000573,None,256.16885720000573,None,256.16885720000573,None,256.16885720000573,None,256.16885720000573,None,256.16885720000573,None,256.4570060000042,None,256.4570060000042,None,258.1722110000046,None,258.1722110000046,None,258.1722110000046,None,258.1722110000046,None,258.1722110000046,None,258.1722110000046,None,258.1722110000046,None,258.1722110000046,None,258.1722110000046,None,32,60,45,47,60,56,None,None,None,None,None,None,None,None,None,None,None,None,56,260.69306860000506,None,260.69306860000506,None,260.69306860000506,None,260.69306860000506,None,260.69306860000506,None,260.69306860000506,None,260.69306860000506,None,56,260.69306860000506,None,0.011969359999056906,None,-0.2,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,4.972222222222222,0.7592274999988149,267.9177156000005,None,267.9177156000005,None,267.9177156000005,None,267.9177156000005,None,None,None,268.69151180000335,None,,,,,,,,-0.02962962962962963,-0.32037037037037036,1,0,0,7.192616400003317,tijiao,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
0,0.3,0.225,0,17,17,17,,,,,,,,,,,,,,,None,None,None,None,None,270.2863595000017,None,270.2863595000017,None,270.2863595000017,None,270.2863595000017,None,f,0.2707163999948534,270.2863595000017,None,270.2863595000017,None,270.59459290000086,None,270.59459290000086,None,270.59459290000086,None,270.59459290000086,None,270.59459290000086,None,270.59459290000086,None,270.88424350000423,271.7317921000067,270.88424350000423,271.7317921000067,271.75227540000196,None,271.75227540000196,None,271.75227540000196,None,271.75227540000196,None,271.75227540000196,None,271.75227540000196,None,271.75227540000196,None,271.75227540000196,None,271.75227540000196,None,43,66,37,52,66,23,None,None,None,None,None,None,None,None,None,None,None,None,89,274.2738335000031,None,274.2738335000031,None,274.2738335000031,None,274.2738335000031,None,274.2738335000031,None,274.2738335000031,None,274.2738335000031,None,89,274.2738335000031,None,0.011543060012627393,None,-0.6,0,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,1.9444444444444444,2.4193601999941166,278.44162060000235,None,278.44162060000235,None,278.44162060000235,None,278.44162060000235,None,None,None,280.87336750000395,None,,,,,,,,-0.05555555555555555,-0.26944444444444443,1,0,0,4.133746600004088,tijiao,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
1,-0.3,-0.225,0,18,18,18,,,,,,,,,,,,,,,None,None,None,None,None,282.4527118000042,None,282.4527118000042,None,282.4527118000042,None,282.4527118000042,None,f,0.2909689000007347,282.4527118000042,None,282.4527118000042,None,282.78038070000184,None,282.78038070000184,None,282.78038070000184,None,282.78038070000184,None,282.78038070000184,None,282.78038070000184,None,283.0674603000007,283.98209700000007,283.0674603000007,283.98209700000007,284.0032621000064,None,284.0032621000064,None,284.0032621000064,None,284.0032621000064,None,284.0032621000064,None,284.0032621000064,None,284.0032621000064,None,284.0032621000064,None,284.0032621000064,None,48,60,46,41,60,63,286.511625500003,None,4.0,2.986763000000792,286.511625500003,None,286.511625500003,None,286.511625500003,None,286.511625500003,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,0.2,2,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,289.546631600002,None,,,,,,,,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
0,0.3,0.225,0,19,19,19,,,,,,,,,,,,,,,None,None,None,None,None,291.14667570000165,None,291.14667570000165,None,291.14667570000165,None,291.14667570000165,None,f,0.34319430000323337,291.14667570000165,None,291.14667570000165,None,291.52195380000194,None,291.52195380000194,None,291.52195380000194,None,291.52195380000194,None,291.52195380000194,None,291.52195380000194,None,291.8104824000038,293.2231346000044,291.8104824000038,293.2231346000044,293.2449315000049,None,293.2449315000049,None,293.2449315000049,None,293.2449315000049,None,293.2449315000049,None,293.2449315000049,None,293.2449315000049,None,293.2449315000049,None,293.2449315000049,None,42,59,51,49,59,68,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,-0.2,1,295.7766313000029,None,295.7766313000029,None,295.7766313000029,None,295.7766313000029,None,295.7766313000029,None,295.7766313000029,None,56,295.7766313000029,None,295.7766313000029,None,0.01627808999910485,None,2.0648148148148144,4.495389299998351,304.32275200000004,None,304.32275200000004,None,304.32275200000004,None,304.32275200000004,None,None,None,308.8346515000012,None,0.023148148148148147,-0.32222222222222224,1,0,0,8.52610299999651,tijiao,,,,,,,,,221,f,23,2023_Mar_19_1405,RL,2021.2.3,60.17451813624678,
