bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,35.57550753000032,35.57550753000032,space,46.239253884999926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
,,,,,,,,,,,81.8609019710002,81.8609019710002,s,67.68379218600057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
0,0.3,0.225,0,15,15,15,,,,,,,,,,None,560.4149218720013,560.4149218720013,560.4149218720013,560.4149218720013,560.4149218720013,560.4149218720013,j,0.5625431159987784,561.0187579980011,561.0187579980011,561.0187579980011,561.0187579980011,561.0187579980011,561.0187579980011,561.2887638499997,561.2887638499997,562.5034915169999,562.5034915169999,562.5273924250014,562.5273924250014,562.5273924250014,562.5273924250014,562.5273924250014,562.5273924250014,562.5273924250014,562.5273924250014,562.5273924250014,562.5273924250014,562.5273924250014,562.5273924250014,562.5273924250014,562.5273924250014,562.5273924250014,42,41,26,61,61,29,5.0,7.486080173999653,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,572.5577034760008,574.0711748009999,,,,,,,,,,,565.0261282179999,565.0261282179999,565.0261282179999,565.0261282179999,565.0261282179999,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
1,-0.3,-0.225,0,16,16,16,,,,,,,,,,None,574.0711748009999,574.0711748009999,574.0711748009999,574.0711748009999,574.0711748009999,574.0711748009999,r,0.6026016380001238,574.7270315700007,574.7270315700007,574.7270315700007,574.7270315700007,574.7270315700007,574.7270315700007,574.9946571130004,574.9946571130004,576.3985367980004,576.3985367980004,576.4401228070001,576.4401228070001,576.4401228070001,576.4401228070001,576.4401228070001,576.4401228070001,576.4401228070001,576.4401228070001,576.4401228070001,576.4401228070001,576.4401228070001,576.4401228070001,576.4401228070001,576.4401228070001,576.4401228070001,41,44,21,68,41,53,None,None,578.9504162150006,578.9504162150006,578.9504162150006,578.9504162150006,578.9504162150006,578.9504162150006,578.9504162150006,578.9504162150006,0.008770053998887306,578.9504162150006,45,45,[0.00375],[-0.3075],[1],[0],[0],[8.29936007499964],['tijiao'],0.6,0,,[],[],[],[],[],[],[],587.2800343689996,587.2800343689996,587.2800343689996,587.2800343689996,8.9875,10.641096774999824,597.9407017020003,599.5830963710014,,,,,,,,,,,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
0,0.3,0.225,0,17,17,17,,,,,,,,,,None,599.5830963710014,599.5830963710014,599.5830963710014,599.5830963710014,599.5830963710014,599.5830963710014,j,0.45963230399866006,600.0931728590003,600.0931728590003,600.0931728590003,600.0931728590003,600.0931728590003,600.0931728590003,600.3564791300014,600.3564791300014,601.4245535770006,601.4245535770006,601.4630101620005,601.4630101620005,601.4630101620005,601.4630101620005,601.4630101620005,601.4630101620005,601.4630101620005,601.4630101620005,601.4630101620005,601.4630101620005,601.4630101620005,601.4630101620005,601.4630101620005,601.4630101620005,601.4630101620005,48,38,18,62,62,63,None,None,603.9852732190011,603.9852732190011,603.9852732190011,603.9852732190011,603.9852732190011,603.9852732190011,603.9852732190011,603.9852732190011,0.009292329001254984,603.9852732190011,60,60,[0.0275],[-0.30875],[1],[0],[0],[21.10240913400048],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],625.1152751259997,625.1152751259997,625.1152751259997,625.1152751259997,6.012499999999999,11.832292656999925,636.9678771440012,638.6188671290001,,,,,,,,,,,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
1,-0.3,-0.225,0,18,18,18,,,,,,,,,,None,638.6188671290001,638.6188671290001,638.6188671290001,638.6188671290001,638.6188671290001,638.6188671290001,r,0.45090539699958754,639.111978375,639.111978375,639.111978375,639.111978375,639.111978375,639.111978375,639.3791057950002,639.3791057950002,640.6297693100005,640.6297693100005,640.6689322340007,640.6689322340007,640.6689322340007,640.6689322340007,640.6689322340007,640.6689322340007,640.6689322340007,640.6689322340007,640.6689322340007,640.6689322340007,640.6689322340007,640.6689322340007,640.6689322340007,640.6689322340007,640.6689322340007,52,48,16,63,52,60,5.0,7.669242211000892,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,2,,[],[],[],[],[],[],[],,,,,None,None,650.8912340019997,652.5915340020001,,,,,,,,,,,643.1775198600008,643.1775198600008,643.1775198600008,643.1775198600008,643.1775198600008,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
0,0.3,0.225,0,19,19,19,,,,,,,,,,None,652.5915340020001,652.5915340020001,652.5915340020001,652.5915340020001,652.5915340020001,652.5915340020001,f,0.526361590000306,653.1641439260002,653.1641439260002,653.1641439260002,653.1641439260002,653.1641439260002,653.1641439260002,653.4302731970001,653.4302731970001,654.3639416200003,654.3639416200003,654.4047740980004,654.4047740980004,654.4047740980004,654.4047740980004,654.4047740980004,654.4047740980004,654.4047740980004,654.4047740980004,654.4047740980004,654.4047740980004,654.4047740980004,654.4047740980004,654.4047740980004,654.4047740980004,654.4047740980004,45,53,12,52,53,57,None,None,656.9260083099998,656.9260083099998,656.9260083099998,656.9260083099998,656.9260083099998,656.9260083099998,656.9260083099998,656.9260083099998,0.009018699998705415,656.9260083099998,55,55,[0.03125],[-0.3075],[1],[0],[0],[9.646885570999075],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],666.6041495509999,666.6041495509999,666.6041495509999,666.6041495509999,6.9624999999999995,9.838504908000687,676.4609986960004,678.0364301810005,,,,,,,,,,,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
1,-0.3,-0.225,0,20,20,20,,,,,,,,,,None,678.0364301810005,678.0364301810005,678.0364301810005,678.0364301810005,678.0364301810005,678.0364301810005,f,0.37172510500022327,678.4606812370002,678.4606812370002,678.4606812370002,678.4606812370002,678.4606812370002,678.4606812370002,678.7264462490002,678.7264462490002,679.6495774160012,679.6495774160012,679.6903888460001,679.6903888460001,679.6903888460001,679.6903888460001,679.6903888460001,679.6903888460001,679.6903888460001,679.6903888460001,679.6903888460001,679.6903888460001,679.6903888460001,679.6903888460001,679.6903888460001,679.6903888460001,679.6903888460001,55,38,22,64,38,62,None,None,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,1,55,[0.03875],[-0.33875],[1],[0],[0],[27.300099752999813],['tijiao_random_2'],709.5473466020012,709.5473466020012,709.5473466020012,709.5473466020012,3.3875,15.720471585000269,725.285608436001,727.0760677970011,682.2295331300011,682.2295331300011,682.2295331300011,682.2295331300011,682.2295331300011,682.2295331300011,682.2295331300011,682.2295331300011,0.009833407999394694,682.2295331300011,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
0,0.3,0.225,0,21,21,21,,,,,,,,,,None,727.0760677970011,727.0760677970011,727.0760677970011,727.0760677970011,727.0760677970011,727.0760677970011,j,0.5534696729991992,727.6812240290001,727.6812240290001,727.6812240290001,727.6812240290001,727.6812240290001,727.6812240290001,727.9495347360007,727.9495347360007,728.8025223380009,728.8025223380009,728.8402442130009,728.8402442130009,728.8402442130009,728.8402442130009,728.8402442130009,728.8402442130009,728.8402442130009,728.8402442130009,728.8402442130009,728.8402442130009,728.8402442130009,728.8402442130009,728.8402442130009,728.8402442130009,728.8402442130009,50,33,23,66,66,58,5.0,4.715289155999926,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,2,,[],[],[],[],[],[],[],,,,,None,None,736.0984353940003,737.9807283629998,,,,,,,,,,,731.3395297030002,731.3395297030002,731.3395297030002,731.3395297030002,731.3395297030002,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
1,-0.3,-0.225,0,22,22,22,,,,,,,,,,None,737.9807283629998,737.9807283629998,737.9807283629998,737.9807283629998,737.9807283629998,737.9807283629998,j,0.700301301001673,738.7395183259996,738.7395183259996,738.7395183259996,738.7395183259996,738.7395183259996,738.7395183259996,739.0050230950001,739.0050230950001,740.6493927950014,740.6493927950014,740.6865842839998,740.6865842839998,740.6865842839998,740.6865842839998,740.6865842839998,740.6865842839998,740.6865842839998,740.6865842839998,740.6865842839998,740.6865842839998,740.6865842839998,740.6865842839998,740.6865842839998,740.6865842839998,740.6865842839998,62,36,9,67,67,60,6.0,4.013862824000171,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],,,,,None,None,747.2568460460006,748.8699411550006,,,,,,,,,,,743.2000722040011,743.2000722040011,743.2000722040011,743.2000722040011,743.2000722040011,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
0,0.3,0.225,0,23,23,23,,,,,,,,,,None,748.8699411550006,748.8699411550006,748.8699411550006,748.8699411550006,748.8699411550006,748.8699411550006,j,0.8705000800000562,749.7927738239996,749.7927738239996,749.7927738239996,749.7927738239996,749.7927738239996,749.7927738239996,750.0608492660012,750.0608492660012,751.8488478060008,751.8488478060008,751.8882997670007,751.8882997670007,751.8882997670007,751.8882997670007,751.8882997670007,751.8882997670007,751.8882997670007,751.8882997670007,751.8882997670007,751.8882997670007,751.8882997670007,751.8882997670007,751.8882997670007,751.8882997670007,751.8882997670007,52,47,20,66,66,36,7.0,4.832630933000473,,,,,,,,,,,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],,,,,None,None,759.2759305420004,760.9260314080002,,,,,,,,,,,754.3985496559999,754.3985496559999,754.3985496559999,754.3985496559999,754.3985496559999,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
1,-0.3,-0.225,0,24,24,24,,,,,,,,,,None,760.9260314080002,760.9260314080002,760.9260314080002,760.9260314080002,760.9260314080002,760.9260314080002,i,0.5468309550014965,761.5137314889998,761.5137314889998,761.5137314889998,761.5137314889998,761.5137314889998,761.5137314889998,761.7833466600005,761.7833466600005,762.6053698530013,762.6053698530013,762.6452486110011,762.6452486110011,762.6452486110011,762.6452486110011,762.6452486110011,762.6452486110011,762.6452486110011,762.6452486110011,762.6452486110011,762.6452486110011,762.6452486110011,762.6452486110011,762.6452486110011,762.6452486110011,762.6452486110011,52,53,22,61,22,46,None,None,765.1638229990003,765.1638229990003,765.1638229990003,765.1638229990003,765.1638229990003,765.1638229990003,765.1638229990003,765.1638229990003,0.009637512001063442,765.1638229990003,30,30,"[0.26125, 0.115]","[-0.28375, -0.30625]","[1, 1]","[0, 0]","[0, 0]","[9.436243488999025, 11.22411658099918]",['tijiao'],0.2,0,,[],[],[],[],[],[],[],776.4147104590011,776.4147104590011,776.4147104590011,776.4147104590011,7.0375,6.2652194350012,782.6983375330001,784.5536407920008,,,,,,,,,,,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
0,0.3,0.225,0,25,25,25,,,,,,,,,,None,784.5536407920008,784.5536407920008,784.5536407920008,784.5536407920008,784.5536407920008,784.5536407920008,j,0.3262574330001371,784.9318734019998,784.9318734019998,784.9318734019998,784.9318734019998,784.9318734019998,784.9318734019998,785.2077026650004,785.2077026650004,787.0265640270009,787.0265640270009,787.0503612030006,787.0503612030006,787.0503612030006,787.0503612030006,787.0503612030006,787.0503612030006,787.0503612030006,787.0503612030006,787.0503612030006,787.0503612030006,787.0503612030006,787.0503612030006,787.0503612030006,787.0503612030006,787.0503612030006,55,46,18,61,61,57,5.0,7.8759004730000015,,,,,,,,,,,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],,,,,None,None,797.4860835660002,799.4393569570002,,,,,,,,,,,789.5576984590007,789.5576984590007,789.5576984590007,789.5576984590007,789.5576984590007,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
1,-0.3,-0.225,0,26,26,26,,,,,,,,,,None,799.4393569570002,799.4393569570002,799.4393569570002,799.4393569570002,799.4393569570002,799.4393569570002,r,0.3829816870002105,799.865573336001,799.865573336001,799.865573336001,799.865573336001,799.865573336001,799.865573336001,800.1360797939997,800.1360797939997,801.0010551539999,801.0010551539999,801.0433039360014,801.0433039360014,801.0433039360014,801.0433039360014,801.0433039360014,801.0433039360014,801.0433039360014,801.0433039360014,801.0433039360014,801.0433039360014,801.0433039360014,801.0433039360014,801.0433039360014,801.0433039360014,801.0433039360014,57,47,16,72,57,37,None,None,803.5733553910013,803.5733553910013,803.5733553910013,803.5733553910013,803.5733553910013,803.5733553910013,803.5733553910013,803.5733553910013,0.00857464799992158,803.5733553910013,56,56,[0.02375],[-0.275],[1],[0],[0],[10.596826478000366],['tijiao'],0.2,0,,[],[],[],[],[],[],[],814.198594929001,814.198594929001,814.198594929001,814.198594929001,7.025,12.179043365000325,826.3958768190005,828.2566972170007,,,,,,,,,,,,,,,,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
0,0.3,0.225,0,27,27,27,,,,,,,,,,None,828.2566972170007,828.2566972170007,828.2566972170007,828.2566972170007,828.2566972170007,828.2566972170007,r,0.3975733190000028,828.6974071140012,828.6974071140012,828.6974071140012,828.6974071140012,828.6974071140012,828.6974071140012,828.966149752001,828.966149752001,829.9035658680004,829.9035658680004,829.9418972100011,829.9418972100011,829.9418972100011,829.9418972100011,829.9418972100011,829.9418972100011,829.9418972100011,829.9418972100011,829.9418972100011,829.9418972100011,829.9418972100011,829.9418972100011,829.9418972100011,829.9418972100011,829.9418972100011,59,45,16,61,59,51,4.0,4.018825420000212,,,,,,,,,,,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],,,,,None,None,836.5157764340001,838.3626323280005,,,,,,,,,,,832.4527518190007,832.4527518190007,832.4527518190007,832.4527518190007,832.4527518190007,,,,,,274,f,23,2023-04-04_13h34.49.425,RL,2022.2.4,60.15972575580295,
