bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,slider_2.started,image_7.started,confi.started,notconfi.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,43.26209689999814,43.26209689999814,space,6.9833096000074875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
,,,,,,,,,,,50.28357190001407,50.28357190001407,s,35.10394960001577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
0,0.3,0.225,0,15,15,15,,,,,,,,,,None,251.7758292000217,251.7758292000217,251.7758292000217,251.7758292000217,251.7758292000217,251.7758292000217,r,0.911532600002829,252.70728440000676,252.70728440000676,252.70728440000676,252.70728440000676,252.70728440000676,252.70728440000676,253.00642310001422,253.00642310001422,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,254.21967980000773,256.72848030002206,256.72848030002206,256.72848030002206,256.72848030002206,256.72848030002206,65,57,46,37,65,53,6.0,1.7612969999900088,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],None,None,258.5130261000013,260.4022341000091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
1,-0.3,-0.225,0,16,16,16,,,,,,,,,,None,260.4022341000091,260.4022341000091,260.4022341000091,260.4022341000091,260.4022341000091,260.4022341000091,r,0.5836154000135139,261.01805529999547,261.01805529999547,261.01805529999547,261.01805529999547,261.01805529999547,261.01805529999547,261.3169149000023,261.3169149000023,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,263.2118660999986,,,,,,67,49,58,46,67,37,None,None,,,[],[],[],[],[],[],[],-0.6,1,60,[0.04722222222222222],[-0.2814814814814815],[1],[0],[0],[4.207138699974166],['tijiao_random_2'],9.055555555555555,1.7212084000057075,271.6873145000136,273.2506791000196,,,,,,,,,,,269.94786630000453,269.94786630000453,269.94786630000453,269.94786630000453,265.72705190000124,265.72705190000124,265.72705190000124,265.72705190000124,265.72705190000124,265.72705190000124,265.72705190000124,265.72705190000124,0.0054462999978568405,265.72705190000124,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
0,0.3,0.225,0,17,17,17,,,,,,,,,,None,273.2506791000196,273.2506791000196,273.2506791000196,273.2506791000196,273.2506791000196,273.2506791000196,r,0.6269629999878816,273.8993855000008,273.8993855000008,273.8993855000008,273.8993855000008,273.8993855000008,273.8993855000008,274.19863729999634,274.19863729999634,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,276.07655600001453,278.58546030000434,278.58546030000434,278.58546030000434,278.58546030000434,278.58546030000434,66,55,56,52,66,32,6.0,1.511589500005357,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],None,None,280.12294739999925,281.97673110000324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
1,-0.3,-0.225,0,18,18,18,,,,,,,,,,None,281.97673110000324,281.97673110000324,281.97673110000324,281.97673110000324,281.97673110000324,281.97673110000324,r,0.9502754000131972,282.9599742999999,282.9599742999999,282.9599742999999,282.9599742999999,282.9599742999999,282.9599742999999,283.2572155999951,283.2572155999951,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,284.1214447999955,286.6301388000138,286.6301388000138,286.6301388000138,286.6301388000138,286.6301388000138,59,47,59,45,59,36,6.0,1.4448534999974072,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],None,None,288.09945040001185,290.07153640000615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
0,0.3,0.225,0,19,19,19,,,,,,,,,,None,290.07153640000615,290.07153640000615,290.07153640000615,290.07153640000615,290.07153640000615,290.07153640000615,r,0.42591380001977086,290.52062190001016,290.52062190001016,290.52062190001016,290.52062190001016,290.52062190001016,290.52062190001016,290.819800199999,290.819800199999,292.382136900007,292.382136900007,292.382136900007,292.382136900007,292.382136900007,292.382136900007,292.382136900007,292.382136900007,292.382136900007,292.382136900007,292.382136900007,292.382136900007,292.382136900007,292.382136900007,292.382136900007,292.382136900007,292.382136900007,,,,,,56,48,53,51,56,39,None,None,,,[],[],[],[],[],[],[],0.2,1,50,[0.003703703703703704],[-0.33055555555555555],[1],[0],[0],[4.303186700009974],['tijiao_random_2'],7.75,1.8889869000122417,301.1238510000112,302.7531621000089,,,,,,,,,,,299.2165495000081,299.2165495000081,299.2165495000081,299.2165495000081,294.9008599999943,294.9008599999943,294.9008599999943,294.9008599999943,294.9008599999943,294.9008599999943,294.9008599999943,294.9008599999943,0.005884999991394579,294.9008599999943,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
1,-0.3,-0.225,0,20,20,20,,,,,,,,,,None,302.7531621000089,302.7531621000089,302.7531621000089,302.7531621000089,302.7531621000089,302.7531621000089,r,0.6214206999866292,303.4021100999962,303.4021100999962,303.4021100999962,303.4021100999962,303.4021100999962,303.4021100999962,303.7010425000044,303.7010425000044,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,305.4962611999945,,,,,,59,46,53,51,59,40,None,None,60,60,[-0.021296296296296296],[-0.29814814814814816],[1],[0],[0],[4.560139600012917],['tijiao'],0.2,0,,[],[],[],[],[],[],[],9.12962962962963,1.8624484000029042,314.4707803000056,316.3996885000088,308.0084235999966,308.0084235999966,308.0084235999966,308.0084235999966,308.0084235999966,308.0084235999966,308.0084235999966,308.0084235999966,0.007498199993278831,308.0084235999966,312.58960639999714,312.58960639999714,312.58960639999714,312.58960639999714,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
0,0.3,0.225,0,21,21,21,,,,,,,,,,None,316.3996885000088,316.3996885000088,316.3996885000088,316.3996885000088,316.3996885000088,316.3996885000088,r,0.5801765999931376,316.99848060001386,316.99848060001386,316.99848060001386,316.99848060001386,316.99848060001386,316.99848060001386,317.29751990002114,317.29751990002114,318.5439843000204,318.5439843000204,318.5607901000185,318.5607901000185,318.5607901000185,318.5607901000185,318.5607901000185,318.5607901000185,318.5607901000185,318.5607901000185,318.5607901000185,318.5607901000185,318.5607901000185,318.5607901000185,318.5607901000185,318.5607901000185,318.5607901000185,,,,,,55,54,51,50,55,43,None,None,,,[],[],[],[],[],[],[],0.2,1,40,[0.08333333333333333],[-0.3111111111111111],[1],[0],[0],[4.918880500015803],['tijiao_random_2'],7.898148148148149,2.5858698000083677,328.6153215999948,330.51125579999643,,,,,,,,,,,326.01079990001745,326.01079990001745,326.01079990001745,326.01079990001745,321.0792161000136,321.0792161000136,321.0792161000136,321.0792161000136,321.0792161000136,321.0792161000136,321.0792161000136,321.0792161000136,0.006137399992439896,321.0792161000136,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
1,-0.3,-0.225,0,22,22,22,,,,,,,,,,None,330.51125579999643,330.51125579999643,330.51125579999643,330.51125579999643,330.51125579999643,330.51125579999643,r,0.559700600017095,331.09326290001627,331.09326290001627,331.09326290001627,331.09326290001627,331.09326290001627,331.09326290001627,331.3922145999968,331.3922145999968,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,332.60561300002155,,,,,,57,58,66,57,57,52,None,None,60,60,[0.05],[-0.2935185185185185],[1],[0],[0],[4.409940499986988],['tijiao'],-0.6,0,,[],[],[],[],[],[],[],7.972222222222221,1.2495221999997739,340.8153586999979,342.49523180001415,335.1181351999985,335.1181351999985,335.1181351999985,335.1181351999985,335.1181351999985,335.1181351999985,335.1181351999985,335.1181351999985,0.00734579999698326,335.1181351999985,339.54731940000784,339.54731940000784,339.54731940000784,339.54731940000784,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
0,0.3,0.225,0,23,23,23,,,,,,,,,,None,342.49523180001415,342.49523180001415,342.49523180001415,342.49523180001415,342.49523180001415,342.49523180001415,r,0.8127108000044245,343.32805660000304,343.32805660000304,343.32805660000304,343.32805660000304,343.32805660000304,343.32805660000304,343.6255531000206,343.6255531000206,345.3375667000073,345.3375667000073,345.3544000000111,345.3544000000111,345.3544000000111,345.3544000000111,345.3544000000111,345.3544000000111,345.3544000000111,345.3544000000111,345.3544000000111,345.3544000000111,345.3544000000111,345.3544000000111,345.3544000000111,345.3544000000111,345.3544000000111,347.8634868999943,347.8634868999943,347.8634868999943,347.8634868999943,347.8634868999943,50,59,60,54,50,37,6.0,2.0601096999889705,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],None,None,349.9465445000096,351.8196711000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
1,-0.3,-0.225,0,24,24,24,,,,,,,,,,None,351.8196711000055,351.8196711000055,351.8196711000055,351.8196711000055,351.8196711000055,351.8196711000055,r,1.1671927999996115,353.0168760000088,353.0168760000088,353.0168760000088,353.0168760000088,353.0168760000088,353.0168760000088,353.315926100011,353.315926100011,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,355.31050720001804,357.8195950000081,357.8195950000081,357.8195950000081,357.8195950000081,357.8195950000081,51,57,60,55,51,65,6.0,1.8269350999908056,,,[],[],[],[],[],[],[],0.2,3,,[],[],[],[],[],[],[],None,None,359.6729867999966,361.2440363000205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
0,0.3,0.225,0,25,25,25,,,,,,,,,,None,361.2440363000205,361.2440363000205,361.2440363000205,361.2440363000205,361.2440363000205,361.2440363000205,j,0.9619930000044405,362.2252931999974,362.2252931999974,362.2252931999974,362.2252931999974,362.2252931999974,362.2252931999974,362.5241900999972,362.5241900999972,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,363.37152899999637,,,,,,54,56,53,53,53,34,None,None,,,[],[],[],[],[],[],[],0.2,1,40,[0.05925925925925926],[-0.29444444444444445],[1],[0],[0],[4.5515302999992855],['tijiao_random_2'],7.8240740740740735,1.7568256000231486,372.22966320000705,373.9760215000133,,,,,,,,,,,370.4547280000115,370.4547280000115,370.4547280000115,370.4547280000115,365.890876999998,365.890876999998,365.890876999998,365.890876999998,365.890876999998,365.890876999998,365.890876999998,365.890876999998,0.006195499998284504,365.890876999998,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
1,-0.3,-0.225,0,26,26,26,,,,,,,,,,None,373.9760215000133,373.9760215000133,373.9760215000133,373.9760215000133,373.9760215000133,373.9760215000133,j,0.6572030000097584,374.6581053000118,374.6581053000118,374.6581053000118,374.6581053000118,374.6581053000118,374.6581053000118,374.95694000000367,374.95694000000367,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,376.7516253000067,379.26104100001976,379.26104100001976,379.26104100001976,379.26104100001976,379.26104100001976,56,50,66,51,51,32,5.0,2.160092200007057,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],None,None,381.4469170999946,383.184056099999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
0,0.3,0.225,0,27,27,27,,,,,,,,,,None,383.184056099999,383.184056099999,383.184056099999,383.184056099999,383.184056099999,383.184056099999,r,0.4197376000229269,383.63341470001615,383.63341470001615,383.63341470001615,383.63341470001615,383.63341470001615,383.63341470001615,383.9325876000221,383.9325876000221,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,385.67760850000195,,,,,,44,52,64,50,44,50,None,None,50,50,[0.0787037037037037],[-0.2759259259259259],[1],[0],[0],[4.510680599982152],['tijiao'],-0.2,0,,[],[],[],[],[],[],[],7.12962962962963,1.762540199997602,394.50215970000136,396.4146252000064,388.1886263000197,388.1886263000197,388.1886263000197,388.1886263000197,388.1886263000197,388.1886263000197,388.1886263000197,388.1886263000197,0.006447399995522574,388.1886263000197,392.7205468000029,392.7205468000029,392.7205468000029,392.7205468000029,,,,,,,,,,,,,,,,251,f,18,2023-03-22_17h36.20.712,RL,2022.2.4,60.151750844111255,
