bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,slider_2.started,image_7.started,confi.started,notconfi.started,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,rest_image.started,rest_response.started,rest_response.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,51.701539399975445,51.701539399975445,space,3.3457148000015877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
,,,,,,,,,,,55.07644409997738,55.07644409997738,s,22.194804200000362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
1,-0.3,-0.225,0,8,8,8,,,,,,,,,,None,191.78920799997286,191.78920799997286,191.78920799997286,191.78920799997286,191.78920799997286,191.78920799997286,j,0.317001799994614,192.13887639998575,192.13887639998575,192.13887639998575,192.13887639998575,192.13887639998575,192.13887639998575,192.43777159997262,192.43777159997262,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,193.4680200999719,195.9768646999728,195.9768646999728,195.9768646999728,195.9768646999728,195.9768646999728,50,47,54,69,69,42,5.0,4.071199099998921,,,[],[],[],[],[],[],[],-0.6,2,,[],[],[],[],[],[],[],None,None,200.0763909999805,201.6619527999719,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
0,0.3,0.225,0,9,9,9,,,,,,,,,,None,201.6619527999719,201.6619527999719,201.6619527999719,201.6619527999719,201.6619527999719,201.6619527999719,j,0.40196109999669716,202.0946130999946,202.0946130999946,202.0946130999946,202.0946130999946,202.0946130999946,202.0946130999946,202.3937772999925,202.3937772999925,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,203.5904515000002,,,,,,45,43,56,68,68,76,None,None,,,[],[],[],[],[],[],[],0.2,1,50,[0.03148148148148148],[-0.27037037037037037],[1],[0],[0],[4.554374100000132],['tijiao_random_2'],8.981481481481481,4.880526199995074,215.5733154999907,217.23625679998077,,,,,,,,,,,210.6746037999983,210.6746037999983,210.6746037999983,210.6746037999983,206.10833169997204,206.10833169997204,206.10833169997204,206.10833169997204,206.10833169997204,206.10833169997204,206.10833169997204,206.10833169997204,0.006189300009282306,206.10833169997204,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
1,-0.3,-0.225,0,10,10,10,,,,,,,,,,None,217.23625679998077,217.23625679998077,217.23625679998077,217.23625679998077,217.23625679998077,217.23625679998077,i,0.3417114999901969,217.60268709997763,217.60268709997763,217.60268709997763,217.60268709997763,217.60268709997763,217.60268709997763,217.9011403999757,217.9011403999757,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,219.29745319997892,,,,,,50,52,51,78,51,77,None,None,,,[],[],[],[],[],[],[],0.2,1,50,[-0.002777777777777778],[-0.28425925925925927],[1],[0],[0],[4.388663599995198],['tijiao_random_2'],8.981481481481481,1.8868794000009075,228.1220406999928,229.70225759997265,,,,,,,,,,,226.21647769998526,226.21647769998526,226.21647769998526,226.21647769998526,221.81438699999126,221.81438699999126,221.81438699999126,221.81438699999126,221.81438699999126,221.81438699999126,221.81438699999126,221.81438699999126,0.0056893999862950295,221.81438699999126,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
0,0.3,0.225,0,11,11,11,,,,,,,,,,None,229.70225759997265,229.70225759997265,229.70225759997265,229.70225759997265,229.70225759997265,229.70225759997265,j,0.44677300000330433,230.16813709997223,230.16813709997223,230.16813709997223,230.16813709997223,230.16813709997223,230.16813709997223,230.46704929997213,230.46704929997213,232.11258339998312,232.11258339998312,232.12914639999508,232.12914639999508,232.12914639999508,232.12914639999508,232.12914639999508,232.12914639999508,232.12914639999508,232.12914639999508,232.12914639999508,232.12914639999508,232.12914639999508,232.12914639999508,232.12914639999508,232.12914639999508,232.12914639999508,,,,,,47,52,55,68,68,83,None,None,,,[],[],[],[],[],[],[],-0.6,1,30,[-0.03518518518518519],[-0.2740740740740741],[1],[0],[0],[5.04953689998365],['tijiao_random_2'],8.907407407407408,2.240733699989505,241.96780809998745,243.84707239997806,,,,,,,,,,,239.71024299997953,239.71024299997953,239.71024299997953,239.71024299997953,234.6482514999807,234.6482514999807,234.6482514999807,234.6482514999807,234.6482514999807,234.6482514999807,234.6482514999807,234.6482514999807,0.0054583000019192696,234.6482514999807,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
1,-0.3,-0.225,0,12,12,12,,,,,,,,,,None,243.84707239997806,243.84707239997806,243.84707239997806,243.84707239997806,243.84707239997806,243.84707239997806,r,0.2963637000066228,244.16321239998797,244.16321239998797,244.16321239998797,244.16321239998797,244.16321239998797,244.16321239998797,244.46238879999146,244.46238879999146,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,245.4262137999758,247.93506119999802,247.93506119999802,247.93506119999802,247.93506119999802,247.93506119999802,45,47,51,74,45,88,2.0,2.94120619999012,,,[],[],[],[],[],[],[],-0.2,3,,[],[],[],[],[],[],[],None,None,250.9013323999825,252.52301330000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
0,0.3,0.225,0,13,13,13,,,,,,,,,,None,252.52301330000046,252.52301330000046,252.52301330000046,252.52301330000046,252.52301330000046,252.52301330000046,j,0.28905870000016876,252.8394033999939,252.8394033999939,252.8394033999939,252.8394033999939,252.8394033999939,252.8394033999939,253.13838229997782,253.13838229997782,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,254.7175859999843,,,,,,45,57,53,72,72,33,None,None,,,[],[],[],[],[],[],[],-0.6,1,30,[0.03333333333333333],[-0.2898148148148148],[1],[0],[0],[4.020762100000866],['tijiao_random_2'],9.00925925925926,2.368879699992249,263.658623299998,265.50478219997603,,,,,,,,,,,261.2716954999778,261.2716954999778,261.2716954999778,261.2716954999778,257.2367216999992,257.2367216999992,257.2367216999992,257.2367216999992,257.2367216999992,257.2367216999992,257.2367216999992,257.2367216999992,0.005582900019362569,257.2367216999992,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
1,-0.3,-0.225,0,14,14,14,,,,,,,,,,None,265.50478219997603,265.50478219997603,265.50478219997603,265.50478219997603,265.50478219997603,265.50478219997603,j,0.2676013000018429,265.80414969997946,265.80414969997946,265.80414969997946,265.80414969997946,265.80414969997946,265.80414969997946,266.103395299986,266.103395299986,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,267.54923109998344,270.05838199998834,270.05838199998834,270.05838199998834,270.05838199998834,270.05838199998834,44,51,63,71,71,39,6.0,1.9769943999999668,,,[],[],[],[],[],[],[],0.6,2,,[],[],[],[],[],[],[],None,None,272.05914959998336,273.7821886999882,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
0,0.3,0.225,0,15,15,15,,,,,,,,,,None,273.7821886999882,273.7821886999882,273.7821886999882,273.7821886999882,273.7821886999882,273.7821886999882,j,0.4946695000107866,274.2976451999857,274.2976451999857,274.2976451999857,274.2976451999857,274.2976451999857,274.2976451999857,274.5967172999808,274.5967172999808,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,276.2424595999764,,,,,,47,55,61,74,74,76,None,None,70,70,[-0.004629629629629629],[-0.28703703703703703],[1],[0],[0],[5.823065500007942],['tijiao'],0.2,0,,[],[],[],[],[],[],[],10.0,2.8418646000209264,287.4604486999742,289.0570918999729,278.75378609998734,278.75378609998734,278.75378609998734,278.75378609998734,278.75378609998734,278.75378609998734,278.75378609998734,278.75378609998734,0.007399399997666478,278.75378609998734,284.5996512999991,284.5996512999991,284.5996512999991,284.5996512999991,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
1,-0.3,-0.225,0,16,16,16,,,,,,,,,,None,289.0570918999729,289.0570918999729,289.0570918999729,289.0570918999729,289.0570918999729,289.0570918999729,j,0.2984808999754023,289.3730125000002,289.3730125000002,289.3730125000002,289.3730125000002,289.3730125000002,289.3730125000002,289.6723238999839,289.6723238999839,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,290.61972809999133,,,,,,54,51,65,78,78,84,None,None,,,[],[],[],[],[],[],[],-0.2,1,50,[0.022222222222222223],[-0.2657407407407407],[1],[0],[0],[7.430603000015253],['tijiao_random_2'],8.953703703703704,2.6862258999899495,303.28440789997694,304.8970434999792,,,,,,,,,,,300.579556599987,300.579556599987,300.579556599987,300.579556599987,293.1358486999816,293.1358486999816,293.1358486999816,293.1358486999816,293.1358486999816,293.1358486999816,293.1358486999816,293.1358486999816,0.005708300013793632,293.1358486999816,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
0,0.3,0.225,0,17,17,17,,,,,,,,,,None,304.8970434999792,304.8970434999792,304.8970434999792,304.8970434999792,304.8970434999792,304.8970434999792,i,0.27692979999119416,305.19651669997256,305.19651669997256,305.19651669997256,305.19651669997256,305.19651669997256,305.19651669997256,305.4958121999807,305.4958121999807,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,306.3434695999895,,,,,,41,47,53,70,53,80,None,None,70,70,[0.075],[-0.25833333333333336],[1],[0],[0],[7.519629400019767],['tijiao'],0.6,0,,[],[],[],[],[],[],[],8.962962962962962,2.0116733000031672,318.4258919999993,320.2552215999749,308.85339699999895,308.85339699999895,308.85339699999895,308.85339699999895,308.85339699999895,308.85339699999895,308.85339699999895,308.85339699999895,0.0066334000148344785,308.85339699999895,316.3953888999822,316.3953888999822,316.3953888999822,316.3953888999822,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
1,-0.3,-0.225,0,18,18,18,,,,,,,,,,None,320.2552215999749,320.2552215999749,320.2552215999749,320.2552215999749,320.2552215999749,320.2552215999749,j,0.3479384999955073,320.6209527999745,320.6209527999745,320.6209527999745,320.6209527999745,320.6209527999745,320.6209527999745,320.92042759998003,320.92042759998003,322.465672899998,322.465672899998,322.465672899998,322.465672899998,322.465672899998,322.465672899998,322.465672899998,322.465672899998,322.465672899998,322.465672899998,322.465672899998,322.465672899998,322.465672899998,322.465672899998,322.465672899998,322.465672899998,322.465672899998,324.97523229999933,324.97523229999933,324.97523229999933,324.97523229999933,324.97523229999933,51,54,63,69,69,81,6.0,2.392752699990524,,,[],[],[],[],[],[],[],0.2,2,,[],[],[],[],[],[],[],None,None,327.39311509998515,329.0478798999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
0,0.3,0.225,0,19,19,19,,,,,,,,,,None,329.0478798999975,329.0478798999975,329.0478798999975,329.0478798999975,329.0478798999975,329.0478798999975,j,0.2679521999962162,329.347317799984,329.347317799984,329.347317799984,329.347317799984,329.347317799984,329.347317799984,329.6465663999843,329.6465663999843,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,331.0592800999875,,,,,,59,59,61,75,75,75,None,None,,,[],[],[],[],[],[],[],-0.2,1,50,[-0.04537037037037037],[-0.287962962962963],[1],[0],[0],[5.152166199986823],['tijiao_random_2'],9.018518518518519,3.731757600005949,342.493484799983,344.4222348999756,,,,,,,,,,,338.74330689999624,338.74330689999624,338.74330689999624,338.74330689999624,333.57692769999267,333.57692769999267,333.57692769999267,333.57692769999267,333.57692769999267,333.57692769999267,333.57692769999267,333.57692769999267,0.005386100005125627,333.57692769999267,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
1,-0.3,-0.225,0,20,20,20,,,,,,,,,,None,344.4222348999756,344.4222348999756,344.4222348999756,344.4222348999756,344.4222348999756,344.4222348999756,j,0.2276068000064697,344.67439199998626,344.67439199998626,344.67439199998626,344.67439199998626,344.67439199998626,344.67439199998626,344.97130069998093,344.97130069998093,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,346.96595949999755,349.47513159998925,349.47513159998925,349.47513159998925,349.47513159998925,349.47513159998925,53,56,56,76,76,81,7.0,4.569906599994283,,,[],[],[],[],[],[],[],0.6,3,,[],[],[],[],[],[],[],None,None,354.07175789997564,355.9742305999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,f,22,2023-03-22_11h23.55.784,RL,2022.2.4,60.180601981568316,
