bandit0,black_x_pos_random,black_y_pos_random,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,wait_playerB.started,docs.stopped,wait_playerB.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,expectself.text,value_expect_self,tijiao_click.x,tijiao_click.y,tijiao_click.leftButton,tijiao_click.midButton,tijiao_click.rightButton,tijiao_click.time,tijiao_click.clicked_name,random_whicharm,whether_ask,jiantou_random.started,expect_red.started,expect_green.started,expect_yellow.started,expect_blue.started,expect_random_2.started,expect_random_3.started,tijiao_random_2.started,tijiao_random.started,check_2.started,expect_random_3.text,tijiao_random.x,tijiao_random.y,tijiao_random.leftButton,tijiao_random.midButton,tijiao_random.rightButton,tijiao_random.time,tijiao_random.clicked_name,slider_2.started,image_7.started,confi.started,notconfi.started,slider_2.response,slider_2.rt,intertrialfix.started,intertrialfix.stopped,expectself.started,expect_self_black.started,expect_self.started,expect_self_red.started,expect_self_green.started,expect_self_yellow.started,expect_self_blue.started,tijiao.started,tijiao_click.started,check.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,31.60343482999815,31.60343482999815,space,6.435953735999647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
,,,,,,,,,,,38.079957461999584,38.079957461999584,s,13.95925376300147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
1,-0.3,-0.225,0,8,8,8,,,,,,,,,,None,157.42735427400112,157.42735427400112,157.42735427400112,157.42735427400112,157.42735427400112,157.42735427400112,j,0.38450961600028677,157.86468551600046,157.86468551600046,157.86468551600046,157.86468551600046,157.86468551600046,157.86468551600046,158.13531261200114,158.13531261200114,159.23285257099997,159.23285257099997,159.2537615049987,159.2537615049987,159.2537615049987,159.2537615049987,159.2537615049987,159.2537615049987,159.2537615049987,159.2537615049987,159.2537615049987,159.2537615049987,159.2537615049987,159.2537615049987,159.2537615049987,159.2537615049987,159.2537615049987,31,62,80,39,39,48,None,None,,,[],[],[],[],[],[],[],-0.6,1,161.7884317019998,161.7884317019998,161.7884317019998,161.7884317019998,161.7884317019998,161.7884317019998,161.7884317019998,161.7884317019998,0.010005235999415163,161.7884317019998,40,[0.01625],[-0.3275],[1],[0],[0],[6.053473461000976],['tijiao_random_2'],167.85611038199931,167.85611038199931,167.85611038199931,167.85611038199931,8.1375,2.566749362002156,170.44742222700006,172.05457931099954,,,,,,,,,,,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
0,0.3,0.225,0,9,9,9,,,,,,,,,,None,172.05457931099954,172.05457931099954,172.05457931099954,172.05457931099954,172.05457931099954,172.05457931099954,r,0.34077524099848233,172.44278688000122,172.44278688000122,172.44278688000122,172.44278688000122,172.44278688000122,172.44278688000122,172.7095887200012,172.7095887200012,174.69654317599998,174.69654317599998,174.73702463299924,174.73702463299924,174.73702463299924,174.73702463299924,174.73702463299924,174.73702463299924,174.73702463299924,174.73702463299924,174.73702463299924,174.73702463299924,174.73702463299924,174.73702463299924,174.73702463299924,174.73702463299924,174.73702463299924,33,58,86,37,33,59,7.0,1.6129626410001947,,,[],[],[],[],[],[],[],0.6,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,178.89377504299773,180.79117270599818,,,,,,,,,,,177.23826758499854,177.23826758499854,177.23826758499854,177.23826758499854,177.23826758499854,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
1,-0.3,-0.225,0,10,10,10,,,,,,,,,,None,180.79117270599818,180.79117270599818,180.79117270599818,180.79117270599818,180.79117270599818,180.79117270599818,r,0.8694046509990585,181.7106226199976,181.7106226199976,181.7106226199976,181.7106226199976,181.7106226199976,181.7106226199976,181.98123438499897,181.98123438499897,183.68653180699766,183.68653180699766,183.7270682649978,183.7270682649978,183.7270682649978,183.7270682649978,183.7270682649978,183.7270682649978,183.7270682649978,183.7270682649978,183.7270682649978,183.7270682649978,183.7270682649978,183.7270682649978,183.7270682649978,183.7270682649978,183.7270682649978,32,59,70,37,32,34,7.0,2.882187358001829,,,[],[],[],[],[],[],[],-0.2,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,189.14812873499977,191.01152889399964,,,,,,,,,,,186.22093957800098,186.22093957800098,186.22093957800098,186.22093957800098,186.22093957800098,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
0,0.3,0.225,0,11,11,11,,,,,,,,,,None,191.01152889399964,191.01152889399964,191.01152889399964,191.01152889399964,191.01152889399964,191.01152889399964,f,0.47573986900169984,191.53310509999937,191.53310509999937,191.53310509999937,191.53310509999937,191.53310509999937,191.53310509999937,191.80182451499786,191.80182451499786,193.7895031900007,193.7895031900007,193.8307710609988,193.8307710609988,193.8307710609988,193.8307710609988,193.8307710609988,193.8307710609988,193.8307710609988,193.8307710609988,193.8307710609988,193.8307710609988,193.8307710609988,193.8307710609988,193.8307710609988,193.8307710609988,193.8307710609988,26,57,72,34,57,53,None,None,,,[],[],[],[],[],[],[],0.6,1,196.35122252099973,196.35122252099973,196.35122252099973,196.35122252099973,196.35122252099973,196.35122252099973,196.35122252099973,196.35122252099973,0.010373013003118103,196.35122252099973,60,[0.0775],[-0.30625],[1],[0],[0],[6.896402230999229],['tijiao_random_2'],203.26982284000042,203.26982284000042,203.26982284000042,203.26982284000042,9.0,2.5145995909988414,205.80831141599992,207.63679484000022,,,,,,,,,,,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
1,-0.3,-0.225,0,12,12,12,,,,,,,,,,None,207.63679484000022,207.63679484000022,207.63679484000022,207.63679484000022,207.63679484000022,207.63679484000022,j,1.0879712679998192,208.7732361399976,208.7732361399976,208.7732361399976,208.7732361399976,208.7732361399976,208.7732361399976,209.04355788699831,209.04355788699831,210.23885653699836,210.23885653699836,210.2788385749991,210.2788385749991,210.2788385749991,210.2788385749991,210.2788385749991,210.2788385749991,210.2788385749991,210.2788385749991,210.2788385749991,210.2788385749991,210.2788385749991,210.2788385749991,210.2788385749991,210.2788385749991,210.2788385749991,28,49,72,28,28,38,4.0,2.026517212001636,,,[],[],[],[],[],[],[],0.6,2,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,214.8645786699999,216.42492048499844,,,,,,,,,,,212.78973849699832,212.78973849699832,212.78973849699832,212.78973849699832,212.78973849699832,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
0,0.3,0.225,0,13,13,13,,,,,,,,,,None,216.42492048499844,216.42492048499844,216.42492048499844,216.42492048499844,216.42492048499844,216.42492048499844,f,0.8885377350015915,217.368338029999,217.368338029999,217.368338029999,217.368338029999,217.368338029999,217.368338029999,217.64779237699986,217.64779237699986,218.97164048299965,218.97164048299965,218.9930201879979,218.9930201879979,218.9930201879979,218.9930201879979,218.9930201879979,218.9930201879979,218.9930201879979,218.9930201879979,218.9930201879979,218.9930201879979,218.9930201879979,218.9930201879979,218.9930201879979,218.9930201879979,218.9930201879979,38,47,81,28,47,54,6.0,2.1666981170019426,,,[],[],[],[],[],[],[],-0.2,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,223.71642264299953,225.71247721499822,,,,,,,,,,,221.50584046199947,221.50584046199947,221.50584046199947,221.50584046199947,221.50584046199947,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
1,-0.3,-0.225,0,14,14,14,,,,,,,,,,None,225.71247721499822,225.71247721499822,225.71247721499822,225.71247721499822,225.71247721499822,225.71247721499822,i,0.9531732610012114,226.7125526790005,226.7125526790005,226.7125526790005,226.7125526790005,226.7125526790005,226.7125526790005,226.98629131000052,226.98629131000052,228.15513350299807,228.15513350299807,228.17870554699766,228.17870554699766,228.17870554699766,228.17870554699766,228.17870554699766,228.17870554699766,228.17870554699766,228.17870554699766,228.17870554699766,228.17870554699766,228.17870554699766,228.17870554699766,228.17870554699766,228.17870554699766,228.17870554699766,27,54,83,40,83,52,None,None,,,[],[],[],[],[],[],[],0.6,1,230.70748673799972,230.70748673799972,230.70748673799972,230.70748673799972,230.70748673799972,230.70748673799972,230.70748673799972,230.70748673799972,0.010182566998992115,230.70748673799972,30,[0.01],[-0.275],[1],[0],[0],[5.850220675998571],['tijiao_random_2'],236.57181730400043,236.57181730400043,236.57181730400043,236.57181730400043,8.025,2.008037871997658,238.60036734299865,240.40315266299876,,,,,,,,,,,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
0,0.3,0.225,0,15,15,15,,,,,,,,,,None,240.40315266299876,240.40315266299876,240.40315266299876,240.40315266299876,240.40315266299876,240.40315266299876,i,0.5362386619999597,240.99005646099977,240.99005646099977,240.99005646099977,240.99005646099977,240.99005646099977,240.99005646099977,241.2560000150006,241.2560000150006,242.2294894609986,242.2294894609986,242.26878907799983,242.26878907799983,242.26878907799983,242.26878907799983,242.26878907799983,242.26878907799983,242.26878907799983,242.26878907799983,242.26878907799983,242.26878907799983,242.26878907799983,242.26878907799983,242.26878907799983,242.26878907799983,242.26878907799983,29,57,85,38,85,50,7.0,1.997213026999816,,,[],[],[],[],[],[],[],0.6,3,,,,,,,,,,,,[],[],[],[],[],[],[],,,,,None,None,246.80807398199977,248.75678765599878,,,,,,,,,,,244.76506626099945,244.76506626099945,244.76506626099945,244.76506626099945,244.76506626099945,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
1,-0.3,-0.225,0,16,16,16,,,,,,,,,,None,248.75678765599878,248.75678765599878,248.75678765599878,248.75678765599878,248.75678765599878,248.75678765599878,j,0.5996339750017796,249.41326794799897,249.41326794799897,249.41326794799897,249.41326794799897,249.41326794799897,249.41326794799897,249.68022120499882,249.68022120499882,251.43195358500088,251.43195358500088,251.47257992699815,251.47257992699815,251.47257992699815,251.47257992699815,251.47257992699815,251.47257992699815,251.47257992699815,251.47257992699815,251.47257992699815,251.47257992699815,251.47257992699815,251.47257992699815,251.47257992699815,251.47257992699815,251.47257992699815,20,53,79,33,33,58,None,None,,,[],[],[],[],[],[],[],0.2,1,254.01427260999844,254.01427260999844,254.01427260999844,254.01427260999844,254.01427260999844,254.01427260999844,254.01427260999844,254.01427260999844,0.009989268000936136,254.01427260999844,80,[0.03125],[-0.3025],[1],[0],[0],[5.495469850000518],['tijiao_random_2'],259.52586520000114,259.52586520000114,259.52586520000114,259.52586520000114,10.25,2.2914270399996894,261.83597407699926,263.52876040000046,,,,,,,,,,,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
0,0.3,0.225,0,17,17,17,,,,,,,,,,None,263.52876040000046,263.52876040000046,263.52876040000046,263.52876040000046,263.52876040000046,263.52876040000046,f,0.7343806830031099,264.31622801999765,264.31622801999765,264.31622801999765,264.31622801999765,264.31622801999765,264.31622801999765,264.5859225489985,264.5859225489985,265.83199314800004,265.83199314800004,265.87726745599866,265.87726745599866,265.87726745599866,265.87726745599866,265.87726745599866,265.87726745599866,265.87726745599866,265.87726745599866,265.87726745599866,265.87726745599866,265.87726745599866,265.87726745599866,265.87726745599866,265.87726745599866,265.87726745599866,27,46,82,44,46,63,None,None,30,30,[0.07625],[-0.285],[1],[0],[0],[6.543697674002033],['tijiao'],-0.6,0,,,,,,,,,,,,[],[],[],[],[],[],[],274.9684161019977,274.9684161019977,274.9684161019977,274.9684161019977,9.95,1.9159812969992345,276.90622113599966,278.8532273979981,268.4011188689983,268.4011188689983,268.4011188689983,268.4011188689983,268.4011188689983,268.4011188689983,268.4011188689983,268.4011188689983,0.009173465001367731,268.4011188689983,,,,,,,,,,,,,,,,,275,f,22,2023-04-04_14h48.22.406,RL,2022.2.4,59.11880803551007,
