arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.210895200027153,16.210895200027153,space,2.216132099973038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
58,53,51,68,0,79,79,79,,,,,,,,,,,None,494.43935130001046,494.43935130001046,494.43935130001046,494.43935130001046,494.43935130001046,494.43935130001046,j,0.3341911998577416,494.7896214998327,494.7896214998327,494.7896214998327,494.7896214998327,494.7896214998327,494.7896214998327,495.08923280006275,496.2893680999987,496.2893680999987,496.2893680999987,496.2893680999987,496.2893680999987,496.2893680999987,496.2893680999987,496.2893680999987,496.2893680999987,496.2893680999987,496.2893680999987,496.2893680999987,496.2893680999987,496.2893680999987,497.7875365000218,497.7875365000218,497.7875365000218,497.7875365000218,497.7875365000218,497.7875365000218,497.7875365000218,51,53,58,68,68,60,497.7875365000218,499.65565139986575,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
63,51,61,65,0,80,80,80,,,,,,,,,,,None,499.65565139986575,499.65565139986575,499.65565139986575,499.65565139986575,499.65565139986575,499.65565139986575,j,0.26248919987119734,499.93998409993947,499.93998409993947,499.93998409993947,499.93998409993947,499.93998409993947,499.93998409993947,500.2385173998773,501.63885940006,501.63885940006,501.63885940006,501.63885940006,501.63885940006,501.63885940006,501.63885940006,501.63885940006,501.63885940006,501.63885940006,501.63885940006,501.63885940006,501.63885940006,501.63885940006,503.3361650998704,503.3361650998704,503.3361650998704,503.3361650998704,503.3361650998704,503.3361650998704,503.3361650998704,61,51,63,65,65,60,503.3361650998704,505.05437120003626,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
49,56,61,56,0,81,81,81,,,,,,,,,,,None,505.05437120003626,505.05437120003626,505.05437120003626,505.05437120003626,505.05437120003626,505.05437120003626,j,0.2338960999622941,505.30443839984946,505.30443839984946,505.30443839984946,505.30443839984946,505.30443839984946,505.30443839984946,505.6052412998397,506.8877180998679,506.8877180998679,506.8877180998679,506.8877180998679,506.8877180998679,506.8877180998679,506.8877180998679,506.8877180998679,506.8877180998679,506.8877180998679,506.8877180998679,506.8877180998679,506.8877180998679,506.8877180998679,508.4686267999932,508.4686267999932,508.4686267999932,508.4686267999932,508.4686267999932,508.4686267999932,508.4686267999932,61,56,49,56,56,60,508.4686267999932,510.16997549985535,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
60,55,57,49,0,82,82,82,,,,,,,,,,,None,510.16997549985535,510.16997549985535,510.16997549985535,510.16997549985535,510.16997549985535,510.16997549985535,f,0.2766309999860823,510.4722853000276,510.4722853000276,510.4722853000276,510.4722853000276,510.4722853000276,510.4722853000276,510.7534435999114,511.8864382999018,511.8864382999018,511.8864382999018,511.8864382999018,511.8864382999018,511.8864382999018,511.8702197999228,511.8864382999018,511.8864382999018,511.8864382999018,511.8864382999018,511.8864382999018,511.8864382999018,511.8864382999018,513.3011958999559,513.3011958999559,513.3011958999559,513.3011958999559,513.3011958999559,513.3011958999559,513.3011958999559,57,55,60,49,57,60,513.3011958999559,515.0355718999635,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
58,56,64,52,0,83,83,83,,,,,,,,,,,None,515.0355718999635,515.0355718999635,515.0355718999635,515.0355718999635,515.0355718999635,515.0355718999635,j,0.2113165999762714,515.2706279999111,515.2706279999111,515.2706279999111,515.2706279999111,515.2706279999111,515.2706279999111,515.5524999999907,516.7355342998635,516.7355342998635,516.7355342998635,516.7355342998635,516.7355342998635,516.7355342998635,516.7187204000074,516.7355342998635,516.7355342998635,516.7355342998635,516.7355342998635,516.7355342998635,516.7355342998635,516.7355342998635,518.1841390000191,518.1841390000191,518.1841390000191,518.1841390000191,518.1841390000191,518.1841390000191,518.1841390000191,64,56,58,52,52,60,518.1841390000191,519.9351369000506,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
45,44,56,56,0,84,84,84,,,,,,,,,,,None,519.9351369000506,519.9351369000506,519.9351369000506,519.9351369000506,519.9351369000506,519.9351369000506,f,0.3201431999914348,520.2864802998956,520.2864802998956,520.2864802998956,520.2864802998956,520.2864802998956,520.2864802998956,520.5854666999076,521.5181009999942,521.5181009999942,521.5181009999942,521.5181009999942,521.5181009999942,521.5181009999942,521.5181009999942,521.5181009999942,521.5181009999942,521.5181009999942,521.5181009999942,521.5181009999942,521.5181009999942,521.5181009999942,522.7491442998871,522.7491442998871,522.7491442998871,522.7491442998871,522.7491442998871,522.7491442998871,522.7491442998871,56,44,45,56,56,60,522.7491442998871,524.6339861999732,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
46,50,59,57,0,85,85,85,,,,,,,,,,,None,524.6339861999732,524.6339861999732,524.6339861999732,524.6339861999732,524.6339861999732,524.6339861999732,f,0.562142999842763,525.2178525000345,525.2178525000345,525.2178525000345,525.2178525000345,525.2178525000345,525.2178525000345,525.500801499933,526.8169644000009,526.8169644000009,526.8169644000009,526.8169644000009,526.8169644000009,526.8169644000009,526.8003960999195,526.8169644000009,526.8169644000009,526.8169644000009,526.8169644000009,526.8169644000009,526.8169644000009,526.8169644000009,528.4156730999239,528.4156730999239,528.4156730999239,528.4156730999239,528.4156730999239,528.4156730999239,528.4156730999239,59,50,46,57,59,60,528.4156730999239,530.2161663000006,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
41,36,62,48,0,86,86,86,,,,,,,,,,,None,530.2161663000006,530.2161663000006,530.2161663000006,530.2161663000006,530.2161663000006,530.2161663000006,f,0.24994829995557666,530.4867648000363,530.4867648000363,530.4867648000363,530.4867648000363,530.4867648000363,530.4867648000363,530.7667549999896,531.8331466000527,531.8331466000527,531.8331466000527,531.8331466000527,531.8331466000527,531.8331466000527,531.7997357000131,531.8331466000527,531.8331466000527,531.8331466000527,531.8331466000527,531.8331466000527,531.8331466000527,531.8331466000527,533.1648309999146,533.1648309999146,533.1648309999146,533.1648309999146,533.1648309999146,533.1648309999146,533.1648309999146,62,36,41,48,62,60,533.1648309999146,534.7486902000383,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
48,44,72,55,0,87,87,87,,,,,,,,,,,None,534.7486902000383,534.7486902000383,534.7486902000383,534.7486902000383,534.7486902000383,534.7486902000383,f,0.28420859994366765,535.0659988999832,535.0659988999832,535.0659988999832,535.0659988999832,535.0659988999832,535.0659988999832,535.3494951999746,536.8487525000237,536.8487525000237,536.8487525000237,536.8487525000237,536.8487525000237,536.8487525000237,536.8321272998583,536.8487525000237,536.8487525000237,536.8487525000237,536.8487525000237,536.8487525000237,536.8487525000237,536.8487525000237,538.6307936999947,538.6307936999947,538.6307936999947,538.6307936999947,538.6307936999947,538.6307936999947,538.6307936999947,72,44,48,55,72,60,538.6307936999947,540.5810680999421,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
36,33,64,51,0,88,88,88,,,,,,,,,,,None,540.5810680999421,540.5810680999421,540.5810680999421,540.5810680999421,540.5810680999421,540.5810680999421,f,0.2439495997969061,540.8492354999762,540.8492354999762,540.8492354999762,540.8492354999762,540.8492354999762,540.8492354999762,541.131810199935,543.1479722999502,543.1479722999502,543.1479722999502,543.1479722999502,543.1479722999502,543.1479722999502,543.1310778998304,543.1479722999502,543.1479722999502,543.1479722999502,543.1479722999502,543.1479722999502,543.1479722999502,543.1479722999502,545.4460215000436,545.4460215000436,545.4460215000436,545.4460215000436,545.4460215000436,545.4460215000436,545.4460215000436,64,33,36,51,64,60,545.4460215000436,547.24727599998,,,,,,,,,,,009,f,25,2023-05-13_18h14.16.751,RL,2022.2.5,60.24205258699676,
