arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
61,55,28,45,0,106,106,106,,,,,,,,,,,None,661.468254300009,661.468254300009,661.468254300009,661.468254300009,661.468254300009,661.468254300009,j,0.24334230000386015,661.7365377999959,661.7365377999959,661.7365377999959,661.7365377999959,661.7365377999959,661.7365377999959,662.0357175999961,663.4352736999863,663.4352736999863,663.4352736999863,663.4352736999863,663.4352736999863,663.4352736999863,663.4352736999863,663.4352736999863,663.4352736999863,663.4352736999863,663.4352736999863,663.4352736999863,663.4352736999863,663.4352736999863,665.1327218000079,665.1327218000079,665.1327218000079,665.1327218000079,665.1327218000079,665.1327218000079,665.1327218000079,28,61,45,55,55,70,665.1327218000079,667.100455399981,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
65,53,46,49,0,107,107,107,,,,,,,,,,,None,667.100455399981,667.100455399981,667.100455399981,667.100455399981,667.100455399981,667.100455399981,j,0.29428199998801574,667.417586399999,667.417586399999,667.417586399999,667.417586399999,667.417586399999,667.417586399999,667.7009058999829,669.6837201000017,669.6837201000017,669.6837201000017,669.6837201000017,669.6837201000017,669.6837201000017,669.6673332999926,669.6837201000017,669.6837201000017,669.6837201000017,669.6837201000017,669.6837201000017,669.6837201000017,669.6837201000017,671.9481138999981,671.9481138999981,671.9481138999981,671.9481138999981,671.9481138999981,671.9481138999981,671.9481138999981,46,65,49,53,53,70,671.9481138999981,673.6330631999881,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
67,48,42,46,0,108,108,108,,,,,,,,,,,None,673.6330631999881,673.6330631999881,673.6330631999881,673.6330631999881,673.6330631999881,673.6330631999881,i,0.2944740999955684,673.9498669999884,673.9498669999884,673.9498669999884,673.9498669999884,673.9498669999884,673.9498669999884,674.2335619000078,675.7492364000063,675.7492364000063,675.7492364000063,675.7492364000063,675.7492364000063,675.7492364000063,675.7492364000063,675.7492364000063,675.7492364000063,675.7492364000063,675.7492364000063,675.7492364000063,675.7492364000063,675.7492364000063,677.547338400007,677.547338400007,677.547338400007,677.547338400007,677.547338400007,677.547338400007,677.547338400007,42,67,46,48,46,70,677.547338400007,679.2982101999805,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
65,55,41,42,0,109,109,109,,,,,,,,,,,None,679.2982101999805,679.2982101999805,679.2982101999805,679.2982101999805,679.2982101999805,679.2982101999805,r,0.34465240000281483,679.6655892999843,679.6655892999843,679.6655892999843,679.6655892999843,679.6655892999843,679.6655892999843,679.9487305000075,680.881850899983,680.881850899983,680.881850899983,680.881850899983,680.881850899983,680.881850899983,680.8658442999877,680.881850899983,680.881850899983,680.881850899983,680.881850899983,680.881850899983,680.881850899983,680.881850899983,682.0968378999969,682.0968378999969,682.0968378999969,682.0968378999969,682.0968378999969,682.0968378999969,682.0968378999969,41,65,42,55,65,70,682.0968378999969,684.0478463000036,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
61,48,45,48,0,110,110,110,,,,,,,,,,,None,684.0478463000036,684.0478463000036,684.0478463000036,684.0478463000036,684.0478463000036,684.0478463000036,r,0.3302752000163309,684.4008786999912,684.4008786999912,684.4008786999912,684.4008786999912,684.4008786999912,684.4008786999912,684.6981495000073,686.0975396999856,686.0975396999856,686.0975396999856,686.0975396999856,686.0975396999856,686.0975396999856,686.0809630999865,686.0975396999856,686.0975396999856,686.0975396999856,686.0975396999856,686.0975396999856,686.0975396999856,686.0975396999856,687.7788298999949,687.7788298999949,687.7788298999949,687.7788298999949,687.7788298999949,687.7788298999949,687.7788298999949,45,61,48,48,61,70,687.7788298999949,689.3470779999916,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
74,54,36,44,0,111,111,111,,,,,,,,,,,None,689.3470779999916,689.3470779999916,689.3470779999916,689.3470779999916,689.3470779999916,689.3470779999916,r,0.30123339997953735,689.681163900008,689.681163900008,689.681163900008,689.681163900008,689.681163900008,689.681163900008,689.9634714999993,691.8131162000063,691.8131162000063,691.8131162000063,691.8131162000063,691.8131162000063,691.8131162000063,691.796595199994,691.8131162000063,691.8131162000063,691.8131162000063,691.8131162000063,691.8131162000063,691.8131162000063,691.8131162000063,693.9449553999875,693.9449553999875,693.9449553999875,693.9449553999875,693.9449553999875,693.9449553999875,693.9449553999875,36,74,44,54,74,70,693.9449553999875,695.8788971999893,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
76,65,31,44,0,112,112,112,,,,,,,,,,,None,695.8788971999893,695.8788971999893,695.8788971999893,695.8788971999893,695.8788971999893,695.8788971999893,r,0.333239900006447,696.2292690000031,696.2292690000031,696.2292690000031,696.2292690000031,696.2292690000031,696.2292690000031,696.5293645999918,698.4620711999887,698.4620711999887,698.4620711999887,698.4620711999887,698.4620711999887,698.4620711999887,698.4620711999887,698.4620711999887,698.4620711999887,698.4620711999887,698.4620711999887,698.4620711999887,698.4620711999887,698.4620711999887,700.6932700999896,700.6932700999896,700.6932700999896,700.6932700999896,700.6932700999896,700.6932700999896,700.6932700999896,31,76,44,65,76,70,700.6932700999896,702.5775775999937,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
75,55,36,52,0,113,113,113,,,,,,,,,,,None,702.5775775999937,702.5775775999937,702.5775775999937,702.5775775999937,702.5775775999937,702.5775775999937,r,0.3945520000124816,702.994895699987,702.994895699987,702.994895699987,702.994895699987,702.994895699987,702.994895699987,703.2779766999884,704.1281109999982,704.1281109999982,704.1281109999982,704.1281109999982,704.1281109999982,704.1281109999982,704.1116876000015,704.1281109999982,704.1281109999982,704.1281109999982,704.1281109999982,704.1281109999982,704.1281109999982,704.1281109999982,705.2589230999874,705.2589230999874,705.2589230999874,705.2589230999874,705.2589230999874,705.2589230999874,705.2589230999874,36,75,52,55,75,70,705.2589230999874,707.0601883000054,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
72,61,41,49,0,114,114,114,,,,,,,,,,,None,707.0601883000054,707.0601883000054,707.0601883000054,707.0601883000054,707.0601883000054,707.0601883000054,r,0.3128697999927681,707.3950263999868,707.3950263999868,707.3950263999868,707.3950263999868,707.3950263999868,707.3950263999868,707.6943963000085,708.9768538000062,708.9768538000062,708.9768538000062,708.9768538000062,708.9768538000062,708.9768538000062,708.9768538000062,708.9768538000062,708.9768538000062,708.9768538000062,708.9768538000062,708.9768538000062,708.9768538000062,708.9768538000062,710.5583011999843,710.5583011999843,710.5583011999843,710.5583011999843,710.5583011999843,710.5583011999843,710.5583011999843,41,72,49,61,72,70,710.5583011999843,712.5259801000066,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
66,51,33,45,0,115,115,115,,,,,,,,,,,None,712.5259801000066,712.5259801000066,712.5259801000066,712.5259801000066,712.5259801000066,712.5259801000066,r,0.030864100001053885,712.5802133999823,712.5802133999823,712.5802133999823,712.5802133999823,712.5802133999823,712.5802133999823,712.860256999993,714.6761087999912,714.6761087999912,714.6761087999912,714.6761087999912,714.6761087999912,714.6761087999912,714.6596871000074,714.6761087999912,714.6761087999912,714.6761087999912,714.6761087999912,714.6761087999912,714.6761087999912,714.6761087999912,716.773993699986,716.773993699986,716.773993699986,716.773993699986,716.773993699986,716.773993699986,716.773993699986,33,66,45,51,66,70,716.773993699986,718.5082222000055,,,,,,,,,,,,,,,,,,,,３３６,f,２４,2023-05-21_11h34.13.883,RL,2022.2.5,60.03564916385562,
