arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,bigx.started,bigx.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,28.412188800022705,28.412188800022705,space,4.146125300001586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
38,19,70,45,0,28,28,28,,,,,,,,,,,None,203.44842010000139,203.44842010000139,203.44842010000139,203.44842010000139,203.44842010000139,203.44842010000139,r,0.5471549000067171,204.02074659999926,204.02074659999926,204.02074659999926,204.02074659999926,204.02074659999926,204.02074659999926,204.3147830000089,205.4482454000099,205.4482454000099,205.4482454000099,205.4482454000099,205.4482454000099,205.4482454000099,205.4482454000099,205.4482454000099,205.4482454000099,205.4482454000099,205.4482454000099,205.4482454000099,205.4482454000099,205.4482454000099,206.87988910000422,206.87988910000422,206.87988910000422,206.87988910000422,206.87988910000422,206.87988910000422,206.87988910000422,19,70,38,45,70,70,206.87988910000422,208.54776330001187,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
30,35,65,43,0,29,29,29,,,,,,,,,,,None,208.54776330001187,208.54776330001187,208.54776330001187,208.54776330001187,208.54776330001187,208.54776330001187,r,1.2851098999963142,209.86880690002,209.86880690002,209.86880690002,209.86880690002,209.86880690002,209.86880690002,210.1477400000149,211.7972403000167,211.7972403000167,211.7972403000167,211.7972403000167,211.7972403000167,211.7972403000167,211.7638155000168,211.7972403000167,211.7972403000167,211.7972403000167,211.7972403000167,211.7972403000167,211.7972403000167,211.7972403000167,213.7117331000045,213.7117331000045,213.7117331000045,213.7117331000045,213.7117331000045,213.7117331000045,213.7117331000045,35,65,30,43,65,70,213.7117331000045,215.24621650000336,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
49,33,67,46,0,30,30,30,,,,,,,,,,,None,215.24621650000336,215.24621650000336,215.24621650000336,215.24621650000336,215.24621650000336,215.24621650000336,r,0.30109530000481755,215.5678942000086,215.5678942000086,215.5678942000086,215.5678942000086,215.5678942000086,215.5678942000086,215.86303480001516,217.61305400001584,217.61305400001584,217.61305400001584,217.61305400001584,217.61305400001584,217.61305400001584,217.61305400001584,217.61305400001584,217.61305400001584,217.61305400001584,217.61305400001584,217.61305400001584,217.61305400001584,217.61305400001584,219.6606287000177,219.6606287000177,219.6606287000177,219.6606287000177,219.6606287000177,219.6606287000177,219.6606287000177,33,67,49,46,67,70,219.6606287000177,221.29520420002518,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
27,34,70,37,0,31,31,31,,,,,,,,,,,None,221.29520420002518,221.29520420002518,221.29520420002518,221.29520420002518,221.29520420002518,221.29520420002518,r,0.30807920001097955,221.6311424000014,221.6311424000014,221.6311424000014,221.6311424000014,221.6311424000014,221.6311424000014,221.91244990000268,223.0785100000212,223.0785100000212,223.0785100000212,223.0785100000212,223.0785100000212,223.0785100000212,223.0620428000111,223.0785100000212,223.0785100000212,223.0785100000212,223.0785100000212,223.0785100000212,223.0785100000212,223.0785100000212,224.52703620001557,224.52703620001557,224.52703620001557,224.52703620001557,224.52703620001557,224.52703620001557,224.52703620001557,34,70,27,37,70,70,224.52703620001557,226.17768819999765,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
40,35,73,47,0,32,32,32,,,,,,,,,,,None,226.17768819999765,226.17768819999765,226.17768819999765,226.17768819999765,226.17768819999765,226.17768819999765,r,0.2268261999997776,226.42853760000435,226.42853760000435,226.42853760000435,226.42853760000435,226.42853760000435,226.42853760000435,226.71127739999793,228.39423100001295,228.39423100001295,228.39423100001295,228.39423100001295,228.39423100001295,228.39423100001295,228.3775922000059,228.39423100001295,228.39423100001295,228.39423100001295,228.39423100001295,228.39423100001295,228.39423100001295,228.39423100001295,230.3590322000091,230.3590322000091,230.3590322000091,230.3590322000091,230.3590322000091,230.3590322000091,230.3590322000091,35,73,40,47,73,70,230.3590322000091,231.893507700006,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
40,36,70,47,0,33,33,33,,,,,,,,,,,None,231.893507700006,231.893507700006,231.893507700006,231.893507700006,231.893507700006,231.893507700006,r,0.25164699999731965,232.17719100002432,232.17719100002432,232.17719100002432,232.17719100002432,232.17719100002432,232.17719100002432,232.46013710001716,233.97652920000837,233.97652920000837,233.97652920000837,233.97652920000837,233.97652920000837,233.97652920000837,233.9599401000014,233.97652920000837,233.97652920000837,233.97652920000837,233.97652920000837,233.97652920000837,233.97652920000837,233.97652920000837,235.77496330000577,235.77496330000577,235.77496330000577,235.77496330000577,235.77496330000577,235.77496330000577,235.77496330000577,36,70,40,47,70,70,235.77496330000577,237.52554180001607,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
36,22,73,37,0,34,34,34,,,,,,,,,,,None,237.52554180001607,237.52554180001607,237.52554180001607,237.52554180001607,237.52554180001607,237.52554180001607,r,0.2720502000011038,237.82702070000232,237.82702070000232,237.82702070000232,237.82702070000232,237.82702070000232,237.82702070000232,238.1093729000131,239.70941780001158,239.70941780001158,239.70941780001158,239.70941780001158,239.70941780001158,239.70941780001158,239.69271580001805,239.70941780001158,239.70941780001158,239.70941780001158,239.70941780001158,239.70941780001158,239.70941780001158,239.70941780001158,241.5904127000249,241.5904127000249,241.5904127000249,241.5904127000249,241.5904127000249,241.5904127000249,241.5904127000249,22,73,36,37,73,70,241.5904127000249,243.45786419999786,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
35,30,62,37,0,35,35,35,,,,,,,,,,,None,243.45786419999786,243.45786419999786,243.45786419999786,243.45786419999786,243.45786419999786,243.45786419999786,r,0.2546221999800764,243.74170360001153,243.74170360001153,243.74170360001153,243.74170360001153,243.74170360001153,243.74170360001153,244.02488280000398,245.54134610001347,245.54134610001347,245.54134610001347,245.54134610001347,245.54134610001347,245.54134610001347,245.52488959999755,245.54134610001347,245.54134610001347,245.54134610001347,245.54134610001347,245.54134610001347,245.54134610001347,245.54134610001347,247.33923179999692,247.33923179999692,247.33923179999692,247.33923179999692,247.33923179999692,247.33923179999692,247.33923179999692,30,62,35,37,62,70,247.33923179999692,248.95709239999996,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
35,33,68,45,0,36,36,36,,,,,,,,,,,None,248.95709239999996,248.95709239999996,248.95709239999996,248.95709239999996,248.95709239999996,248.95709239999996,r,0.5462333000032231,249.5250928000023,249.5250928000023,249.5250928000023,249.5250928000023,249.5250928000023,249.5250928000023,249.82380160002504,251.35703240000294,251.35703240000294,251.35703240000294,251.35703240000294,251.35703240000294,251.35703240000294,251.35703240000294,251.35703240000294,251.35703240000294,251.35703240000294,251.35703240000294,251.35703240000294,251.35703240000294,251.35703240000294,253.1882375999994,253.1882375999994,253.1882375999994,253.1882375999994,253.1882375999994,253.1882375999994,253.1882375999994,33,68,35,45,68,70,253.1882375999994,255.05587520002155,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
35,34,63,44,0,37,37,37,,,,,,,,,,,None,255.05587520002155,255.05587520002155,255.05587520002155,255.05587520002155,255.05587520002155,255.05587520002155,r,0.33993469999404624,255.42302129999734,255.42302129999734,255.42302129999734,255.42302129999734,255.42302129999734,255.42302129999734,255.70624310002313,257.272475100006,257.272475100006,257.272475100006,257.272475100006,257.272475100006,257.272475100006,257.25588540002354,257.272475100006,257.272475100006,257.272475100006,257.272475100006,257.272475100006,257.272475100006,257.272475100006,259.12038290000055,259.12038290000055,259.12038290000055,259.12038290000055,259.12038290000055,259.12038290000055,259.12038290000055,34,63,35,44,63,70,259.12038290000055,260.65539759999956,,,,,,,,,,,,,,,,,,,,３３８,f,２４,2023-05-21_14h05.45.050,RL,2022.2.5,60.05674160805536,
