arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,35.28870570007712,35.28870570007712,space,4.711976599879563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
26,48,39,45,0,47,47,47,,,,,,,,,,,None,311.31919030006975,311.31919030006975,311.31919030006975,311.31919030006975,311.31919030006975,311.31919030006975,r,0.3368030998390168,311.68609010009095,311.68609010009095,311.68609010009095,311.68609010009095,311.68609010009095,311.68609010009095,311.9690166001674,313.90210509998724,313.90210509998724,313.90210509998724,313.90210509998724,313.90210509998724,313.90210509998724,313.8859092001803,313.90210509998724,313.90210509998724,313.90210509998724,313.90210509998724,313.90210509998724,313.90210509998724,313.90210509998724,316.11670919996686,316.11670919996686,316.11670919996686,316.11670919996686,316.11670919996686,316.11670919996686,316.11670919996686,26,48,45,39,48,70,316.11670919996686,317.7845175000839,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
23,48,42,45,0,48,48,48,,,,,,,,,,,None,317.7845175000839,317.7845175000839,317.7845175000839,317.7845175000839,317.7845175000839,317.7845175000839,r,0.2770124999806285,318.08790320018306,318.08790320018306,318.08790320018306,318.08790320018306,318.08790320018306,318.08790320018306,318.3681363000069,319.5510772999842,319.5510772999842,319.5510772999842,319.5510772999842,319.5510772999842,319.5510772999842,319.5350097999908,319.5510772999842,319.5510772999842,319.5510772999842,319.5510772999842,319.5510772999842,319.5510772999842,319.5510772999842,321.0164030001033,321.0164030001033,321.0164030001033,321.0164030001033,321.0164030001033,321.0164030001033,321.0164030001033,23,48,45,42,48,70,321.0164030001033,322.68344849999994,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
21,48,40,46,0,49,49,49,,,,,,,,,,,None,322.68344849999994,322.68344849999994,322.68344849999994,322.68344849999994,322.68344849999994,322.68344849999994,r,0.571389899821952,323.2854401001241,323.2854401001241,323.2854401001241,323.2854401001241,323.2854401001241,323.2854401001241,323.5840954000596,324.98321340000257,324.98321340000257,324.98321340000257,324.98321340000257,324.98321340000257,324.98321340000257,324.98321340000257,324.98321340000257,324.98321340000257,324.98321340000257,324.98321340000257,324.98321340000257,324.98321340000257,324.98321340000257,326.6809658999555,326.6809658999555,326.6809658999555,326.6809658999555,326.6809658999555,326.6809658999555,326.6809658999555,21,48,46,40,48,70,326.6809658999555,328.48284219997004,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
24,43,48,41,0,50,50,50,,,,,,,,,,,None,328.48284219997004,328.48284219997004,328.48284219997004,328.48284219997004,328.48284219997004,328.48284219997004,r,0.28542119986377656,328.7998375999741,328.7998375999741,328.7998375999741,328.7998375999741,328.7998375999741,328.7998375999741,329.08281740010716,330.0990602001548,330.0990602001548,330.0990602001548,330.0990602001548,330.0990602001548,330.0990602001548,330.06563980015926,330.0990602001548,330.0990602001548,330.0990602001548,330.0990602001548,330.0990602001548,330.0990602001548,330.0990602001548,331.38060569996014,331.38060569996014,331.38060569996014,331.38060569996014,331.38060569996014,331.38060569996014,331.38060569996014,24,43,41,48,43,70,331.38060569996014,332.948611299973,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
35,50,46,43,0,51,51,51,,,,,,,,,,,None,332.948611299973,332.948611299973,332.948611299973,332.948611299973,332.948611299973,332.948611299973,i,0.5892483999487013,333.5689123000484,333.5689123000484,333.5689123000484,333.5689123000484,333.5689123000484,333.5689123000484,333.84878959995694,335.5316653000191,335.5316653000191,335.5316653000191,335.5316653000191,335.5316653000191,335.5316653000191,335.5151236001402,335.5316653000191,335.5316653000191,335.5316653000191,335.5316653000191,335.5316653000191,335.5316653000191,335.5316653000191,337.47950620017946,337.47950620017946,337.47950620017946,337.47950620017946,337.47950620017946,337.47950620017946,337.47950620017946,35,50,43,46,43,70,337.47950620017946,339.4141329000704,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
33,51,50,36,0,52,52,52,,,,,,,,,,,None,339.4141329000704,339.4141329000704,339.4141329000704,339.4141329000704,339.4141329000704,339.4141329000704,j,0.40153610007837415,339.84808230004273,339.84808230004273,339.84808230004273,339.84808230004273,339.84808230004273,339.84808230004273,340.13104550004937,341.53043509996496,341.53043509996496,341.53043509996496,341.53043509996496,341.53043509996496,341.53043509996496,341.496956899995,341.53043509996496,341.53043509996496,341.53043509996496,341.53043509996496,341.53043509996496,341.53043509996496,341.53043509996496,343.21201959997416,343.21201959997416,343.21201959997416,343.21201959997416,343.21201959997416,343.21201959997416,343.21201959997416,33,51,36,50,50,70,343.21201959997416,345.0965362000279,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
22,48,53,41,0,53,53,53,,,,,,,,,,,None,345.0965362000279,345.0965362000279,345.0965362000279,345.0965362000279,345.0965362000279,345.0965362000279,j,0.5372581998817623,345.6643857001327,345.6643857001327,345.6643857001327,345.6643857001327,345.6643857001327,345.6643857001327,345.94655660004355,347.3296199000906,347.3296199000906,347.3296199000906,347.3296199000906,347.3296199000906,347.3296199000906,347.31349910004064,347.3296199000906,347.3296199000906,347.3296199000906,347.3296199000906,347.3296199000906,347.3296199000906,347.3296199000906,348.9945984000806,348.9945984000806,348.9945984000806,348.9945984000806,348.9945984000806,348.9945984000806,348.9945984000806,22,48,41,53,53,70,348.9945984000806,350.54539550002664,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
26,41,54,37,0,54,54,54,,,,,,,,,,,None,350.54539550002664,350.54539550002664,350.54539550002664,350.54539550002664,350.54539550002664,350.54539550002664,j,0.6694815999362618,351.24593190010637,351.24593190010637,351.24593190010637,351.24593190010637,351.24593190010637,351.24593190010637,351.530083599966,352.8286071000621,352.8286071000621,352.8286071000621,352.8286071000621,352.8286071000621,352.8286071000621,352.81168050016277,352.8286071000621,352.8286071000621,352.8286071000621,352.8286071000621,352.8286071000621,352.8286071000621,352.8286071000621,354.410097300075,354.410097300075,354.410097300075,354.410097300075,354.410097300075,354.410097300075,354.410097300075,26,41,37,54,54,70,354.410097300075,355.94436930003576,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
23,36,55,43,0,55,55,55,,,,,,,,,,,None,355.94436930003576,355.94436930003576,355.94436930003576,355.94436930003576,355.94436930003576,355.94436930003576,j,0.2925150999799371,356.2625829000026,356.2625829000026,356.2625829000026,356.2625829000026,356.2625829000026,356.2625829000026,356.544665500056,357.4277176000178,357.4277176000178,357.4277176000178,357.4277176000178,357.4277176000178,357.4277176000178,357.41158770001493,357.4277176000178,357.4277176000178,357.4277176000178,357.4277176000178,357.4277176000178,357.4277176000178,357.4277176000178,358.5929901001509,358.5929901001509,358.5929901001509,358.5929901001509,358.5929901001509,358.5929901001509,358.5929901001509,23,36,43,55,55,70,358.5929901001509,360.51018830016255,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
25,36,55,40,0,56,56,56,,,,,,,,,,,None,360.51018830016255,360.51018830016255,360.51018830016255,360.51018830016255,360.51018830016255,360.51018830016255,j,0.34371719998307526,360.8783410000615,360.8783410000615,360.8783410000615,360.8783410000615,360.8783410000615,360.8783410000615,361.16058819997124,362.44338670000434,362.44338670000434,362.44338670000434,362.44338670000434,362.44338670000434,362.44338670000434,362.427028400125,362.44338670000434,362.44338670000434,362.44338670000434,362.44338670000434,362.44338670000434,362.44338670000434,362.44338670000434,364.00833040010184,364.00833040010184,364.00833040010184,364.00833040010184,364.00833040010184,364.00833040010184,364.00833040010184,25,36,40,55,55,70,364.00833040010184,365.7428041000385,,,,,,,,,,,,,,,,,,,008,ｍ,２０,2023-05-13_17h17.52.046,RL,2022.2.5,60.05446938503099,
