arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.231395900002099,14.231395900002099,space,13.417972600000212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
26,58,47,66,0,86,86,86,,,,,,,,,,,None,542.2890367,542.2890367,542.2890367,542.2890367,542.2890367,542.2890367,r,0.2489415000018198,542.5562219000021,542.5562219000021,542.5562219000021,542.5562219000021,542.5562219000021,542.5562219000021,542.8389989000025,543.9893061000002,543.9893061000002,543.9893061000002,543.9893061000002,543.9893061000002,543.9893061000002,543.9725598000005,543.9893061000002,543.9893061000002,543.9893061000002,543.9893061000002,543.9893061000002,543.9893061000002,543.9893061000002,545.4208402000004,545.4208402000004,545.4208402000004,545.4208402000004,545.4208402000004,545.4208402000004,545.4208402000004,66,58,26,47,58,70,545.4208402000004,547.2884365000027,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
35,58,44,71,0,87,87,87,,,,,,,,,,,None,547.2884365000027,547.2884365000027,547.2884365000027,547.2884365000027,547.2884365000027,547.2884365000027,r,0.22742450000077952,547.5387441000021,547.5387441000021,547.5387441000021,547.5387441000021,547.5387441000021,547.5387441000021,547.8219209000017,549.2383827000012,549.2383827000012,549.2383827000012,549.2383827000012,549.2383827000012,549.2383827000012,549.2219038000003,549.2383827000012,549.2383827000012,549.2383827000012,549.2383827000012,549.2383827000012,549.2383827000012,549.2383827000012,550.9362149000008,550.9362149000008,550.9362149000008,550.9362149000008,550.9362149000008,550.9362149000008,550.9362149000008,71,58,35,44,58,70,550.9362149000008,552.7207011999999,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
31,63,42,63,0,88,88,88,,,,,,,,,,,None,552.7207011999999,552.7207011999999,552.7207011999999,552.7207011999999,552.7207011999999,552.7207011999999,r,0.13686479999887524,552.8877939000013,552.8877939000013,552.8877939000013,552.8877939000013,552.8877939000013,552.8877939000013,553.171178200002,554.7539416,554.7539416,554.7539416,554.7539416,554.7539416,554.7539416,554.7374049999999,554.7539416,554.7539416,554.7539416,554.7539416,554.7539416,554.7539416,554.7539416,556.6186737000025,556.6186737000025,556.6186737000025,556.6186737000025,556.6186737000025,556.6186737000025,556.6186737000025,63,63,31,42,63,70,556.6186737000025,558.4862740000026,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
33,63,42,71,0,89,89,89,,,,,,,,,,,None,558.4862740000026,558.4862740000026,558.4862740000026,558.4862740000026,558.4862740000026,558.4862740000026,r,0.19102310000016587,558.7046203999998,558.7046203999998,558.7046203999998,558.7046203999998,558.7046203999998,558.7046203999998,558.9865691000014,560.2361487000016,560.2361487000016,560.2361487000016,560.2361487000016,560.2361487000016,560.2361487000016,560.2195412000001,560.2361487000016,560.2361487000016,560.2361487000016,560.2361487000016,560.2361487000016,560.2361487000016,560.2361487000016,561.7677786000022,561.7677786000022,561.7677786000022,561.7677786000022,561.7677786000022,561.7677786000022,561.7677786000022,71,63,33,42,63,70,561.7677786000022,563.469054600002,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
39,69,41,70,0,90,90,90,,,,,,,,,,,None,563.469054600002,563.469054600002,563.469054600002,563.469054600002,563.469054600002,563.469054600002,r,0.5620127000001958,564.0550029000005,564.0550029000005,564.0550029000005,564.0550029000005,564.0550029000005,564.0550029000005,564.3354779000001,565.2187578000012,565.2187578000012,565.2187578000012,565.2187578000012,565.2187578000012,565.2187578000012,565.202454600003,565.2187578000012,565.2187578000012,565.2187578000012,565.2187578000012,565.2187578000012,565.2187578000012,565.2187578000012,566.3838165000016,566.3838165000016,566.3838165000016,566.3838165000016,566.3838165000016,566.3838165000016,566.3838165000016,70,69,39,41,69,70,566.3838165000016,567.9344913000023,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
30,60,42,66,0,91,91,91,,,,,,,,,,,None,567.9344913000023,567.9344913000023,567.9344913000023,567.9344913000023,567.9344913000023,567.9344913000023,r,0.9554008999984944,568.9199542000024,568.9199542000024,568.9199542000024,568.9199542000024,568.9199542000024,568.9199542000024,569.2015252000019,571.0012464000029,571.0012464000029,571.0012464000029,571.0012464000029,571.0012464000029,571.0012464000029,570.9843160000019,571.0012464000029,571.0012464000029,571.0012464000029,571.0012464000029,571.0012464000029,571.0012464000029,571.0012464000029,573.0827086000027,573.0827086000027,573.0827086000027,573.0827086000027,573.0827086000027,573.0827086000027,573.0827086000027,66,60,30,42,60,70,573.0827086000027,574.8665811999999,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
36,52,38,69,0,92,92,92,,,,,,,,,,,None,574.8665811999999,574.8665811999999,574.8665811999999,574.8665811999999,574.8665811999999,574.8665811999999,f,0.4532502000001841,575.3537322000011,575.3537322000011,575.3537322000011,575.3537322000011,575.3537322000011,575.3537322000011,575.6337480000002,577.2168498000028,577.2168498000028,577.2168498000028,577.2168498000028,577.2168498000028,577.2168498000028,577.2004523000032,577.2168498000028,577.2168498000028,577.2168498000028,577.2168498000028,577.2168498000028,577.2168498000028,577.2168498000028,579.0814893000024,579.0814893000024,579.0814893000024,579.0814893000024,579.0814893000024,579.0814893000024,579.0814893000024,69,52,36,38,69,70,579.0814893000024,580.8659323000029,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
30,71,40,69,0,93,93,93,,,,,,,,,,,None,580.8659323000029,580.8659323000029,580.8659323000029,580.8659323000029,580.8659323000029,580.8659323000029,j,0.5793560999991314,581.4686256000023,581.4686256000023,581.4686256000023,581.4686256000023,581.4686256000023,581.4686256000023,581.766295100002,583.1487263000017,583.1487263000017,583.1487263000017,583.1487263000017,583.1487263000017,583.1487263000017,583.1487263000017,583.1487263000017,583.1487263000017,583.1487263000017,583.1487263000017,583.1487263000017,583.1487263000017,583.1487263000017,584.8302779000005,584.8302779000005,584.8302779000005,584.8302779000005,584.8302779000005,584.8302779000005,584.8302779000005,69,71,30,40,40,70,584.8302779000005,586.4312900000004,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
35,55,35,63,0,94,94,94,,,,,,,,,,,None,586.4312900000004,586.4312900000004,586.4312900000004,586.4312900000004,586.4312900000004,586.4312900000004,i,0.165709799999604,586.6151406000026,586.6151406000026,586.6151406000026,586.6151406000026,586.6151406000026,586.6151406000026,586.8981660999998,588.797886700002,588.797886700002,588.797886700002,588.797886700002,588.797886700002,588.797886700002,588.7813983000015,588.797886700002,588.797886700002,588.797886700002,588.797886700002,588.797886700002,588.797886700002,588.797886700002,590.9794063000008,590.9794063000008,590.9794063000008,590.9794063000008,590.9794063000008,590.9794063000008,590.9794063000008,63,55,35,35,35,70,590.9794063000008,592.6636383000005,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
37,60,34,63,0,95,95,95,,,,,,,,,,,None,592.6636383000005,592.6636383000005,592.6636383000005,592.6636383000005,592.6636383000005,592.6636383000005,f,0.24026640000010957,592.9323246000022,592.9323246000022,592.9323246000022,592.9323246000022,592.9323246000022,592.9323246000022,593.2309689000031,594.7969846000015,594.7969846000015,594.7969846000015,594.7969846000015,594.7969846000015,594.7969846000015,594.7969846000015,594.7969846000015,594.7969846000015,594.7969846000015,594.7969846000015,594.7969846000015,594.7969846000015,594.7969846000015,596.6620868000027,596.6620868000027,596.6620868000027,596.6620868000027,596.6620868000027,596.6620868000027,596.6620868000027,63,60,37,34,63,70,596.6620868000027,598.5455825000026,,,,,,,,,,,,,,,,,,,,３１２,f,１９,2023-05-18_16h18.34.348,RL,2022.2.5,60.085212847630295,
