arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
50,62,14,53,0,100,100,100,,,,,,,,None,616.434978199999,616.434978199999,616.434978199999,616.434978199999,616.434978199999,616.434978199999,f,0.3250926000000618,616.7863954999993,616.7863954999993,616.7863954999993,616.7863954999993,616.7863954999993,616.7863954999993,617.0850896999982,618.3516005999991,618.3516005999991,618.3516005999991,618.3516005999991,618.3516005999991,618.3516005999991,618.3516005999991,618.3516005999991,618.3516005999991,618.3516005999991,618.3516005999991,618.3516005999991,618.3516005999991,618.3516005999991,619.9160711999975,619.9160711999975,619.9160711999975,619.9160711999975,619.9160711999975,619.9160711999975,619.9160711999975,53,50,62,14,53,70,619.9160711999975,621.5843359999999,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
52,66,8,64,0,101,101,101,,,,,,,,None,621.5843359999999,621.5843359999999,621.5843359999999,621.5843359999999,621.5843359999999,621.5843359999999,f,0.47202540000216686,622.0865170999969,622.0865170999969,622.0865170999969,622.0865170999969,622.0865170999969,622.0865170999969,622.3844388999969,623.9010737999997,623.9010737999997,623.9010737999997,623.9010737999997,623.9010737999997,623.9010737999997,623.9010737999997,623.9010737999997,623.9010737999997,623.9010737999997,623.9010737999997,623.9010737999997,623.9010737999997,623.9010737999997,625.7151128999976,625.7151128999976,625.7151128999976,625.7151128999976,625.7151128999976,625.7151128999976,625.7151128999976,64,52,66,8,64,70,625.7151128999976,627.6498429999992,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
50,60,11,63,0,102,102,102,,,,,,,,None,627.6498429999992,627.6498429999992,627.6498429999992,627.6498429999992,627.6498429999992,627.6498429999992,f,0.4514640999987023,628.1410157999999,628.1410157999999,628.1410157999999,628.1410157999999,628.1410157999999,628.1410157999999,628.4330644999973,630.0162541999998,630.0162541999998,630.0162541999998,630.0162541999998,630.0162541999998,630.0162541999998,630.0162541999998,630.0162541999998,630.0162541999998,630.0162541999998,630.0162541999998,630.0162541999998,630.0162541999998,630.0162541999998,631.8979482999966,631.8979482999966,631.8979482999966,631.8979482999966,631.8979482999966,631.8979482999966,631.8979482999966,63,50,60,11,63,70,631.8979482999966,633.7322840999987,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
43,62,11,64,0,103,103,103,,,,,,,,None,633.7322840999987,633.7322840999987,633.7322840999987,633.7322840999987,633.7322840999987,633.7322840999987,f,0.5621199999986857,634.3155705999998,634.3155705999998,634.3155705999998,634.3155705999998,634.3155705999998,634.3155705999998,634.5987091999996,635.8489290999969,635.8651728999976,635.8651728999976,635.8651728999976,635.8651728999976,635.8651728999976,635.8651728999976,635.8651728999976,635.8651728999976,635.8651728999976,635.8651728999976,635.8651728999976,635.8651728999976,635.8651728999976,637.413451299999,637.413451299999,637.413451299999,637.413451299999,637.413451299999,637.413451299999,637.413451299999,64,43,62,11,64,70,637.413451299999,639.0145771999996,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
43,56,13,64,0,104,104,104,,,,,,,,None,639.0145771999996,639.0145771999996,639.0145771999996,639.0145771999996,639.0145771999996,639.0145771999996,f,0.825170000000071,639.8650202999997,639.8650202999997,639.8650202999997,639.8650202999997,639.8650202999997,639.8650202999997,640.1483486999969,642.0143124999995,642.0307437999982,642.0307437999982,642.0307437999982,642.0307437999982,642.0307437999982,642.0307437999982,642.0307437999982,642.0307437999982,642.0307437999982,642.0307437999982,642.0307437999982,642.0307437999982,642.0307437999982,644.1952807999987,644.1952807999987,644.1952807999987,644.1952807999987,644.1952807999987,644.1952807999987,644.1952807999987,64,43,56,13,64,70,644.1952807999987,645.8465390999991,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
47,55,8,64,0,105,105,105,,,,,,,,None,645.8465390999991,645.8465390999991,645.8465390999991,645.8465390999991,645.8465390999991,645.8465390999991,f,0.39853969999967376,646.2671956999984,646.2671956999984,646.2671956999984,646.2671956999984,646.2671956999984,646.2671956999984,646.5634929999978,648.1464044999993,648.1464044999993,648.1464044999993,648.1464044999993,648.1464044999993,648.1464044999993,648.1464044999993,648.1464044999993,648.1464044999993,648.1464044999993,648.1464044999993,648.1464044999993,648.1464044999993,648.1464044999993,650.0275817999973,650.0275817999973,650.0275817999973,650.0275817999973,650.0275817999973,650.0275817999973,650.0275817999973,64,47,55,8,64,70,650.0275817999973,651.5455784999976,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
39,55,15,62,0,106,106,106,,,,,,,,None,651.5455784999976,651.5455784999976,651.5455784999976,651.5455784999976,651.5455784999976,651.5455784999976,f,0.3462048000001232,651.912720999997,651.912720999997,651.912720999997,651.912720999997,651.912720999997,651.912720999997,652.1957427999987,653.1456191999969,653.162000999997,653.162000999997,653.162000999997,653.162000999997,653.162000999997,653.162000999997,653.162000999997,653.162000999997,653.162000999997,653.162000999997,653.162000999997,653.162000999997,653.162000999997,654.4102260999971,654.4102260999971,654.4102260999971,654.4102260999971,654.4102260999971,654.4102260999971,654.4102260999971,62,39,55,15,62,70,654.4102260999971,656.1783945999996,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
39,52,10,60,0,107,107,107,,,,,,,,None,656.1783945999996,656.1783945999996,656.1783945999996,656.1783945999996,656.1783945999996,656.1783945999996,f,0.3947468000005756,656.5963248999979,656.5963248999979,656.5963248999979,656.5963248999979,656.5963248999979,656.5963248999979,656.878303999998,658.128033099998,658.1446856000002,658.1446856000002,658.1446856000002,658.1446856000002,658.1446856000002,658.1446856000002,658.1446856000002,658.1446856000002,658.1446856000002,658.1446856000002,658.1446856000002,658.1446856000002,658.1446856000002,659.6929676,659.6929676,659.6929676,659.6929676,659.6929676,659.6929676,659.6929676,60,39,52,10,60,70,659.6929676,661.2105389999997,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
36,58,17,58,0,108,108,108,,,,,,,,None,661.2105389999997,661.2105389999997,661.2105389999997,661.2105389999997,661.2105389999997,661.2105389999997,f,0.37587279999934253,661.6109722000001,661.6109722000001,661.6109722000001,661.6109722000001,661.6109722000001,661.6109722000001,661.8941305999979,663.327197999999,663.3436700999991,663.3436700999991,663.3436700999991,663.3436700999991,663.3436700999991,663.3436700999991,663.3436700999991,663.3436700999991,663.3436700999991,663.3436700999991,663.3436700999991,663.3436700999991,663.3436700999991,665.0750948999994,665.0750948999994,665.0750948999994,665.0750948999994,665.0750948999994,665.0750948999994,665.0750948999994,58,36,58,17,58,70,665.0750948999994,667.0593801999967,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
38,57,22,56,0,109,109,109,,,,,,,,None,667.0593801999967,667.0593801999967,667.0593801999967,667.0593801999967,667.0593801999967,667.0593801999967,f,0.3431237999975565,667.4296095999998,667.4296095999998,667.4296095999998,667.4296095999998,667.4296095999998,667.4296095999998,667.7102727999991,669.2434713999974,669.2594919999974,669.2594919999974,669.2594919999974,669.2594919999974,669.2594919999974,669.2594919999974,669.2594919999974,669.2594919999974,669.2594919999974,669.2594919999974,669.2594919999974,669.2594919999974,669.2594919999974,671.0908290999978,671.0908290999978,671.0908290999978,671.0908290999978,671.0908290999978,671.0908290999978,671.0908290999978,56,38,57,22,56,70,671.0908290999978,673.058366199999,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
39,59,26,64,0,110,110,110,,,,,,,,None,673.058366199999,673.058366199999,673.058366199999,673.058366199999,673.058366199999,673.058366199999,f,0.4180927999987034,673.5118802999968,673.5118802999968,673.5118802999968,673.5118802999968,673.5118802999968,673.5118802999968,673.8087615999975,675.0415493999972,675.0415493999972,675.0415493999972,675.0415493999972,675.0415493999972,675.0415493999972,675.0415493999972,675.0415493999972,675.0415493999972,675.0415493999972,675.0415493999972,675.0415493999972,675.0415493999972,675.0415493999972,676.5730848999992,676.5730848999992,676.5730848999992,676.5730848999992,676.5730848999992,676.5730848999992,676.5730848999992,64,39,59,26,64,70,676.5730848999992,678.5074511999992,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
44,57,21,57,0,111,111,111,,,,,,,,None,678.5074511999992,678.5074511999992,678.5074511999992,678.5074511999992,678.5074511999992,678.5074511999992,f,0.45138909999877797,678.9911988999993,678.9911988999993,678.9911988999993,678.9911988999993,678.9911988999993,678.9911988999993,679.2744873999982,680.3078845999989,680.324296499999,680.324296499999,680.324296499999,680.324296499999,680.324296499999,680.324296499999,680.324296499999,680.324296499999,680.324296499999,680.324296499999,680.324296499999,680.324296499999,680.324296499999,681.6558630999971,681.6558630999971,681.6558630999971,681.6558630999971,681.6558630999971,681.6558630999971,681.6558630999971,57,44,57,21,57,70,681.6558630999971,683.1899959000002,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
39,58,22,67,0,112,112,112,,,,,,,,None,683.1899959000002,683.1899959000002,683.1899959000002,683.1899959000002,683.1899959000002,683.1899959000002,f,0.3874610000020766,683.6097261999967,683.6097261999967,683.6097261999967,683.6097261999967,683.6097261999967,683.6097261999967,683.9071090999969,684.8900598,684.8900598,684.8900598,684.8900598,684.8900598,684.8900598,684.8900598,684.8900598,684.8900598,684.8900598,684.8900598,684.8900598,684.8900598,684.8900598,686.1712305000001,686.1712305000001,686.1712305000001,686.1712305000001,686.1712305000001,686.1712305000001,686.1712305000001,67,39,58,22,67,70,686.1712305000001,688.0894423999998,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
50,52,27,62,0,113,113,113,,,,,,,,None,688.0894423999998,688.0894423999998,688.0894423999998,688.0894423999998,688.0894423999998,688.0894423999998,f,0.4096669999998994,688.5229666999985,688.5229666999985,688.5229666999985,688.5229666999985,688.5229666999985,688.5229666999985,688.8063844999997,690.3556778999991,690.3724776999989,690.3724776999989,690.3724776999989,690.3724776999989,690.3724776999989,690.3724776999989,690.3724776999989,690.3724776999989,690.3724776999989,690.3724776999989,690.3724776999989,690.3724776999989,690.3724776999989,692.2207570999999,692.2207570999999,692.2207570999999,692.2207570999999,692.2207570999999,692.2207570999999,692.2207570999999,62,50,52,27,62,70,692.2207570999999,694.0382410999991,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
47,51,30,51,0,114,114,114,,,,,,,,None,694.0382410999991,694.0382410999991,694.0382410999991,694.0382410999991,694.0382410999991,694.0382410999991,f,0.4260833999978786,694.4884212999968,694.4884212999968,694.4884212999968,694.4884212999968,694.4884212999968,694.4884212999968,694.7719900999982,695.9718177999966,695.9883492999979,695.9883492999979,695.9883492999979,695.9883492999979,695.9883492999979,695.9883492999979,695.9883492999979,695.9883492999979,695.9883492999979,695.9883492999979,695.9883492999979,695.9883492999979,695.9883492999979,697.4860813999985,697.4860813999985,697.4860813999985,697.4860813999985,697.4860813999985,697.4860813999985,697.4860813999985,51,47,51,30,51,70,697.4860813999985,699.3872104000002,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
51,54,35,53,0,115,115,115,,,,,,,,None,699.3872104000002,699.3872104000002,699.3872104000002,699.3872104000002,699.3872104000002,699.3872104000002,f,0.5283753000003344,699.9388947999978,699.9388947999978,699.9388947999978,699.9388947999978,699.9388947999978,699.9388947999978,700.2374099999979,701.4037935999986,701.4037935999986,701.4037935999986,701.4037935999986,701.4037935999986,701.4037935999986,701.4037935999986,701.4037935999986,701.4037935999986,701.4037935999986,701.4037935999986,701.4037935999986,701.4037935999986,701.4037935999986,702.868420499999,702.868420499999,702.868420499999,702.868420499999,702.868420499999,702.868420499999,702.868420499999,53,51,54,35,53,70,702.868420499999,704.5695476000001,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
52,55,32,48,0,116,116,116,,,,,,,,None,704.5695476000001,704.5695476000001,704.5695476000001,704.5695476000001,704.5695476000001,704.5695476000001,f,0.4013474999992468,705.0069103999995,705.0069103999995,705.0069103999995,705.0069103999995,705.0069103999995,705.0069103999995,705.2869488999968,706.2033190999973,706.2198179999978,706.2198179999978,706.2198179999978,706.2198179999978,706.2198179999978,706.2198179999978,706.2198179999978,706.2198179999978,706.2198179999978,706.2198179999978,706.2198179999978,706.2198179999978,706.2198179999978,707.4344962999967,707.4344962999967,707.4344962999967,707.4344962999967,707.4344962999967,707.4344962999967,707.4344962999967,48,52,55,32,48,70,707.4344962999967,709.2191009999988,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
45,60,39,51,0,117,117,117,,,,,,,,None,709.2191009999988,709.2191009999988,709.2191009999988,709.2191009999988,709.2191009999988,709.2191009999988,f,0.5534293999990041,709.8027557999994,709.8027557999994,709.8027557999994,709.8027557999994,709.8027557999994,709.8027557999994,710.1022389999998,711.5352786999974,711.5352786999974,711.5352786999974,711.5352786999974,711.5352786999974,711.5352786999974,711.5352786999974,711.5352786999974,711.5352786999974,711.5352786999974,711.5352786999974,711.5352786999974,711.5352786999974,711.5352786999974,713.2669128999987,713.2669128999987,713.2669128999987,713.2669128999987,713.2669128999987,713.2669128999987,713.2669128999987,51,45,60,39,51,70,713.2669128999987,715.1174160999981,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
49,65,32,54,0,118,118,118,,,,,,,,None,715.1174160999981,715.1174160999981,715.1174160999981,715.1174160999981,715.1174160999981,715.1174160999981,f,0.43312220000007073,715.5705561999966,715.5705561999966,715.5705561999966,715.5705561999966,715.5705561999966,715.5705561999966,715.8680718999967,717.3679642999996,717.3679642999996,717.3679642999996,717.3679642999996,717.3679642999996,717.3679642999996,717.3679642999996,717.3679642999996,717.3679642999996,717.3679642999996,717.3679642999996,717.3679642999996,717.3679642999996,717.3679642999996,719.1658243999991,719.1658243999991,719.1658243999991,719.1658243999991,719.1658243999991,719.1658243999991,719.1658243999991,54,49,65,32,54,70,719.1658243999991,721.050271199998,,,,,,,,,,,,,３１４,f,２４,2023-05-18_18h20.24.284,RL,2022.2.5,60.034315614453774,
