arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.558392299804837,19.558392299804837,space,17.747210199944675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
41,68,48,37,0,95,95,95,,,,,,,,,,,None,603.1533472998999,603.1533472998999,603.1533472998999,603.1533472998999,603.1533472998999,603.1533472998999,i,0.2956909998320043,603.4714598997962,603.4714598997962,603.4714598997962,603.4714598997962,603.4714598997962,603.4714598997962,603.7701678997837,605.6028897999786,605.6028897999786,605.6028897999786,605.6028897999786,605.6028897999786,605.6028897999786,605.6028897999786,605.6028897999786,605.6028897999786,605.6028897999786,605.6028897999786,605.6028897999786,605.6028897999786,605.6028897999786,607.7343293998856,607.7343293998856,607.7343293998856,607.7343293998856,607.7343293998856,607.7343293998856,607.7343293998856,37,48,68,41,68,60,607.7343293998856,609.2853369999211,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
40,59,57,31,0,96,96,96,,,,,,,,,,,None,609.2853369999211,609.2853369999211,609.2853369999211,609.2853369999211,609.2853369999211,609.2853369999211,i,0.30357899982482195,609.624049999984,609.624049999984,609.624049999984,609.624049999984,609.624049999984,609.624049999984,609.9021965998691,610.9688902997877,610.9688902997877,610.9688902997877,610.9688902997877,610.9688902997877,610.9688902997877,610.9520780998282,610.9688902997877,610.9688902997877,610.9688902997877,610.9688902997877,610.9688902997877,610.9688902997877,610.9688902997877,612.3168949999381,612.3168949999381,612.3168949999381,612.3168949999381,612.3168949999381,612.3168949999381,612.3168949999381,31,57,59,40,59,60,612.3168949999381,614.1010026999284,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
25,56,54,34,0,97,97,97,,,,,,,,,,,None,614.1010026999284,614.1010026999284,614.1010026999284,614.1010026999284,614.1010026999284,614.1010026999284,j,0.40550240012817085,614.5358930998482,614.5358930998482,614.5358930998482,614.5358930998482,614.5358930998482,614.5358930998482,614.8180580998305,615.8177217999473,615.8177217999473,615.8177217999473,615.8177217999473,615.8177217999473,615.8177217999473,615.8011777999345,615.8177217999473,615.8177217999473,615.8177217999473,615.8177217999473,615.8177217999473,615.8177217999473,615.8177217999473,617.0996207999997,617.0996207999997,617.0996207999997,617.0996207999997,617.0996207999997,617.0996207999997,617.0996207999997,34,54,56,25,25,60,617.0996207999997,618.7508779999334,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
38,56,42,31,0,98,98,98,,,,,,,,,,,None,618.7508779999334,618.7508779999334,618.7508779999334,618.7508779999334,618.7508779999334,618.7508779999334,i,0.2639999999664724,619.0355054999236,619.0355054999236,619.0355054999236,619.0355054999236,619.0355054999236,619.0355054999236,619.3338275998831,621.1166331998538,621.1166331998538,621.1166331998538,621.1166331998538,621.1166331998538,621.1166331998538,621.1166331998538,621.1166331998538,621.1166331998538,621.1166331998538,621.1166331998538,621.1166331998538,621.1166331998538,621.1166331998538,623.1981804999523,623.1981804999523,623.1981804999523,623.1981804999523,623.1981804999523,623.1981804999523,623.1981804999523,31,42,56,38,56,60,623.1981804999523,624.8826744998805,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
42,51,56,28,0,99,99,99,,,,,,,,,,,None,624.8826744998805,624.8826744998805,624.8826744998805,624.8826744998805,624.8826744998805,624.8826744998805,r,0.31232859985902905,625.2164686999749,625.2164686999749,625.2164686999749,625.2164686999749,625.2164686999749,625.2164686999749,625.4995362998452,626.4660607997794,626.4660607997794,626.4660607997794,626.4660607997794,626.4660607997794,626.4660607997794,626.4495163999964,626.4660607997794,626.4660607997794,626.4660607997794,626.4660607997794,626.4660607997794,626.4660607997794,626.4660607997794,627.7144962998573,627.7144962998573,627.7144962998573,627.7144962998573,627.7144962998573,627.7144962998573,627.7144962998573,28,56,51,42,56,60,627.7144962998573,629.5816182999406,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
41,48,54,37,0,100,100,100,,,,,,,,,,,None,629.5816182999406,629.5816182999406,629.5816182999406,629.5816182999406,629.5816182999406,629.5816182999406,f,0.4178599000442773,630.0326738997828,630.0326738997828,630.0326738997828,630.0326738997828,630.0326738997828,630.0326738997828,630.3156797999982,632.2647399997804,632.2647399997804,632.2647399997804,632.2647399997804,632.2647399997804,632.2647399997804,632.2483199997805,632.2647399997804,632.2647399997804,632.2647399997804,632.2647399997804,632.2647399997804,632.2647399997804,632.2647399997804,634.4966286998242,634.4966286998242,634.4966286998242,634.4966286998242,634.4966286998242,634.4966286998242,634.4966286998242,37,54,48,41,37,60,634.4966286998242,636.2809761997778,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
33,45,55,41,0,101,101,101,,,,,,,,,,,None,636.2809761997778,636.2809761997778,636.2809761997778,636.2809761997778,636.2809761997778,636.2809761997778,i,0.4102742001414299,636.7144480999559,636.7144480999559,636.7144480999559,636.7144480999559,636.7144480999559,636.7144480999559,637.0139840999618,638.8975031999871,638.8975031999871,638.8975031999871,638.8975031999871,638.8975031999871,638.8975031999871,638.8975031999871,638.8975031999871,638.8975031999871,638.8975031999871,638.8975031999871,638.8975031999871,638.8975031999871,638.8975031999871,641.0781087998766,641.0781087998766,641.0781087998766,641.0781087998766,641.0781087998766,641.0781087998766,641.0781087998766,41,55,45,33,45,60,641.0781087998766,642.6466139999684,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
42,47,56,38,0,102,102,102,,,,,,,,,,,None,642.6466139999684,642.6466139999684,642.6466139999684,642.6466139999684,642.6466139999684,642.6466139999684,r,0.352877400116995,643.0313859998714,643.0313859998714,643.0313859998714,643.0313859998714,643.0313859998714,643.0313859998714,643.3130975998938,644.3795233999845,644.3795233999845,644.3795233999845,644.3795233999845,644.3795233999845,644.3795233999845,644.346076999791,644.3795233999845,644.3795233999845,644.3795233999845,644.3795233999845,644.3795233999845,644.3795233999845,644.3795233999845,645.7110249998514,645.7110249998514,645.7110249998514,645.7110249998514,645.7110249998514,645.7110249998514,645.7110249998514,38,56,47,42,56,60,645.7110249998514,647.3452984998003,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
40,53,44,35,0,103,103,103,,,,,,,,,,,None,647.3452984998003,647.3452984998003,647.3452984998003,647.3452984998003,647.3452984998003,647.3452984998003,r,0.5217899000272155,647.8984836000018,647.8984836000018,647.8984836000018,647.8984836000018,647.8984836000018,647.8984836000018,648.1956324998755,649.2288478999399,649.2288478999399,649.2288478999399,649.2288478999399,649.2288478999399,649.2288478999399,649.2288478999399,649.2288478999399,649.2288478999399,649.2288478999399,649.2288478999399,649.2288478999399,649.2288478999399,649.2288478999399,650.5600133999251,650.5600133999251,650.5600133999251,650.5600133999251,650.5600133999251,650.5600133999251,650.5600133999251,35,44,53,40,44,60,650.5600133999251,652.2612278999295,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
48,48,44,35,0,104,104,104,,,,,,,,,,,None,652.2612278999295,652.2612278999295,652.2612278999295,652.2612278999295,652.2612278999295,652.2612278999295,j,0.3568141998257488,652.6462548999116,652.6462548999116,652.6462548999116,652.6462548999116,652.6462548999116,652.6462548999116,652.9453039998189,653.7944415998645,653.7944415998645,653.7944415998645,653.7944415998645,653.7944415998645,653.7944415998645,653.7944415998645,653.7944415998645,653.7944415998645,653.7944415998645,653.7944415998645,653.7944415998645,653.7944415998645,653.7944415998645,654.9426791998558,654.9426791998558,654.9426791998558,654.9426791998558,654.9426791998558,654.9426791998558,654.9426791998558,35,44,48,48,48,60,654.9426791998558,656.8270629998296,,,,,,,,,,,,,005,f,23,2023-05-13_15h00.55.392,RL,2022.2.5,60.237625370687745,
