arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.43286580001586,18.43286580001586,space,21.97570400001132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
70,42,51,64,0,15,15,15,,,,,,,,,,,None,130.0519348999951,130.0519348999951,130.0519348999951,130.0519348999951,130.0519348999951,130.0519348999951,j,0.2972563999937847,130.36916620002012,130.36916620002012,130.36916620002012,130.36916620002012,130.36916620002012,130.36916620002012,130.65163370000664,132.651357499999,132.651357499999,132.651357499999,132.651357499999,132.651357499999,132.651357499999,132.6346470999997,132.651357499999,132.651357499999,132.651357499999,132.651357499999,132.651357499999,132.651357499999,132.651357499999,134.93255950001185,134.93255950001185,134.93255950001185,134.93255950001185,134.93255950001185,134.93255950001185,134.93255950001185,42,51,70,64,64,60,134.93255950001185,136.63448639999842,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
66,32,45,71,0,16,16,16,,,,,,,,,,,None,136.63448639999842,136.63448639999842,136.63448639999842,136.63448639999842,136.63448639999842,136.63448639999842,j,0.26458220000495203,136.91792570002144,136.91792570002144,136.91792570002144,136.91792570002144,136.91792570002144,136.91792570002144,137.20090920000803,138.70086360001005,138.70086360001005,138.70086360001005,138.70086360001005,138.70086360001005,138.70086360001005,138.68453349999618,138.70086360001005,138.70086360001005,138.70086360001005,138.70086360001005,138.70086360001005,138.70086360001005,138.70086360001005,140.48193310000352,140.48193310000352,140.48193310000352,140.48193310000352,140.48193310000352,140.48193310000352,140.48193310000352,32,45,66,71,71,60,140.48193310000352,142.28330599999754,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
68,47,46,69,0,17,17,17,,,,,,,,,,,None,142.28330599999754,142.28330599999754,142.28330599999754,142.28330599999754,142.28330599999754,142.28330599999754,j,0.28196269998443313,142.58349250000902,142.58349250000902,142.58349250000902,142.58349250000902,142.58349250000902,142.58349250000902,142.86669650001568,143.88306439999724,143.88306439999724,143.88306439999724,143.88306439999724,143.88306439999724,143.88306439999724,143.86633610000717,143.88306439999724,143.88306439999724,143.88306439999724,143.88306439999724,143.88306439999724,143.88306439999724,143.88306439999724,145.16457230001106,145.16457230001106,145.16457230001106,145.16457230001106,145.16457230001106,145.16457230001106,145.16457230001106,47,46,68,69,69,60,145.16457230001106,146.865340999997,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
71,36,56,71,0,18,18,18,,,,,,,,,,,None,146.865340999997,146.865340999997,146.865340999997,146.865340999997,146.865340999997,146.865340999997,j,0.3702579000091646,147.26601330001722,147.26601330001722,147.26601330001722,147.26601330001722,147.26601330001722,147.26601330001722,147.54890640001395,148.8155010000046,148.8155010000046,148.8155010000046,148.8155010000046,148.8155010000046,148.8155010000046,148.79883630000404,148.8155010000046,148.8155010000046,148.8155010000046,148.8155010000046,148.8155010000046,148.8155010000046,148.8155010000046,150.36364820000017,150.36364820000017,150.36364820000017,150.36364820000017,150.36364820000017,150.36364820000017,150.36364820000017,36,56,71,71,71,60,150.36364820000017,152.2981614000164,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
70,42,56,74,0,19,19,19,,,,,,,,,,,None,152.2981614000164,152.2981614000164,152.2981614000164,152.2981614000164,152.2981614000164,152.2981614000164,j,0.2602783000038471,152.58170660000178,152.58170660000178,152.58170660000178,152.58170660000178,152.58170660000178,152.58170660000178,152.86491140001453,154.06469290002133,154.06469290002133,154.06469290002133,154.06469290002133,154.06469290002133,154.06469290002133,154.03127910001785,154.06469290002133,154.06469290002133,154.06469290002133,154.06469290002133,154.06469290002133,154.06469290002133,154.06469290002133,155.5292956000194,155.5292956000194,155.5292956000194,155.5292956000194,155.5292956000194,155.5292956000194,155.5292956000194,42,56,70,74,74,60,155.5292956000194,157.33061800000723,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
63,40,58,80,0,20,20,20,,,,,,,,,,,None,157.33061800000723,157.33061800000723,157.33061800000723,157.33061800000723,157.33061800000723,157.33061800000723,j,0.3449193999986164,157.69753269999637,157.69753269999637,157.69753269999637,157.69753269999637,157.69753269999637,157.69753269999637,157.98077500000363,159.46348900001612,159.46348900001612,159.46348900001612,159.46348900001612,159.46348900001612,159.46348900001612,159.44711249999818,159.46348900001612,159.46348900001612,159.46348900001612,159.46348900001612,159.46348900001612,159.46348900001612,159.46348900001612,161.22867300000507,161.22867300000507,161.22867300000507,161.22867300000507,161.22867300000507,161.22867300000507,161.22867300000507,40,58,63,80,80,60,161.22867300000507,162.79606610001065,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
56,35,56,74,0,21,21,21,,,,,,,,,,,None,162.79606610001065,162.79606610001065,162.79606610001065,162.79606610001065,162.79606610001065,162.79606610001065,j,0.27332969999406487,163.0964858000225,163.0964858000225,163.0964858000225,163.0964858000225,163.0964858000225,163.0964858000225,163.3796498000156,164.44611020002048,164.44611020002048,164.44611020002048,164.44611020002048,164.44611020002048,164.44611020002048,164.42987500000163,164.44611020002048,164.44611020002048,164.44611020002048,164.44611020002048,164.44611020002048,164.44611020002048,164.44611020002048,165.79454030000488,165.79454030000488,165.79454030000488,165.79454030000488,165.79454030000488,165.79454030000488,165.79454030000488,35,56,56,74,74,60,165.79454030000488,167.52920280001126,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
59,39,61,69,0,22,22,22,,,,,,,,,,,None,167.52920280001126,167.52920280001126,167.52920280001126,167.52920280001126,167.52920280001126,167.52920280001126,j,0.2958303000195883,167.8489038000116,167.8489038000116,167.8489038000116,167.8489038000116,167.8489038000116,167.8489038000116,168.1459801000019,169.39512900001137,169.39512900001137,169.39512900001137,169.39512900001137,169.39512900001137,169.39512900001137,169.39512900001137,169.39512900001137,169.39512900001137,169.39512900001137,169.39512900001137,169.39512900001137,169.39512900001137,169.39512900001137,170.94382600000245,170.94382600000245,170.94382600000245,170.94382600000245,170.94382600000245,170.94382600000245,170.94382600000245,39,61,59,69,69,60,170.94382600000245,172.61162239999976,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
61,39,59,65,0,23,23,23,,,,,,,,,,,None,172.61162239999976,172.61162239999976,172.61162239999976,172.61162239999976,172.61162239999976,172.61162239999976,j,0.34501029999228194,172.9782737000205,172.9782737000205,172.9782737000205,172.9782737000205,172.9782737000205,172.9782737000205,173.26116730002104,175.22818800000823,175.22818800000823,175.22818800000823,175.22818800000823,175.22818800000823,175.22818800000823,175.21094069999526,175.22818800000823,175.22818800000823,175.22818800000823,175.22818800000823,175.22818800000823,175.22818800000823,175.22818800000823,177.47545030000038,177.47545030000038,177.47545030000038,177.47545030000038,177.47545030000038,177.47545030000038,177.47545030000038,39,59,61,65,65,60,177.47545030000038,179.27650570002152,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
56,36,72,70,0,24,24,24,,,,,,,,,,,None,179.27650570002152,179.27650570002152,179.27650570002152,179.27650570002152,179.27650570002152,179.27650570002152,j,0.27989220002200454,179.57709040000918,179.57709040000918,179.57709040000918,179.57709040000918,179.57709040000918,179.57709040000918,179.86000740001327,180.89315410002018,180.89315410002018,180.89315410002018,180.89315410002018,180.89315410002018,180.89315410002018,180.87669090001145,180.89315410002018,180.89315410002018,180.89315410002018,180.89315410002018,180.89315410002018,180.89315410002018,180.89315410002018,182.20788289999473,182.20788289999473,182.20788289999473,182.20788289999473,182.20788289999473,182.20788289999473,182.20788289999473,36,72,56,70,70,60,182.20788289999473,184.09249249999993,,,,,,,,,,,,３３９,f,２３,2023-05-21_14h34.30.295,RL,2022.2.5,60.120397107149216,
