arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.7790811000159,34.7790811000159,space,4.475582000013674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
58,66,36,63,0,92,92,92,,,,,,,,,,,None,590.2279329000157,590.2279329000157,590.2279329000157,590.2279329000157,590.2279329000157,590.2279329000157,f,0.6513241000066046,590.9162072000036,590.9162072000036,590.9162072000036,590.9162072000036,590.9162072000036,590.9162072000036,591.2111032000103,592.8274980999995,592.8274980999995,592.8274980999995,592.8274980999995,592.8274980999995,592.8274980999995,592.8274980999995,592.8274980999995,592.8274980999995,592.8274980999995,592.8274980999995,592.8274980999995,592.8274980999995,592.8274980999995,594.7423207999964,594.7423207999964,594.7423207999964,594.7423207999964,594.7423207999964,594.7423207999964,594.7423207999964,63,36,66,58,63,60,594.7423207999964,596.2430440000026,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
48,69,38,54,0,93,93,93,,,,,,,,,,,None,596.2430440000026,596.2430440000026,596.2430440000026,596.2430440000026,596.2430440000026,596.2430440000026,f,0.3452969000209123,596.6121585000074,596.6121585000074,596.6121585000074,596.6121585000074,596.6121585000074,596.6121585000074,596.8938264999888,598.2105109000113,598.226690600015,598.226690600015,598.226690600015,598.226690600015,598.226690600015,598.226690600015,598.226690600015,598.226690600015,598.226690600015,598.226690600015,598.226690600015,598.226690600015,598.226690600015,599.8412780000072,599.8412780000072,599.8412780000072,599.8412780000072,599.8412780000072,599.8412780000072,599.8412780000072,54,38,69,48,54,60,599.8412780000072,601.709208300017,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
60,70,35,57,0,94,94,94,,,,,,,,,,,None,601.709208300017,601.709208300017,601.709208300017,601.709208300017,601.709208300017,601.709208300017,i,0.3323939999972936,602.0598798000137,602.0598798000137,602.0598798000137,602.0598798000137,602.0598798000137,602.0598798000137,602.3590176000143,603.8255792999989,603.8422642000078,603.8422642000078,603.8422642000078,603.8422642000078,603.8422642000078,603.8422642000078,603.8422642000078,603.8422642000078,603.8422642000078,603.8422642000078,603.8422642000078,603.8422642000078,603.8422642000078,605.6241118999897,605.6241118999897,605.6241118999897,605.6241118999897,605.6241118999897,605.6241118999897,605.6241118999897,57,35,70,60,70,60,605.6241118999897,607.5746296000143,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
54,64,36,59,0,95,95,95,,,,,,,,,,,None,607.5746296000143,607.5746296000143,607.5746296000143,607.5746296000143,607.5746296000143,607.5746296000143,i,0.43591299999388866,608.0424330999958,608.0424330999958,608.0424330999958,608.0424330999958,608.0424330999958,608.0424330999958,608.3249375000014,610.1745534999936,610.1910741000029,610.1910741000029,610.1910741000029,610.1910741000029,610.1910741000029,610.1910741000029,610.1910741000029,610.1910741000029,610.1910741000029,610.1910741000029,610.1910741000029,610.1910741000029,610.1910741000029,612.3393988000171,612.3393988000171,612.3393988000171,612.3393988000171,612.3393988000171,612.3393988000171,612.3393988000171,59,36,64,54,64,60,612.3393988000171,614.073695900006,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
50,68,41,56,0,96,96,96,,,,,,,,,,,None,614.073695900006,614.073695900006,614.073695900006,614.073695900006,614.073695900006,614.073695900006,i,0.29885590000776574,614.3906969999953,614.3906969999953,614.3906969999953,614.3906969999953,614.3906969999953,614.3906969999953,614.6737733999908,616.6406253000023,616.6569613000029,616.6569613000029,616.6569613000029,616.6569613000029,616.6569613000029,616.6569613000029,616.6569613000029,616.6569613000029,616.6569613000029,616.6569613000029,616.6569613000029,616.6569613000029,616.6569613000029,618.9216401000158,618.9216401000158,618.9216401000158,618.9216401000158,618.9216401000158,618.9216401000158,618.9216401000158,56,41,68,50,68,60,618.9216401000158,620.7393044999917,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
56,68,37,54,0,97,97,97,,,,,,,,,,,None,620.7393044999917,620.7393044999917,620.7393044999917,620.7393044999917,620.7393044999917,620.7393044999917,i,0.25339649998932146,621.0271530000027,621.0271530000027,621.0271530000027,621.0271530000027,621.0271530000027,621.0271530000027,621.3227706000034,622.422292800009,622.422292800009,622.422292800009,622.422292800009,622.422292800009,622.422292800009,622.422292800009,622.422292800009,622.422292800009,622.422292800009,622.422292800009,622.422292800009,622.422292800009,622.422292800009,623.8207125999907,623.8207125999907,623.8207125999907,623.8207125999907,623.8207125999907,623.8207125999907,623.8207125999907,54,37,68,56,68,60,623.8207125999907,625.4045396000147,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
52,74,49,53,0,98,98,98,,,,,,,,,,,None,625.4045396000147,625.4045396000147,625.4045396000147,625.4045396000147,625.4045396000147,625.4045396000147,i,1.17290169998887,626.6068352000148,626.6068352000148,626.6068352000148,626.6068352000148,626.6068352000148,626.6068352000148,626.8886818000174,628.2717250999995,628.2883352999925,628.2883352999925,628.2883352999925,628.2883352999925,628.2883352999925,628.2883352999925,628.2883352999925,628.2883352999925,628.2883352999925,628.2883352999925,628.2883352999925,628.2883352999925,628.2883352999925,629.9692222000158,629.9692222000158,629.9692222000158,629.9692222000158,629.9692222000158,629.9692222000158,629.9692222000158,53,49,74,52,74,60,629.9692222000158,631.7369925999956,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
55,64,37,54,0,99,99,99,,,,,,,,,,,None,631.7369925999956,631.7369925999956,631.7369925999956,631.7369925999956,631.7369925999956,631.7369925999956,i,0.3292950000031851,632.0900632000121,632.0900632000121,632.0900632000121,632.0900632000121,632.0900632000121,632.0900632000121,632.3710592999996,633.3206579000107,633.3370631000143,633.3370631000143,633.3370631000143,633.3370631000143,633.3370631000143,633.3370631000143,633.3370631000143,633.3370631000143,633.3370631000143,633.3370631000143,633.3370631000143,633.3370631000143,633.3370631000143,634.5855752000061,634.5855752000061,634.5855752000061,634.5855752000061,634.5855752000061,634.5855752000061,634.5855752000061,54,37,64,55,64,60,634.5855752000061,636.4035145000089,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
59,78,48,49,0,100,100,100,,,,,,,,,,,None,636.4035145000089,636.4035145000089,636.4035145000089,636.4035145000089,636.4035145000089,636.4035145000089,i,0.2764002999756485,636.7038873000129,636.7038873000129,636.7038873000129,636.7038873000129,636.7038873000129,636.7038873000129,636.9865529999952,638.4528828999901,638.4696888999897,638.4696888999897,638.4696888999897,638.4696888999897,638.4696888999897,638.4696888999897,638.4696888999897,638.4696888999897,638.4696888999897,638.4696888999897,638.4696888999897,638.4696888999897,638.4696888999897,640.2341517000168,640.2341517000168,640.2341517000168,640.2341517000168,640.2341517000168,640.2341517000168,640.2341517000168,49,48,78,59,78,60,640.2341517000168,642.0851868999889,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
45,77,33,48,0,101,101,101,,,,,,,,,,,None,642.0851868999889,642.0851868999889,642.0851868999889,642.0851868999889,642.0851868999889,642.0851868999889,i,0.30896429999847896,642.4216198000067,642.4216198000067,642.4216198000067,642.4216198000067,642.4216198000067,642.4216198000067,642.719121800008,643.5523820999952,643.5523820999952,643.5523820999952,643.5523820999952,643.5523820999952,643.5523820999952,643.5523820999952,643.5523820999952,643.5523820999952,643.5523820999952,643.5523820999952,643.5523820999952,643.5523820999952,643.5523820999952,644.6835021000006,644.6835021000006,644.6835021000006,644.6835021000006,644.6835021000006,644.6835021000006,644.6835021000006,48,33,77,45,77,60,644.6835021000006,646.2179509999987,,,,,,,,,,,,,,,,,,,,３３５,f,２２,2023-05-21_11h06.04.774,RL,2022.2.5,59.90208404702956,
