arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.52245150017552,20.52245150017552,space,6.57912000012584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
35,53,62,60,0,38,38,38,,,,,,,,None,244.693142300006,244.693142300006,244.693142300006,244.693142300006,244.693142300006,244.693142300006,j,0.37982159992679954,245.09553120005876,245.09553120005876,245.09553120005876,245.09553120005876,245.09553120005876,245.09553120005876,245.39328830013983,246.70994179998524,246.70994179998524,246.70994179998524,246.70994179998524,246.70994179998524,246.70994179998524,246.69336859998293,246.70994179998524,246.70994179998524,246.70994179998524,246.70994179998524,246.70994179998524,246.70994179998524,246.70994179998524,248.30807460006326,248.30807460006326,248.30807460006326,248.30807460006326,248.30807460006326,248.30807460006326,248.30807460006326,53,62,35,60,60,70,248.30807460006326,250.20885160006583,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
28,53,62,61,0,39,39,39,,,,,,,,None,250.20885160006583,250.20885160006583,250.20885160006583,250.20885160006583,250.20885160006583,250.20885160006583,j,0.27645240002311766,250.50949870003387,250.50949870003387,250.50949870003387,250.50949870003387,250.50949870003387,250.50949870003387,250.79234930011444,252.15865610004403,252.15865610004403,252.15865610004403,252.15865610004403,252.15865610004403,252.15865610004403,252.14206059998833,252.15865610004403,252.15865610004403,252.15865610004403,252.15865610004403,252.15865610004403,252.15865610004403,252.15865610004403,253.80691640009172,253.80691640009172,253.80691640009172,253.80691640009172,253.80691640009172,253.80691640009172,253.80691640009172,53,62,28,61,61,70,253.80691640009172,255.808187100105,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
37,55,69,61,0,40,40,40,,,,,,,,None,255.808187100105,255.808187100105,255.808187100105,255.808187100105,255.808187100105,255.808187100105,r,0.382014200091362,256.2080988001544,256.2080988001544,256.2080988001544,256.2080988001544,256.2080988001544,256.2080988001544,256.4913972001523,257.6744827001821,257.6744827001821,257.6744827001821,257.6744827001821,257.6744827001821,257.6744827001821,257.65781800006516,257.6744827001821,257.6744827001821,257.6744827001821,257.6744827001821,257.6744827001821,257.6744827001821,257.6744827001821,259.1389703999739,259.1389703999739,259.1389703999739,259.1389703999739,259.1389703999739,259.1389703999739,259.1389703999739,55,69,37,61,69,70,259.1389703999739,260.72338470001705,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
29,58,64,52,0,41,41,41,,,,,,,,None,260.72338470001705,260.72338470001705,260.72338470001705,260.72338470001705,260.72338470001705,260.72338470001705,r,0.44018290005624294,261.1906101000495,261.1906101000495,261.1906101000495,261.1906101000495,261.1906101000495,261.1906101000495,261.47387450002134,263.2901481001172,263.2901481001172,263.2901481001172,263.2901481001172,263.2901481001172,263.2901481001172,263.27390340017155,263.2901481001172,263.2901481001172,263.2901481001172,263.2901481001172,263.2901481001172,263.2901481001172,263.2901481001172,265.3882341000717,265.3882341000717,265.3882341000717,265.3882341000717,265.3882341000717,265.3882341000717,265.3882341000717,58,64,29,52,64,70,265.3882341000717,267.27256359998137,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
33,51,70,57,0,42,42,42,,,,,,,,None,267.27256359998137,267.27256359998137,267.27256359998137,267.27256359998137,267.27256359998137,267.27256359998137,j,0.29512109979987144,267.5908355000429,267.5908355000429,267.5908355000429,267.5908355000429,267.5908355000429,267.5908355000429,267.87308170017786,269.5054952001665,269.5054952001665,269.5054952001665,269.5054952001665,269.5054952001665,269.5054952001665,269.4887790000066,269.5054952001665,269.5054952001665,269.5054952001665,269.5054952001665,269.5054952001665,269.5054952001665,269.5054952001665,271.4204033999704,271.4204033999704,271.4204033999704,271.4204033999704,271.4204033999704,271.4204033999704,271.4204033999704,51,70,33,57,57,70,271.4204033999704,273.0211331001483,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
45,51,68,52,0,43,43,43,,,,,,,,None,273.0211331001483,273.0211331001483,273.0211331001483,273.0211331001483,273.0211331001483,273.0211331001483,r,0.3099944000132382,273.3551839001011,273.3551839001011,273.3551839001011,273.3551839001011,273.3551839001011,273.3551839001011,273.63857110007666,274.5217814000789,274.5217814000789,274.5217814000789,274.5217814000789,274.5217814000789,274.5217814000789,274.50539980013855,274.5217814000789,274.5217814000789,274.5217814000789,274.5217814000789,274.5217814000789,274.5217814000789,274.5217814000789,275.68616409995593,275.68616409995593,275.68616409995593,275.68616409995593,275.68616409995593,275.68616409995593,275.68616409995593,51,68,45,52,68,70,275.68616409995593,277.55415540002286,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
34,54,68,52,0,44,44,44,,,,,,,,None,277.55415540002286,277.55415540002286,277.55415540002286,277.55415540002286,277.55415540002286,277.55415540002286,r,0.33158369990997016,277.9048164000269,277.9048164000269,277.9048164000269,277.9048164000269,277.9048164000269,277.9048164000269,278.20460460009053,280.07039420004,280.07039420004,280.07039420004,280.07039420004,280.07039420004,280.07039420004,280.07039420004,280.07039420004,280.07039420004,280.07039420004,280.07039420004,280.07039420004,280.07039420004,280.07039420004,282.23525870009325,282.23525870009325,282.23525870009325,282.23525870009325,282.23525870009325,282.23525870009325,282.23525870009325,54,68,34,52,68,70,282.23525870009325,283.7861707000993,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
42,49,68,53,0,45,45,45,,,,,,,,None,283.7861707000993,283.7861707000993,283.7861707000993,283.7861707000993,283.7861707000993,283.7861707000993,r,0.37636790005490184,284.1882281000726,284.1882281000726,284.1882281000726,284.1882281000726,284.1882281000726,284.1882281000726,284.46977520012297,285.9694268000312,285.9694268000312,285.9694268000312,285.9694268000312,285.9694268000312,285.9694268000312,285.95296140015125,285.9694268000312,285.9694268000312,285.9694268000312,285.9694268000312,285.9694268000312,285.9694268000312,285.9694268000312,287.7509572999552,287.7509572999552,287.7509572999552,287.7509572999552,287.7509572999552,287.7509572999552,287.7509572999552,49,68,42,53,68,70,287.7509572999552,289.4851932001766,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
46,55,66,53,0,46,46,46,,,,,,,,None,289.4851932001766,289.4851932001766,289.4851932001766,289.4851932001766,289.4851932001766,289.4851932001766,r,0.40761710004881024,289.9224517000839,289.9224517000839,289.9224517000839,289.9224517000839,289.9224517000839,289.9224517000839,290.2026439001784,291.6019975000527,291.6019975000527,291.6019975000527,291.6019975000527,291.6019975000527,291.6019975000527,291.58501820010133,291.6019975000527,291.6019975000527,291.6019975000527,291.6019975000527,291.6019975000527,291.6019975000527,291.6019975000527,293.2831669000443,293.2831669000443,293.2831669000443,293.2831669000443,293.2831669000443,293.2831669000443,293.2831669000443,55,66,46,53,66,70,293.2831669000443,294.93426770018414,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
42,57,59,52,0,47,47,47,,,,,,,,None,294.93426770018414,294.93426770018414,294.93426770018414,294.93426770018414,294.93426770018414,294.93426770018414,r,0.3364514000713825,295.3060802000109,295.3060802000109,295.3060802000109,295.3060802000109,295.3060802000109,295.3060802000109,295.5845494000241,297.5676311000716,297.5676311000716,297.5676311000716,297.5676311000716,297.5676311000716,297.5676311000716,297.55124610010535,297.5676311000716,297.5676311000716,297.5676311000716,297.5676311000716,297.5676311000716,297.5676311000716,297.5676311000716,299.83207390015014,299.83207390015014,299.83207390015014,299.83207390015014,299.83207390015014,299.83207390015014,299.83207390015014,57,59,42,52,59,70,299.83207390015014,301.64998660003766,,,,,,,,,,,010,ｍ,1９,2023-05-13_18h48.26.471,RL,2022.2.5,60.049168241871804,
