arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.04616139997961,20.04616139997961,space,16.358891299983952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
41,68,59,38,0,67,67,67,,,,,,,,,,,None,421.1007350999862,421.1007350999862,421.1007350999862,421.1007350999862,421.1007350999862,421.1007350999862,r,0.3225539999839384,421.45148689998314,421.45148689998314,421.45148689998314,421.45148689998314,421.45148689998314,421.45148689998314,421.7510537999915,422.91739289998077,422.91739289998077,422.91739289998077,422.91739289998077,422.91739289998077,422.91739289998077,422.91739289998077,422.91739289998077,422.91739289998077,422.91739289998077,422.91739289998077,422.91739289998077,422.91739289998077,422.91739289998077,424.38244369998574,424.38244369998574,424.38244369998574,424.38244369998574,424.38244369998574,424.38244369998574,424.38244369998574,41,59,68,38,59,60,424.38244369998574,426.2329974999884,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
39,61,54,36,0,68,68,68,,,,,,,,,,,None,426.2329974999884,426.2329974999884,426.2329974999884,426.2329974999884,426.2329974999884,426.2329974999884,r,0.3822025000117719,426.63388429998304,426.63388429998304,426.63388429998304,426.63388429998304,426.63388429998304,426.63388429998304,426.91712779999943,428.7001125999959,428.71670669998275,428.71670669998275,428.71670669998275,428.71670669998275,428.71670669998275,428.71670669998275,428.71670669998275,428.71670669998275,428.71670669998275,428.71670669998275,428.71670669998275,428.71670669998275,428.71670669998275,430.7980787999986,430.7980787999986,430.7980787999986,430.7980787999986,430.7980787999986,430.7980787999986,430.7980787999986,39,54,61,36,54,60,430.7980787999986,432.7156160000013,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
43,51,52,31,0,69,69,69,,,,,,,,,,,None,432.7156160000013,432.7156160000013,432.7156160000013,432.7156160000013,432.7156160000013,432.7156160000013,r,0.28439260000595823,433.0360273999977,433.0360273999977,433.0360273999977,433.0360273999977,433.0360273999977,433.0360273999977,433.31571659998735,434.51565249997657,434.54899879998993,434.54899879998993,434.54899879998993,434.54899879998993,434.54899879998993,434.54899879998993,434.54899879998993,434.54899879998993,434.54899879998993,434.54899879998993,434.54899879998993,434.54899879998993,434.54899879998993,436.04721249997965,436.04721249997965,436.04721249997965,436.04721249997965,436.04721249997965,436.04721249997965,436.04721249997965,43,52,51,31,52,60,436.04721249997965,438.0144462999888,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
29,63,67,36,0,70,70,70,,,,,,,,,,,None,438.0144462999888,438.0144462999888,438.0144462999888,438.0144462999888,438.0144462999888,438.0144462999888,i,0.31312269999762066,438.34834229998523,438.34834229998523,438.34834229998523,438.34834229998523,438.34834229998523,438.34834229998523,438.63158989997464,440.58167230000254,440.5979205999756,440.5979205999756,440.5979205999756,440.5979205999756,440.5979205999756,440.5979205999756,440.5979205999756,440.5979205999756,440.5979205999756,440.5979205999756,440.5979205999756,440.5979205999756,440.5979205999756,442.8462654000032,442.8462654000032,442.8462654000032,442.8462654000032,442.8462654000032,442.8462654000032,442.8462654000032,29,67,63,36,63,60,442.8462654000032,444.6972423999978,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
28,65,67,40,0,71,71,71,,,,,,,,,,,None,444.6972423999978,444.6972423999978,444.6972423999978,444.6972423999978,444.6972423999978,444.6972423999978,i,0.3096153999795206,445.03079839999555,445.03079839999555,445.03079839999555,445.03079839999555,445.03079839999555,445.03079839999555,445.3305954999814,447.1967551999842,447.1967551999842,447.1967551999842,447.1967551999842,447.1967551999842,447.1967551999842,447.1967551999842,447.1967551999842,447.1967551999842,447.1967551999842,447.1967551999842,447.1967551999842,447.1967551999842,447.1967551999842,449.3616375999991,449.3616375999991,449.3616375999991,449.3616375999991,449.3616375999991,449.3616375999991,449.3616375999991,28,67,65,40,65,60,449.3616375999991,451.36231479997514,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
38,64,59,39,0,72,72,72,,,,,,,,,,,None,451.36231479997514,451.36231479997514,451.36231479997514,451.36231479997514,451.36231479997514,451.36231479997514,i,0.28187740000430495,451.66270509999595,451.66270509999595,451.66270509999595,451.66270509999595,451.66270509999595,451.66270509999595,451.94595009999466,453.81273969999165,453.8289862999809,453.8289862999809,453.8289862999809,453.8289862999809,453.8289862999809,453.8289862999809,453.8289862999809,453.8289862999809,453.8289862999809,453.8289862999809,453.8289862999809,453.8289862999809,453.8289862999809,455.9935682999785,455.9935682999785,455.9935682999785,455.9935682999785,455.9935682999785,455.9935682999785,455.9935682999785,38,59,64,39,64,60,455.9935682999785,457.74447789997794,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
39,68,71,44,0,73,73,73,,,,,,,,,,,None,457.74447789997794,457.74447789997794,457.74447789997794,457.74447789997794,457.74447789997794,457.74447789997794,i,0.3893504000152461,458.1649305000028,458.1649305000028,458.1649305000028,458.1649305000028,458.1649305000028,458.1649305000028,458.46157129999483,460.34435089997714,460.34435089997714,460.34435089997714,460.34435089997714,460.34435089997714,460.34435089997714,460.34435089997714,460.34435089997714,460.34435089997714,460.34435089997714,460.34435089997714,460.34435089997714,460.34435089997714,460.34435089997714,462.52620729999035,462.52620729999035,462.52620729999035,462.52620729999035,462.52620729999035,462.52620729999035,462.52620729999035,39,71,68,44,68,60,462.52620729999035,464.4269542999973,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
40,64,62,39,0,74,74,74,,,,,,,,,,,None,464.4269542999973,464.4269542999973,464.4269542999973,464.4269542999973,464.4269542999973,464.4269542999973,i,0.39178430000902154,464.84668950000196,464.84668950000196,464.84668950000196,464.84668950000196,464.84668950000196,464.84668950000196,465.12737419997575,466.1939143999771,466.2267702999816,466.2267702999816,466.2267702999816,466.2267702999816,466.2267702999816,466.2267702999816,466.2267702999816,466.2267702999816,466.2267702999816,466.2267702999816,466.2267702999816,466.2267702999816,466.2267702999816,467.59147769998526,467.59147769998526,467.59147769998526,467.59147769998526,467.59147769998526,467.59147769998526,467.59147769998526,40,62,64,39,64,60,467.59147769998526,469.19190129998606,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
34,57,69,37,0,75,75,75,,,,,,,,,,,q,492.28893019998213,492.28893019998213,492.28893019998213,492.28893019998213,492.28893019998213,492.28893019998213,r,0.9678955999843311,493.29344049998326,493.29344049998326,493.29344049998326,493.29344049998326,493.29344049998326,493.29344049998326,493.5722104999877,494.9384200999921,494.95494659998803,494.95494659998803,494.95494659998803,494.95494659998803,494.95494659998803,494.95494659998803,494.95494659998803,494.95494659998803,494.95494659998803,494.95494659998803,494.95494659998803,494.95494659998803,494.95494659998803,496.6195146999962,496.6195146999962,496.6195146999962,496.6195146999962,496.6195146999962,496.6195146999962,496.6195146999962,34,69,57,37,69,60,496.6195146999962,498.22079999998095,,,,,,,,,469.19190129998606,469.19190129998606,18.052558299998054,487.27342749998206,487.27342749998206,492.28893019998213,492.28893019998213,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
40,64,69,45,0,76,76,76,,,,,,,,,,,None,498.22079999998095,498.22079999998095,498.22079999998095,498.22079999998095,498.22079999998095,498.22079999998095,r,0.4150339000043459,498.6563022999908,498.6563022999908,498.6563022999908,498.6563022999908,498.6563022999908,498.6563022999908,498.95442439999897,500.02111659999355,500.02111659999355,500.02111659999355,500.02111659999355,500.02111659999355,500.02111659999355,500.02111659999355,500.02111659999355,500.02111659999355,500.02111659999355,500.02111659999355,500.02111659999355,500.02111659999355,500.02111659999355,501.38526199999615,501.38526199999615,501.38526199999615,501.38526199999615,501.38526199999615,501.38526199999615,501.38526199999615,40,69,64,45,69,60,501.38526199999615,503.27009149998776,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
33,61,67,50,0,77,77,77,,,,,,,,,,,None,503.27009149998776,503.27009149998776,503.27009149998776,503.27009149998776,503.27009149998776,503.27009149998776,r,0.26611990001401864,503.55374019997544,503.55374019997544,503.55374019997544,503.55374019997544,503.55374019997544,503.55374019997544,503.853549499996,505.0534879999759,505.0534879999759,505.0534879999759,505.0534879999759,505.0534879999759,505.0534879999759,505.0534879999759,505.0534879999759,505.0534879999759,505.0534879999759,505.0534879999759,505.0534879999759,505.0534879999759,505.0534879999759,506.55133319998276,506.55133319998276,506.55133319998276,506.55133319998276,506.55133319998276,506.55133319998276,506.55133319998276,33,67,61,50,67,60,506.55133319998276,508.20245240000077,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
34,74,75,58,0,78,78,78,,,,,,,,,,,None,508.20245240000077,508.20245240000077,508.20245240000077,508.20245240000077,508.20245240000077,508.20245240000077,r,0.287197700003162,508.51958979998017,508.51958979998017,508.51958979998017,508.51958979998017,508.51958979998017,508.51958979998017,508.81969199999,510.21894880000036,510.21894880000036,510.21894880000036,510.21894880000036,510.21894880000036,510.21894880000036,510.21894880000036,510.21894880000036,510.21894880000036,510.21894880000036,510.21894880000036,510.21894880000036,510.21894880000036,510.21894880000036,511.9171876999899,511.9171876999899,511.9171876999899,511.9171876999899,511.9171876999899,511.9171876999899,511.9171876999899,34,75,74,58,75,60,511.9171876999899,513.4354411999811,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
30,59,66,59,0,79,79,79,,,,,,,,,,,None,513.4354411999811,513.4354411999811,513.4354411999811,513.4354411999811,513.4354411999811,513.4354411999811,r,0.2983970000059344,513.7534094000002,513.7534094000002,513.7534094000002,513.7534094000002,513.7534094000002,513.7534094000002,514.0518178999773,515.8681356000016,515.8681356000016,515.8681356000016,515.8681356000016,515.8681356000016,515.8681356000016,515.8681356000016,515.8681356000016,515.8681356000016,515.8681356000016,515.8681356000016,515.8681356000016,515.8681356000016,515.8681356000016,517.9830989999755,517.9830989999755,517.9830989999755,517.9830989999755,517.9830989999755,517.9830989999755,517.9830989999755,30,66,59,59,66,60,517.9830989999755,519.6341791999876,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
40,74,68,70,0,80,80,80,,,,,,,,,,,None,519.6341791999876,519.6341791999876,519.6341791999876,519.6341791999876,519.6341791999876,519.6341791999876,r,0.45007729998906143,520.1007758999767,520.1007758999767,520.1007758999767,520.1007758999767,520.1007758999767,520.1007758999767,520.3842641999945,522.3834829999832,522.4003189999785,522.4003189999785,522.4003189999785,522.4003189999785,522.4003189999785,522.4003189999785,522.4003189999785,522.4003189999785,522.4003189999785,522.4003189999785,522.4003189999785,522.4003189999785,522.4003189999785,524.6986578999786,524.6986578999786,524.6986578999786,524.6986578999786,524.6986578999786,524.6986578999786,524.6986578999786,40,68,74,70,68,60,524.6986578999786,526.6322986999876,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
37,63,64,67,0,81,81,81,,,,,,,,,,,None,526.6322986999876,526.6322986999876,526.6322986999876,526.6322986999876,526.6322986999876,526.6322986999876,r,0.30860359998769127,526.9680126000021,526.9680126000021,526.9680126000021,526.9680126000021,526.9680126000021,526.9680126000021,527.2660472999851,528.3826733999886,528.3826733999886,528.3826733999886,528.3826733999886,528.3826733999886,528.3826733999886,528.3826733999886,528.3826733999886,528.3826733999886,528.3826733999886,528.3826733999886,528.3826733999886,528.3826733999886,528.3826733999886,529.7972487999941,529.7972487999941,529.7972487999941,529.7972487999941,529.7972487999941,529.7972487999941,529.7972487999941,37,64,63,67,64,60,529.7972487999941,531.6981645999767,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
35,63,70,70,0,82,82,82,,,,,,,,,,,None,531.6981645999767,531.6981645999767,531.6981645999767,531.6981645999767,531.6981645999767,531.6981645999767,r,0.32294300000648946,532.0488557999779,532.0488557999779,532.0488557999779,532.0488557999779,532.0488557999779,532.0488557999779,532.33195349999,534.1148335000034,534.1313647999777,534.1313647999777,534.1313647999777,534.1313647999777,534.1313647999777,534.1313647999777,534.1313647999777,534.1313647999777,534.1313647999777,534.1313647999777,534.1313647999777,534.1313647999777,534.1313647999777,536.2133605999989,536.2133605999989,536.2133605999989,536.2133605999989,536.2133605999989,536.2133605999989,536.2133605999989,35,70,63,70,70,60,536.2133605999989,538.0639453999756,,,,,,,,,,,,,,,,,,,,３３１,f,２３,2023-05-21_09h00.32.824,RL,2022.2.5,59.91317382299069,
