arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,docs.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
66,54,64,38,0,104,104,104,,,,,,,,,,,None,630.2259510999993,630.2259510999993,630.2259510999993,630.2259510999993,630.2259510999993,630.2259510999993,f,0.30521070000031614,630.5612368000002,630.5612368000002,630.5612368000002,630.5612368000002,630.5612368000002,630.5612368000002,630.8596435,632.309131,632.309131,632.309131,632.309131,632.309131,632.309131,632.309131,632.309131,632.309131,632.309131,632.309131,632.309131,632.309131,632.309131,634.0575296000006,634.0575296000006,634.0575296000006,634.0575296000006,634.0575296000006,634.0575296000006,634.0575296000006,66,38,64,54,66,60,634.0575296000006,635.9246820000008,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
63,55,58,36,0,105,105,105,,,,,,,,,,,None,635.9246820000008,635.9246820000008,635.9246820000008,635.9246820000008,635.9246820000008,635.9246820000008,f,0.36113079999995534,636.309454799999,636.309454799999,636.309454799999,636.309454799999,636.309454799999,636.309454799999,636.592111599999,638.1917166000003,638.1917166000003,638.1917166000003,638.1917166000003,638.1917166000003,638.1917166000003,638.1750981999994,638.1917166000003,638.1917166000003,638.1917166000003,638.1917166000003,638.1917166000003,638.1917166000003,638.1917166000003,640.0725163999996,640.0725163999996,640.0725163999996,640.0725163999996,640.0725163999996,640.0725163999996,640.0725163999996,63,36,58,55,63,60,640.0725163999996,641.8402456999993,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
60,56,60,33,0,106,106,106,,,,,,,,,,,None,641.8402456999993,641.8402456999993,641.8402456999993,641.8402456999993,641.8402456999993,641.8402456999993,f,0.3642359999994369,642.2254073000004,642.2254073000004,642.2254073000004,642.2254073000004,642.2254073000004,642.2254073000004,642.5243802000005,644.1403484000002,644.1403484000002,644.1403484000002,644.1403484000002,644.1403484000002,644.1403484000002,644.1403484000002,644.1403484000002,644.1403484000002,644.1403484000002,644.1403484000002,644.1403484000002,644.1403484000002,644.1403484000002,646.0381591000005,646.0381591000005,646.0381591000005,646.0381591000005,646.0381591000005,646.0381591000005,646.0381591000005,60,33,60,56,60,60,646.0381591000005,647.8730785999996,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
61,54,70,33,0,107,107,107,,,,,,,,,,,None,647.8730785999996,647.8730785999996,647.8730785999996,647.8730785999996,647.8730785999996,647.8730785999996,f,0.34980650000034075,648.2600325000003,648.2600325000003,648.2600325000003,648.2600325000003,648.2600325000003,648.2600325000003,648.5392892,649.4393063000007,649.4393063000007,649.4393063000007,649.4393063000007,649.4393063000007,649.4393063000007,649.4226957999999,649.4393063000007,649.4393063000007,649.4393063000007,649.4393063000007,649.4393063000007,649.4393063000007,649.4393063000007,650.6211014,650.6211014,650.6211014,650.6211014,650.6211014,650.6211014,650.6211014,61,33,70,54,61,60,650.6211014,652.5385920999997,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
57,48,63,24,0,108,108,108,,,,,,,,,,,None,652.5385920999997,652.5385920999997,652.5385920999997,652.5385920999997,652.5385920999997,652.5385920999997,f,0.7350925999999163,653.3094959999999,653.3094959999999,653.3094959999999,653.3094959999999,653.3094959999999,653.3094959999999,653.5894177999999,655.2382553000007,655.2382553000007,655.2382553000007,655.2382553000007,655.2382553000007,655.2382553000007,655.205192899999,655.2382553000007,655.2382553000007,655.2382553000007,655.2382553000007,655.2382553000007,655.2382553000007,655.2382553000007,657.1534014999997,657.1534014999997,657.1534014999997,657.1534014999997,657.1534014999997,657.1534014999997,657.1534014999997,57,24,63,48,57,60,657.1534014999997,659.154036599999,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
55,54,58,35,0,109,109,109,,,,,,,,,,,None,659.154036599999,659.154036599999,659.154036599999,659.154036599999,659.154036599999,659.154036599999,f,0.3189246000001731,659.5094525999993,659.5094525999993,659.5094525999993,659.5094525999993,659.5094525999993,659.5094525999993,659.8043553999996,661.6371225000003,661.6371225000003,661.6371225000003,661.6371225000003,661.6371225000003,661.6371225000003,661.6205338,661.6371225000003,661.6371225000003,661.6371225000003,661.6371225000003,661.6371225000003,661.6371225000003,661.6371225000003,663.7520251999995,663.7520251999995,663.7520251999995,663.7520251999995,663.7520251999995,663.7520251999995,663.7520251999995,55,35,58,54,55,60,663.7520251999995,665.3532353999999,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
54,51,64,25,0,110,110,110,,,,,,,,,,,None,665.3532353999999,665.3532353999999,665.3532353999999,665.3532353999999,665.3532353999999,665.3532353999999,f,0.4452599999985978,665.8204807999991,665.8204807999991,665.8204807999991,665.8204807999991,665.8204807999991,665.8204807999991,666.1199441000008,667.5029859999995,667.5029859999995,667.5029859999995,667.5029859999995,667.5029859999995,667.5029859999995,667.4866662000004,667.5029859999995,667.5029859999995,667.5029859999995,667.5029859999995,667.5029859999995,667.5029859999995,667.5029859999995,669.1678849,669.1678849,669.1678849,669.1678849,669.1678849,669.1678849,669.1678849,54,25,64,51,54,60,669.1678849,671.0351148999998,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
68,41,67,43,0,111,111,111,,,,,,,,,,,None,671.0351148999998,671.0351148999998,671.0351148999998,671.0351148999998,671.0351148999998,671.0351148999998,f,0.39197170000079495,671.4544743000006,671.4544743000006,671.4544743000006,671.4544743000006,671.4544743000006,671.4544743000006,671.7523467999999,673.2684458999993,673.2684458999993,673.2684458999993,673.2684458999993,673.2684458999993,673.2684458999993,673.2526448000008,673.2684458999993,673.2684458999993,673.2684458999993,673.2684458999993,673.2684458999993,673.2684458999993,673.2684458999993,675.066782599999,675.066782599999,675.066782599999,675.066782599999,675.066782599999,675.066782599999,675.066782599999,68,43,67,41,68,60,675.066782599999,676.8681097000008,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
59,43,57,31,0,112,112,112,,,,,,,,,,,None,676.8681097000008,676.8681097000008,676.8681097000008,676.8681097000008,676.8681097000008,676.8681097000008,f,0.4243138000001636,677.3188575999993,677.3188575999993,677.3188575999993,677.3188575999993,677.3188575999993,677.3188575999993,677.6180282999994,679.1677638000001,679.1677638000001,679.1677638000001,679.1677638000001,679.1677638000001,679.1677638000001,679.1677638000001,679.1677638000001,679.1677638000001,679.1677638000001,679.1677638000001,679.1677638000001,679.1677638000001,679.1677638000001,681.0155694999994,681.0155694999994,681.0155694999994,681.0155694999994,681.0155694999994,681.0155694999994,681.0155694999994,59,31,57,43,59,60,681.0155694999994,682.6171175,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
65,35,55,29,0,113,113,113,,,,,,,,,,,None,682.6171175,682.6171175,682.6171175,682.6171175,682.6171175,682.6171175,f,0.4237527000004775,683.0672782999991,683.0672782999991,683.0672782999991,683.0672782999991,683.0672782999991,683.0672782999991,683.3507847000001,684.5335625999996,684.5335625999996,684.5335625999996,684.5335625999996,684.5335625999996,684.5335625999996,684.5168415000007,684.5335625999996,684.5335625999996,684.5335625999996,684.5335625999996,684.5335625999996,684.5335625999996,684.5335625999996,685.9985674,685.9985674,685.9985674,685.9985674,685.9985674,685.9985674,685.9985674,65,29,55,35,65,60,685.9985674,687.8324897000002,,,,,,,,,,,,,,３０７,f,２６,2023-05-18_13h33.43.114,RL,2022.2.5,60.074744997546794,
