arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.523501200135797,15.523501200135797,space,6.774236700031906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
37,55,49,72,0,18,18,18,,,,,,,,,,,None,128.43367539998144,128.43367539998144,128.43367539998144,128.43367539998144,128.43367539998144,128.43367539998144,j,0.4392297000158578,128.9012593999505,128.9012593999505,128.9012593999505,128.9012593999505,128.9012593999505,128.9012593999505,129.20012319996022,130.03337540011853,130.03337540011853,130.03337540011853,130.03337540011853,130.03337540011853,130.03337540011853,130.03337540011853,130.03337540011853,130.03337540011853,130.03337540011853,130.03337540011853,130.03337540011853,130.03337540011853,130.03337540011853,131.16515190014616,131.16515190014616,131.16515190014616,131.16515190014616,131.16515190014616,131.16515190014616,131.16515190014616,49,55,37,72,72,70,131.16515190014616,132.8492191999685,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
41,51,47,61,0,19,19,19,,,,,,,,,,,None,132.8492191999685,132.8492191999685,132.8492191999685,132.8492191999685,132.8492191999685,132.8492191999685,j,0.43460689997300506,133.3205591000151,133.3205591000151,133.3205591000151,133.3205591000151,133.3205591000151,133.3205591000151,133.59977969992906,134.6826494000852,134.69908990012482,134.69908990012482,134.69908990012482,134.69908990012482,134.69908990012482,134.69908990012482,134.69908990012482,134.69908990012482,134.69908990012482,134.69908990012482,134.69908990012482,134.69908990012482,134.69908990012482,136.08106019999832,136.08106019999832,136.08106019999832,136.08106019999832,136.08106019999832,136.08106019999832,136.08106019999832,47,51,41,61,61,70,136.08106019999832,137.8979937999975,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
42,54,51,67,0,20,20,20,,,,,,,,,,,None,137.8979937999975,137.8979937999975,137.8979937999975,137.8979937999975,137.8979937999975,137.8979937999975,j,0.33534549991600215,138.26938880002126,138.26938880002126,138.26938880002126,138.26938880002126,138.26938880002126,138.26938880002126,138.54875429999083,140.03177929995582,140.04873039992526,140.04873039992526,140.04873039992526,140.04873039992526,140.04873039992526,140.04873039992526,140.04873039992526,140.04873039992526,140.04873039992526,140.04873039992526,140.04873039992526,140.04873039992526,140.04873039992526,141.82977670012042,141.82977670012042,141.82977670012042,141.82977670012042,141.82977670012042,141.82977670012042,141.82977670012042,51,54,42,67,67,70,141.82977670012042,143.66437370004132,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
39,61,42,72,0,21,21,21,,,,,,,,,,,None,143.66437370004132,143.66437370004132,143.66437370004132,143.66437370004132,143.66437370004132,143.66437370004132,j,0.33212330006062984,144.014747899957,144.014747899957,144.014747899957,144.014747899957,144.014747899957,144.014747899957,144.29754950013012,145.28089409996755,145.29748630011454,145.29748630011454,145.29748630011454,145.29748630011454,145.29748630011454,145.29748630011454,145.29748630011454,145.29748630011454,145.29748630011454,145.29748630011454,145.29748630011454,145.29748630011454,145.29748630011454,146.57947440003045,146.57947440003045,146.57947440003045,146.57947440003045,146.57947440003045,146.57947440003045,146.57947440003045,42,61,39,72,72,70,146.57947440003045,148.27970429998823,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
34,56,43,69,0,22,22,22,,,,,,,,,,,None,148.27970429998823,148.27970429998823,148.27970429998823,148.27970429998823,148.27970429998823,148.27970429998823,j,0.3606537999585271,148.66360970004462,148.66360970004462,148.66360970004462,148.66360970004462,148.66360970004462,148.66360970004462,148.94703659997322,150.76329970010556,150.7795035999734,150.7795035999734,150.7795035999734,150.7795035999734,150.7795035999734,150.7795035999734,150.7795035999734,150.7795035999734,150.7795035999734,150.7795035999734,150.7795035999734,150.7795035999734,150.7795035999734,152.89414470014162,152.89414470014162,152.89414470014162,152.89414470014162,152.89414470014162,152.89414470014162,152.89414470014162,43,56,34,69,69,70,152.89414470014162,154.56220400007442,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
44,64,49,53,0,23,23,23,,,,,,,,,,,None,154.56220400007442,154.56220400007442,154.56220400007442,154.56220400007442,154.56220400007442,154.56220400007442,j,0.42111409991048276,155.01256719999947,155.01256719999947,155.01256719999947,155.01256719999947,155.01256719999947,155.01256719999947,155.29621950001456,156.66212660004385,156.67880490003154,156.67880490003154,156.67880490003154,156.67880490003154,156.67880490003154,156.67880490003154,156.67880490003154,156.67880490003154,156.67880490003154,156.67880490003154,156.67880490003154,156.67880490003154,156.67880490003154,158.3437745999545,158.3437745999545,158.3437745999545,158.3437745999545,158.3437745999545,158.3437745999545,158.3437745999545,49,64,44,53,53,70,158.3437745999545,160.0279052001424,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
46,52,44,55,0,24,24,24,,,,,,,,,,,None,160.0279052001424,160.0279052001424,160.0279052001424,160.0279052001424,160.0279052001424,160.0279052001424,j,0.29648340004496276,160.34810730000027,160.34810730000027,160.34810730000027,160.34810730000027,160.34810730000027,160.34810730000027,160.628172500059,162.26121590007097,162.29471460008062,162.29471460008062,162.29471460008062,162.29471460008062,162.29471460008062,162.29471460008062,162.29471460008062,162.29471460008062,162.29471460008062,162.29471460008062,162.29471460008062,162.29471460008062,162.29471460008062,164.22559350007214,164.22559350007214,164.22559350007214,164.22559350007214,164.22559350007214,164.22559350007214,164.22559350007214,44,52,46,55,55,70,164.22559350007214,165.77695820014924,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
39,41,42,58,0,25,25,25,,,,,,,,,,,None,165.77695820014924,165.77695820014924,165.77695820014924,165.77695820014924,165.77695820014924,165.77695820014924,i,0.4187600000295788,166.23217059997842,166.23217059997842,166.23217059997842,166.23217059997842,166.23217059997842,166.23217059997842,166.51047340012155,167.97689560009167,168.01050320011564,168.01050320011564,168.01050320011564,168.01050320011564,168.01050320011564,168.01050320011564,168.01050320011564,168.01050320011564,168.01050320011564,168.01050320011564,168.01050320011564,168.01050320011564,168.01050320011564,169.77484950004146,169.77484950004146,169.77484950004146,169.77484950004146,169.77484950004146,169.77484950004146,169.77484950004146,42,41,39,58,39,70,169.77484950004146,171.29304650006816,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
49,45,49,59,0,26,26,26,,,,,,,,,,,None,171.29304650006816,171.29304650006816,171.29304650006816,171.29304650006816,171.29304650006816,171.29304650006816,f,0.3453184000682086,171.6598938999232,171.6598938999232,171.6598938999232,171.6598938999232,171.6598938999232,171.6598938999232,171.9428302999586,173.24269270012155,173.25920050009154,173.25920050009154,173.25920050009154,173.25920050009154,173.25920050009154,173.25920050009154,173.25920050009154,173.25920050009154,173.25920050009154,173.25920050009154,173.25920050009154,173.25920050009154,173.25920050009154,174.85732940002345,174.85732940002345,174.85732940002345,174.85732940002345,174.85732940002345,174.85732940002345,174.85732940002345,49,45,49,59,49,70,174.85732940002345,176.79127510008402,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
54,46,53,57,0,27,27,27,,,,,,,,,,,None,176.79127510008402,176.79127510008402,176.79127510008402,176.79127510008402,176.79127510008402,176.79127510008402,r,0.33212550007738173,177.14227379998192,177.14227379998192,177.14227379998192,177.14227379998192,177.14227379998192,177.14227379998192,177.42531200009398,178.69176890002564,178.70871710008942,178.70871710008942,178.70871710008942,178.70871710008942,178.70871710008942,178.70871710008942,178.70871710008942,178.70871710008942,178.70871710008942,178.70871710008942,178.70871710008942,178.70871710008942,178.70871710008942,180.27340629999526,180.27340629999526,180.27340629999526,180.27340629999526,180.27340629999526,180.27340629999526,180.27340629999526,53,46,54,57,46,70,180.27340629999526,182.17442820011638,,,,,,,,,,,,,,３０２,f,２２,2023-05-18_09h44.41.108,RL,2022.2.5,60.10652073347257,
