arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,40.09659939998528,40.09659939998528,space,17.232418400002643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
49,27,52,77,0,55,55,55,,,,,,,,None,363.9551355000003,363.9551355000003,363.9551355000003,363.9551355000003,363.9551355000003,363.9551355000003,r,0.3927561999880709,364.3724561999843,364.3724561999843,364.3724561999843,364.3724561999843,364.3724561999843,364.3724561999843,364.65565089997835,366.4386152999941,366.45496549998643,366.45496549998643,366.45496549998643,366.45496549998643,366.45496549998643,366.45496549998643,366.45496549998643,366.45496549998643,366.45496549998643,366.45496549998643,366.45496549998643,366.45496549998643,366.45496549998643,368.5366323000053,368.5366323000053,368.5366323000053,368.5366323000053,368.5366323000053,368.5366323000053,368.5366323000053,49,77,52,27,77,60,368.5366323000053,370.254365700006,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
50,35,49,75,0,56,56,56,,,,,,,,None,370.254365700006,370.254365700006,370.254365700006,370.254365700006,370.254365700006,370.254365700006,r,0.2862738000112586,370.57250379998004,370.57250379998004,370.57250379998004,370.57250379998004,370.57250379998004,370.57250379998004,370.8547496999963,372.60404279999784,372.62093579999055,372.62093579999055,372.62093579999055,372.62093579999055,372.62093579999055,372.62093579999055,372.62093579999055,372.62093579999055,372.62093579999055,372.62093579999055,372.62093579999055,372.62093579999055,372.62093579999055,374.6688344999857,374.6688344999857,374.6688344999857,374.6688344999857,374.6688344999857,374.6688344999857,374.6688344999857,50,75,49,35,75,60,374.6688344999857,376.6529326000018,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
53,38,58,69,0,57,57,57,,,,,,,,None,376.6529326000018,376.6529326000018,376.6529326000018,376.6529326000018,376.6529326000018,376.6529326000018,j,0.4076878000050783,377.08677460000035,377.08677460000035,377.08677460000035,377.08677460000035,377.08677460000035,377.08677460000035,377.37031229998684,379.2693374999799,379.3186630999844,379.3186630999844,379.3186630999844,379.3186630999844,379.3186630999844,379.3186630999844,379.3186630999844,379.3186630999844,379.3186630999844,379.3186630999844,379.3186630999844,379.3186630999844,379.3186630999844,381.5172277999809,381.5172277999809,381.5172277999809,381.5172277999809,381.5172277999809,381.5172277999809,381.5172277999809,53,69,58,38,38,60,381.5172277999809,383.1017828999902,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
52,44,55,77,0,58,58,58,,,,,,,,None,383.1017828999902,383.1017828999902,383.1017828999902,383.1017828999902,383.1017828999902,383.1017828999902,r,0.3674812999961432,383.50800929998513,383.50800929998513,383.50800929998513,383.50800929998513,383.50800929998513,383.50800929998513,383.78572250000434,385.4689145000011,385.5019639999955,385.5019639999955,385.5019639999955,385.5019639999955,385.5019639999955,385.5019639999955,385.5019639999955,385.5019639999955,385.5019639999955,385.5019639999955,385.5019639999955,385.5019639999955,385.5019639999955,387.48321710000164,387.48321710000164,387.48321710000164,387.48321710000164,387.48321710000164,387.48321710000164,387.48321710000164,52,77,55,44,77,60,387.48321710000164,389.33420159999514,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
53,41,51,66,0,59,59,59,,,,,,,,None,389.33420159999514,389.33420159999514,389.33420159999514,389.33420159999514,389.33420159999514,389.33420159999514,r,0.5344041000062134,389.9077917999821,389.9077917999821,389.9077917999821,389.9077917999821,389.9077917999821,389.9077917999821,390.2011821999913,391.38415490000625,391.4006614999962,391.4006614999962,391.4006614999962,391.4006614999962,391.4006614999962,391.4006614999962,391.4006614999962,391.4006614999962,391.4006614999962,391.4006614999962,391.4006614999962,391.4006614999962,391.4006614999962,392.8824388999783,392.8824388999783,392.8824388999783,392.8824388999783,392.8824388999783,392.8824388999783,392.8824388999783,53,66,51,41,66,60,392.8824388999783,394.5998062999861,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
63,34,54,61,0,60,60,60,,,,,,,,None,394.5998062999861,394.5998062999861,394.5998062999861,394.5998062999861,394.5998062999861,394.5998062999861,r,0.5655149999947753,395.1854924999934,395.1854924999934,395.1854924999934,395.1854924999934,395.1854924999934,395.1854924999934,395.48334750000504,396.4166506000038,396.4166506000038,396.4166506000038,396.4166506000038,396.4166506000038,396.4166506000038,396.4166506000038,396.4166506000038,396.4166506000038,396.4166506000038,396.4166506000038,396.4166506000038,396.4166506000038,396.4166506000038,397.64840839998215,397.64840839998215,397.64840839998215,397.64840839998215,397.64840839998215,397.64840839998215,397.64840839998215,63,61,54,34,61,60,397.64840839998215,399.31557589999284,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
46,36,62,75,0,61,61,61,,,,,,,,None,399.31557589999284,399.31557589999284,399.31557589999284,399.31557589999284,399.31557589999284,399.31557589999284,f,0.3375401000084821,399.6843250999809,399.6843250999809,399.6843250999809,399.6843250999809,399.6843250999809,399.6843250999809,399.9663334999932,401.94909779998125,401.9656460999977,401.9656460999977,401.9656460999977,401.9656460999977,401.9656460999977,401.9656460999977,401.9656460999977,401.9656460999977,401.9656460999977,401.9656460999977,401.9656460999977,401.9656460999977,401.9656460999977,404.24647209999966,404.24647209999966,404.24647209999966,404.24647209999966,404.24647209999966,404.24647209999966,404.24647209999966,46,75,62,36,46,60,404.24647209999966,406.0479339000012,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
52,40,69,83,0,62,62,62,,,,,,,,None,406.0479339000012,406.0479339000012,406.0479339000012,406.0479339000012,406.0479339000012,406.0479339000012,r,0.32716039998922497,406.39966809999896,406.39966809999896,406.39966809999896,406.39966809999896,406.39966809999896,406.39966809999896,406.6986950999999,408.6144097999786,408.6144097999786,408.6144097999786,408.6144097999786,408.6144097999786,408.6144097999786,408.6144097999786,408.6144097999786,408.6144097999786,408.6144097999786,408.6144097999786,408.6144097999786,408.6144097999786,408.6144097999786,410.8292214999965,410.8292214999965,410.8292214999965,410.8292214999965,410.8292214999965,410.8292214999965,410.8292214999965,52,83,69,40,83,60,410.8292214999965,412.4135005999997,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
51,35,66,77,0,63,63,63,,,,,,,,None,412.4135005999997,412.4135005999997,412.4135005999997,412.4135005999997,412.4135005999997,412.4135005999997,i,0.5541004999831785,412.99712459999137,412.99712459999137,412.99712459999137,412.99712459999137,412.99712459999137,412.99712459999137,413.28042510000523,414.563178899989,414.5801963999984,414.5801963999984,414.5801963999984,414.5801963999984,414.5801963999984,414.5801963999984,414.5801963999984,414.5801963999984,414.5801963999984,414.5801963999984,414.5801963999984,414.5801963999984,414.5801963999984,416.16185959998984,416.16185959998984,416.16185959998984,416.16185959998984,416.16185959998984,416.16185959998984,416.16185959998984,51,77,66,35,66,60,416.16185959998984,418.1291380999901,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
47,42,65,73,0,64,64,64,,,,,,,,None,418.1291380999901,418.1291380999901,418.1291380999901,418.1291380999901,418.1291380999901,418.1291380999901,r,0.43815770000219345,418.59852440000395,418.59852440000395,418.59852440000395,418.59852440000395,418.59852440000395,418.59852440000395,418.89599160000216,419.9961118999927,419.9961118999927,419.9961118999927,419.9961118999927,419.9961118999927,419.9961118999927,419.9961118999927,419.9961118999927,419.9961118999927,419.9961118999927,419.9961118999927,419.9961118999927,419.9961118999927,419.9961118999927,421.3939485999872,421.3939485999872,421.3939485999872,421.3939485999872,421.3939485999872,421.3939485999872,421.3939485999872,47,73,65,42,73,60,421.3939485999872,423.3611779999919,,,,,,,,,,,,,,,,,,,,３４７,f,１９,2023-05-21_18h37.35.231,RL,2022.2.5,59.95045693852534,
