arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,57.85633659999996,57.85633659999996,space,22.815489200000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
40,38,60,48,0,94,94,94,,,,,,,,None,643.1448045999999,643.1448045999999,643.1448045999999,643.1448045999999,643.1448045999999,643.1448045999999,j,0.4151822999999695,643.5788260999999,643.5788260999999,643.5788260999999,643.5788260999999,643.5788260999999,643.5788260999999,643.878521,645.178229,645.178229,645.178229,645.178229,645.178229,645.178229,645.178229,645.178229,645.178229,645.178229,645.178229,645.178229,645.178229,645.178229,646.7763424999999,646.7763424999999,646.7763424999999,646.7763424999999,646.7763424999999,646.7763424999999,646.7763424999999,40,60,38,48,48,60,646.7763424999999,648.5938886,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
38,42,60,48,0,95,95,95,,,,,,,,None,648.5938886,648.5938886,648.5938886,648.5938886,648.5938886,648.5938886,i,0.29414109999993343,648.9112604000001,648.9112604000001,648.9112604000001,648.9112604000001,648.9112604000001,648.9112604000001,649.1941974,650.7941838,650.8107331,650.8107331,650.8107331,650.8107331,650.8107331,650.8107331,650.8107331,650.8107331,650.8107331,650.8107331,650.8107331,650.8107331,650.8107331,652.7090463000001,652.7090463000001,652.7090463000001,652.7090463000001,652.7090463000001,652.7090463000001,652.7090463000001,38,60,42,48,42,60,652.7090463000001,654.6767183999999,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
35,42,61,40,0,96,96,96,,,,,,,,None,654.6767183999999,654.6767183999999,654.6767183999999,654.6767183999999,654.6767183999999,654.6767183999999,r,0.3161413000000266,655.0102421,655.0102421,655.0102421,655.0102421,655.0102421,655.0102421,655.2933538999999,656.9267245,656.9430298999999,656.9430298999999,656.9430298999999,656.9430298999999,656.9430298999999,656.9430298999999,656.9430298999999,656.9430298999999,656.9430298999999,656.9430298999999,656.9430298999999,656.9430298999999,656.9430298999999,658.8743957999999,658.8743957999999,658.8743957999999,658.8743957999999,658.8743957999999,658.8743957999999,658.8743957999999,35,61,42,40,61,60,658.8743957999999,660.741805,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
36,46,52,47,0,97,97,97,,,,,,,,None,660.741805,660.741805,660.741805,660.741805,660.741805,660.741805,r,0.3034377999999833,661.0787942000001,661.0787942000001,661.0787942000001,661.0787942000001,661.0787942000001,661.0787942000001,661.3590039,663.2752906,663.2920508000001,663.2920508000001,663.2920508000001,663.2920508000001,663.2920508000001,663.2920508000001,663.2920508000001,663.2920508000001,663.2920508000001,663.2920508000001,663.2920508000001,663.2920508000001,663.2920508000001,665.5068287,665.5068287,665.5068287,665.5068287,665.5068287,665.5068287,665.5068287,36,52,46,47,52,60,665.5068287,667.2078952999999,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
44,45,69,46,0,98,98,98,,,,,,,,None,667.2078952999999,667.2078952999999,667.2078952999999,667.2078952999999,667.2078952999999,667.2078952999999,r,0.2463941999999406,667.4745965999999,667.4745965999999,667.4745965999999,667.4745965999999,667.4745965999999,667.4745965999999,667.7745294,669.2411433999999,669.2411433999999,669.2411433999999,669.2411433999999,669.2411433999999,669.2411433999999,669.2411433999999,669.2411433999999,669.2411433999999,669.2411433999999,669.2411433999999,669.2411433999999,669.2411433999999,669.2411433999999,671.0055799999999,671.0055799999999,671.0055799999999,671.0055799999999,671.0055799999999,671.0055799999999,671.0055799999999,44,69,45,46,69,60,671.0055799999999,672.5902347,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
37,48,71,45,0,99,99,99,,,,,,,,None,672.5902347,672.5902347,672.5902347,672.5902347,672.5902347,672.5902347,r,0.30611369999996896,672.927112,672.927112,672.927112,672.927112,672.927112,672.927112,673.2071652999999,674.1733289,674.1901468,674.1901468,674.1901468,674.1901468,674.1901468,674.1901468,674.1901468,674.1901468,674.1901468,674.1901468,674.1901468,674.1901468,674.1901468,675.4547971000001,675.4547971000001,675.4547971000001,675.4547971000001,675.4547971000001,675.4547971000001,675.4547971000001,37,71,48,45,71,60,675.4547971000001,677.2389979999999,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
45,51,63,47,0,100,100,100,,,,,,,,None,677.2389979999999,677.2389979999999,677.2389979999999,677.2389979999999,677.2389979999999,677.2389979999999,r,0.9392123999998603,678.2118882000001,678.2118882000001,678.2118882000001,678.2118882000001,678.2118882000001,678.2118882000001,678.4897037,679.6723897,679.7061053000001,679.7061053000001,679.7061053000001,679.7061053000001,679.7061053000001,679.7061053000001,679.7061053000001,679.7061053000001,679.7061053000001,679.7061053000001,679.7061053000001,679.7061053000001,679.7061053000001,681.1869917,681.1869917,681.1869917,681.1869917,681.1869917,681.1869917,681.1869917,45,63,51,47,63,60,681.1869917,682.8381997,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
42,56,58,40,0,101,101,101,,,,,,,,None,682.8381997,682.8381997,682.8381997,682.8381997,682.8381997,682.8381997,f,0.7702500000000327,683.6420202,683.6420202,683.6420202,683.6420202,683.6420202,683.6420202,683.9221335999999,685.5549788,685.5717324000001,685.5717324000001,685.5717324000001,685.5717324000001,685.5717324000001,685.5717324000001,685.5717324000001,685.5717324000001,685.5717324000001,685.5717324000001,685.5717324000001,685.5717324000001,685.5717324000001,687.5031263,687.5031263,687.5031263,687.5031263,687.5031263,687.5031263,687.5031263,42,58,56,40,42,60,687.5031263,689.2374633999999,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
39,43,63,45,0,102,102,102,,,,,,,,None,689.2374633999999,689.2374633999999,689.2374633999999,689.2374633999999,689.2374633999999,689.2374633999999,r,0.273474300000089,689.5419807,689.5419807,689.5419807,689.5419807,689.5419807,689.5419807,689.8211626000001,690.8707668000001,690.8872952,690.8872952,690.8872952,690.8872952,690.8872952,690.8872952,690.8872952,690.8872952,690.8872952,690.8872952,690.8872952,690.8872952,690.8872952,692.2351546000001,692.2351546000001,692.2351546000001,692.2351546000001,692.2351546000001,692.2351546000001,692.2351546000001,39,63,43,45,63,60,692.2351546000001,693.8533011000001,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
39,42,58,46,0,103,103,103,,,,,,,,None,693.8533011000001,693.8533011000001,693.8533011000001,693.8533011000001,693.8533011000001,693.8533011000001,r,0.30559139999991203,694.1877939,694.1877939,694.1877939,694.1877939,694.1877939,694.1877939,694.4699629,695.7529590999999,695.7863607999999,695.7863607999999,695.7863607999999,695.7863607999999,695.7863607999999,695.7863607999999,695.7863607999999,695.7863607999999,695.7863607999999,695.7863607999999,695.7863607999999,695.7863607999999,695.7863607999999,697.3680642999999,697.3680642999999,697.3680642999999,697.3680642999999,697.3680642999999,697.3680642999999,697.3680642999999,39,58,42,46,58,60,697.3680642999999,698.9523966999999,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
33,46,52,35,0,104,104,104,,,,,,,,None,698.9523966999999,698.9523966999999,698.9523966999999,698.9523966999999,698.9523966999999,698.9523966999999,r,0.2630778000000191,699.2399936999999,699.2399936999999,699.2399936999999,699.2399936999999,699.2399936999999,699.2399936999999,699.5354271,700.8691725,700.8691725,700.8691725,700.8691725,700.8691725,700.8691725,700.8691725,700.8691725,700.8691725,700.8691725,700.8691725,700.8691725,700.8691725,700.8691725,702.5004657999999,702.5004657999999,702.5004657999999,702.5004657999999,702.5004657999999,702.5004657999999,702.5004657999999,33,52,46,35,52,60,702.5004657999999,704.2009695999999,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
38,32,47,47,0,105,105,105,,,,,,,,None,704.2009695999999,704.2009695999999,704.2009695999999,704.2009695999999,704.2009695999999,704.2009695999999,i,0.506937900000139,704.7357713,704.7357713,704.7357713,704.7357713,704.7357713,704.7357713,705.0346631000001,706.1848486,706.1848486,706.1848486,706.1848486,706.1848486,706.1848486,706.1848486,706.1848486,706.1848486,706.1848486,706.1848486,706.1848486,706.1848486,706.1848486,707.6326802,707.6326802,707.6326802,707.6326802,707.6326802,707.6326802,707.6326802,38,47,32,47,32,60,707.6326802,709.4340825999999,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
39,41,56,45,0,106,106,106,,,,,,,,None,709.4340825999999,709.4340825999999,709.4340825999999,709.4340825999999,709.4340825999999,709.4340825999999,r,0.562386399999923,710.0220877,710.0220877,710.0220877,710.0220877,710.0220877,710.0220877,710.3009526,711.2168971,711.2334164,711.2334164,711.2334164,711.2334164,711.2334164,711.2334164,711.2334164,711.2334164,711.2334164,711.2334164,711.2334164,711.2334164,711.2334164,712.4482500999999,712.4482500999999,712.4482500999999,712.4482500999999,712.4482500999999,712.4482500999999,712.4482500999999,39,56,41,45,56,60,712.4482500999999,714.2498993,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
48,36,48,42,0,107,107,107,,,,,,,,None,714.2498993,714.2498993,714.2498993,714.2498993,714.2498993,714.2498993,r,0.6254311999998663,714.8999090000001,714.8999090000001,714.8999090000001,714.8999090000001,714.8999090000001,714.8999090000001,715.1831113,716.2498445,716.2662337999999,716.2662337999999,716.2662337999999,716.2662337999999,716.2662337999999,716.2662337999999,716.2662337999999,716.2662337999999,716.2662337999999,716.2662337999999,716.2662337999999,716.2662337999999,716.2662337999999,717.6311695999999,717.6311695999999,717.6311695999999,717.6311695999999,717.6311695999999,717.6311695999999,717.6311695999999,48,48,36,42,48,60,717.6311695999999,719.5816596999999,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
38,40,51,42,0,108,108,108,,,,,,,,None,719.5816596999999,719.5816596999999,719.5816596999999,719.5816596999999,719.5816596999999,719.5816596999999,r,0.3845200000000659,720.0027690000001,720.0027690000001,720.0027690000001,720.0027690000001,720.0027690000001,720.0027690000001,720.2824916000001,721.6486345,721.6655162000001,721.6655162000001,721.6655162000001,721.6655162000001,721.6655162000001,721.6655162000001,721.6655162000001,721.6655162000001,721.6655162000001,721.6655162000001,721.6655162000001,721.6655162000001,721.6655162000001,723.32991,723.32991,723.32991,723.32991,723.32991,723.32991,723.32991,38,51,40,42,51,60,723.32991,725.2812098999999,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
33,39,68,40,0,109,109,109,,,,,,,,None,725.2812098999999,725.2812098999999,725.2812098999999,725.2812098999999,725.2812098999999,725.2812098999999,r,0.3775545000000875,725.6820703,725.6820703,725.6820703,725.6820703,725.6820703,725.6820703,725.9647555,727.3477385,727.3643449,727.3643449,727.3643449,727.3643449,727.3643449,727.3643449,727.3643449,727.3643449,727.3643449,727.3643449,727.3643449,727.3643449,727.3643449,729.0458015,729.0458015,729.0458015,729.0458015,729.0458015,729.0458015,729.0458015,33,68,39,40,68,60,729.0458015,730.7132234,,,,,,,,,,,,３１５,f,１９,2023-05-18_18h51.21.121,RL,2022.2.5,59.96120510030942,
