arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,27.192303000018,27.192303000018,space,2.112712500151247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
39,49,53,64,0,39,39,39,,,,,,,,,,,None,251.12294729985297,251.12294729985297,251.12294729985297,251.12294729985297,251.12294729985297,251.12294729985297,f,0.455791600048542,251.60692989989184,251.60692989989184,251.60692989989184,251.60692989989184,251.60692989989184,251.60692989989184,251.89007820002735,253.22292179986835,253.25659239990637,253.25659239990637,253.25659239990637,253.25659239990637,253.25659239990637,253.25659239990637,253.25659239990637,253.25659239990637,253.25659239990637,253.25659239990637,253.25659239990637,253.25659239990637,253.25659239990637,254.90435389988124,254.90435389988124,254.90435389988124,254.90435389988124,254.90435389988124,254.90435389988124,254.90435389988124,39,64,49,53,39,70,254.90435389988124,256.6724630999379,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
47,52,57,64,0,40,40,40,,,,,,,,,,,None,256.6724630999379,256.6724630999379,256.6724630999379,256.6724630999379,256.6724630999379,256.6724630999379,f,0.24494099989533424,256.93924420000985,256.93924420000985,256.93924420000985,256.93924420000985,256.93924420000985,256.93924420000985,257.22230089991353,258.05546969990246,258.0720653999597,258.0720653999597,258.0720653999597,258.0720653999597,258.0720653999597,258.0720653999597,258.0720653999597,258.0720653999597,258.0720653999597,258.0720653999597,258.0720653999597,258.0720653999597,258.0720653999597,259.20356910000555,259.20356910000555,259.20356910000555,259.20356910000555,259.20356910000555,259.20356910000555,259.20356910000555,47,64,52,57,47,70,259.20356910000555,260.78814550000243,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
49,51,50,64,0,41,41,41,,,,,,,,,,,None,260.78814550000243,260.78814550000243,260.78814550000243,260.78814550000243,260.78814550000243,260.78814550000243,i,0.23560269991867244,261.0552464998327,261.0552464998327,261.0552464998327,261.0552464998327,261.0552464998327,261.0552464998327,261.33806589990854,263.02127130003646,263.0384096999187,263.0384096999187,263.0384096999187,263.0384096999187,263.0384096999187,263.0384096999187,263.0384096999187,263.0384096999187,263.0384096999187,263.0384096999187,263.0384096999187,263.0384096999187,263.0384096999187,265.0193074999843,265.0193074999843,265.0193074999843,265.0193074999843,265.0193074999843,265.0193074999843,265.0193074999843,49,64,51,50,51,70,265.0193074999843,266.58735129982233,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
44,53,57,68,0,42,42,42,,,,,,,,,,,None,266.58735129982233,266.58735129982233,266.58735129982233,266.58735129982233,266.58735129982233,266.58735129982233,r,0.9889460999984294,267.60555969993584,267.60555969993584,267.60555969993584,267.60555969993584,267.60555969993584,267.60555969993584,267.9038931999821,268.8701985999942,268.8701985999942,268.8701985999942,268.8701985999942,268.8701985999942,268.8701985999942,268.8701985999942,268.8701985999942,268.8701985999942,268.8701985999942,268.8701985999942,268.8701985999942,268.8701985999942,268.8701985999942,270.1351119999308,270.1351119999308,270.1351119999308,270.1351119999308,270.1351119999308,270.1351119999308,270.1351119999308,44,68,53,57,68,70,270.1351119999308,272.10282909986563,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
43,51,50,61,0,43,43,43,,,,,,,,,,,None,272.10282909986563,272.10282909986563,272.10282909986563,272.10282909986563,272.10282909986563,272.10282909986563,r,0.27839790005236864,272.40412490000017,272.40412490000017,272.40412490000017,272.40412490000017,272.40412490000017,272.40412490000017,272.6862496000249,274.28621069993824,274.3028965999838,274.3028965999838,274.3028965999838,274.3028965999838,274.3028965999838,274.3028965999838,274.3028965999838,274.3028965999838,274.3028965999838,274.3028965999838,274.3028965999838,274.3028965999838,274.3028965999838,276.2009166998323,276.2009166998323,276.2009166998323,276.2009166998323,276.2009166998323,276.2009166998323,276.2009166998323,43,61,51,50,61,70,276.2009166998323,278.11851609987207,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
59,50,52,65,0,44,44,44,,,,,,,,,,,None,278.11851609987207,278.11851609987207,278.11851609987207,278.11851609987207,278.11851609987207,278.11851609987207,r,0.31085500004701316,278.45234249997884,278.45234249997884,278.45234249997884,278.45234249997884,278.45234249997884,278.45234249997884,278.7354084998369,279.7189700999297,279.7352358000353,279.7352358000353,279.7352358000353,279.7352358000353,279.7352358000353,279.7352358000353,279.7352358000353,279.7352358000353,279.7352358000353,279.7352358000353,279.7352358000353,279.7352358000353,279.7352358000353,281.0331579998601,281.0331579998601,281.0331579998601,281.0331579998601,281.0331579998601,281.0331579998601,281.0331579998601,59,65,50,52,65,70,281.0331579998601,282.6840551998466,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
51,50,66,59,0,45,45,45,,,,,,,,,,,None,282.6840551998466,282.6840551998466,282.6840551998466,282.6840551998466,282.6840551998466,282.6840551998466,j,0.5075226998887956,283.21941989986226,283.21941989986226,283.21941989986226,283.21941989986226,283.21941989986226,283.21941989986226,283.50117790000513,284.817481999984,284.8343768999912,284.8343768999912,284.8343768999912,284.8343768999912,284.8343768999912,284.8343768999912,284.8343768999912,284.8343768999912,284.8343768999912,284.8343768999912,284.8343768999912,284.8343768999912,284.8343768999912,286.4490067998413,286.4490067998413,286.4490067998413,286.4490067998413,286.4490067998413,286.4490067998413,286.4490067998413,51,59,50,66,66,70,286.4490067998413,288.0833354999777,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
58,51,61,48,0,46,46,46,,,,,,,,,,,None,288.0833354999777,288.0833354999777,288.0833354999777,288.0833354999777,288.0833354999777,288.0833354999777,r,0.2345660999417305,288.3507284000516,288.3507284000516,288.3507284000516,288.3507284000516,288.3507284000516,288.3507284000516,288.6334738000296,289.85033519985154,289.8665934999008,289.8665934999008,289.8665934999008,289.8665934999008,289.8665934999008,289.8665934999008,289.8665934999008,289.8665934999008,289.8665934999008,289.8665934999008,289.8665934999008,289.8665934999008,289.8665934999008,291.38163079996593,291.38163079996593,291.38163079996593,291.38163079996593,291.38163079996593,291.38163079996593,291.38163079996593,58,48,51,61,48,70,291.38163079996593,292.9657868000213,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
54,56,65,47,0,47,47,47,,,,,,,,,,,None,292.9657868000213,292.9657868000213,292.9657868000213,292.9657868000213,292.9657868000213,292.9657868000213,r,0.33622180018574,293.3329654999543,293.3329654999543,293.3329654999543,293.3329654999543,293.3329654999543,293.3329654999543,293.61677289986983,295.0993665999267,295.1156305000186,295.1156305000186,295.1156305000186,295.1156305000186,295.1156305000186,295.1156305000186,295.1156305000186,295.1156305000186,295.1156305000186,295.1156305000186,295.1156305000186,295.1156305000186,295.1156305000186,296.89679469983093,296.89679469983093,296.89679469983093,296.89679469983093,296.89679469983093,296.89679469983093,296.89679469983093,54,47,56,65,47,70,296.89679469983093,298.61474679992534,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
58,52,60,51,0,48,48,48,,,,,,,,,,,None,298.61474679992534,298.61474679992534,298.61474679992534,298.61474679992534,298.61474679992534,298.61474679992534,j,0.24305809987708926,298.8829648999963,298.8829648999963,298.8829648999963,298.8829648999963,298.8829648999963,298.8829648999963,299.1651550999377,300.7148449998349,300.7315372999292,300.7315372999292,300.7315372999292,300.7315372999292,300.7315372999292,300.7315372999292,300.7315372999292,300.7315372999292,300.7315372999292,300.7315372999292,300.7315372999292,300.7315372999292,300.7315372999292,302.5792471000459,302.5792471000459,302.5792471000459,302.5792471000459,302.5792471000459,302.5792471000459,302.5792471000459,58,51,52,60,60,70,302.5792471000459,304.2137176999822,,,,,,,,,,,002,f,19,2023-05-13_12h47.12.006,RL,2022.2.5,60.17089740924251,
