arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,red.stopped,green.stopped,yellow.stopped,blue.stopped,choose_bandit.stopped,Fixation.stopped,bigx.started,bigx.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.823410799959674,20.823410799959674,space,3.3415036001242697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
50,43,59,62,0,86,86,86,,,,,,,,None,544.1543195999693,544.1543195999693,544.1543195999693,544.1543195999693,544.1543195999693,544.1543195999693,f,0.2685109998565167,544.4581716000102,544.4581716000102,544.4581716000102,544.4581716000102,544.4581716000102,544.4581716000102,544.7539142000023,545.7371391998604,545.7371391998604,545.7371391998604,545.7371391998604,545.7371391998604,545.7371391998604,545.7371391998604,545.7371391998604,545.7371391998604,545.7371391998604,545.7371391998604,545.7371391998604,545.7371391998604,545.7371391998604,547.0189713998698,547.0189713998698,547.0189713998698,547.0189713998698,547.0189713998698,547.0189713998698,547.0189713998698,62,59,50,43,62,60,547.0189713998698,548.6868443998974,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
51,39,58,63,0,87,87,87,,,,,,,,None,548.6868443998974,548.6868443998974,548.6868443998974,548.6868443998974,548.6868443998974,548.6868443998974,f,0.27898780000396073,548.9869480999187,548.9869480999187,548.9869480999187,548.9869480999187,548.9869480999187,548.9869480999187,549.2702647000551,550.5200320000295,550.5368149999995,550.5368149999995,550.5368149999995,550.5368149999995,550.5368149999995,550.5368149999995,550.5368149999995,550.5368149999995,550.5368149999995,550.5368149999995,550.5368149999995,550.5368149999995,550.5368149999995,552.0842744000256,552.0842744000256,552.0842744000256,552.0842744000256,552.0842744000256,552.0842744000256,552.0842744000256,63,58,51,39,63,60,552.0842744000256,553.8025839000475,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
41,37,63,57,0,88,88,88,,,,,,,,None,553.8025839000475,553.8025839000475,553.8025839000475,553.8025839000475,553.8025839000475,553.8025839000475,r,0.2983184000477195,554.1194869999308,554.1194869999308,554.1194869999308,554.1194869999308,554.1194869999308,554.1194869999308,554.402716799872,555.3692878000438,555.3855580000672,555.3855580000672,555.3855580000672,555.3855580000672,555.3855580000672,555.3855580000672,555.3855580000672,555.3855580000672,555.3855580000672,555.3855580000672,555.3855580000672,555.3855580000672,555.3855580000672,556.6501579000615,556.6501579000615,556.6501579000615,556.6501579000615,556.6501579000615,556.6501579000615,556.6501579000615,57,63,41,37,63,60,556.6501579000615,558.5347196999937,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
45,27,61,65,0,89,89,89,,,,,,,,None,558.5347196999937,558.5347196999937,558.5347196999937,558.5347196999937,558.5347196999937,558.5347196999937,i,0.3450094999279827,558.9016863000579,558.9016863000579,558.9016863000579,558.9016863000579,558.9016863000579,558.9016863000579,559.2017055999022,560.068037299905,560.068037299905,560.068037299905,560.068037299905,560.068037299905,560.068037299905,560.068037299905,560.068037299905,560.068037299905,560.068037299905,560.068037299905,560.068037299905,560.068037299905,560.068037299905,561.2326539000496,561.2326539000496,561.2326539000496,561.2326539000496,561.2326539000496,561.2326539000496,561.2326539000496,65,61,45,27,45,60,561.2326539000496,562.9341775998473,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
41,37,54,64,0,90,90,90,,,,,,,,None,562.9341775998473,562.9341775998473,562.9341775998473,562.9341775998473,562.9341775998473,562.9341775998473,j,0.2725845000240952,563.2344110000413,563.2344110000413,563.2344110000413,563.2344110000413,563.2344110000413,563.2344110000413,563.5340129998513,564.6839202998672,564.6839202998672,564.6839202998672,564.6839202998672,564.6839202998672,564.6839202998672,564.6839202998672,564.6839202998672,564.6839202998672,564.6839202998672,564.6839202998672,564.6839202998672,564.6839202998672,564.6839202998672,566.1321612999309,566.1321612999309,566.1321612999309,566.1321612999309,566.1321612999309,566.1321612999309,566.1321612999309,64,54,41,37,37,60,566.1321612999309,567.6998029998504,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
34,29,56,65,0,91,91,91,,,,,,,,None,567.6998029998504,567.6998029998504,567.6998029998504,567.6998029998504,567.6998029998504,567.6998029998504,r,0.403514500008896,568.1336618000641,568.1336618000641,568.1336618000641,568.1336618000641,568.1336618000641,568.1336618000641,568.4168886998668,569.4661890999414,569.4830755998846,569.4830755998846,569.4830755998846,569.4830755998846,569.4830755998846,569.4830755998846,569.4830755998846,569.4830755998846,569.4830755998846,569.4830755998846,569.4830755998846,569.4830755998846,569.4830755998846,570.8310852998402,570.8310852998402,570.8310852998402,570.8310852998402,570.8310852998402,570.8310852998402,570.8310852998402,65,56,34,29,56,60,570.8310852998402,572.7487496000249,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
36,36,54,62,0,92,92,92,,,,,,,,None,572.7487496000249,572.7487496000249,572.7487496000249,572.7487496000249,572.7487496000249,572.7487496000249,f,0.6008719000965357,573.3879318998661,573.3879318998661,573.3879318998661,573.3879318998661,573.3879318998661,573.3879318998661,573.6658133999445,574.8820646998938,574.8988607998472,574.8988607998472,574.8988607998472,574.8988607998472,574.8988607998472,574.8988607998472,574.8988607998472,574.8988607998472,574.8988607998472,574.8988607998472,574.8988607998472,574.8988607998472,574.8988607998472,576.4141287000384,576.4141287000384,576.4141287000384,576.4141287000384,576.4141287000384,576.4141287000384,576.4141287000384,62,54,36,36,62,60,576.4141287000384,578.0310736999381,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
45,39,53,64,0,93,93,93,,,,,,,,None,578.0310736999381,578.0310736999381,578.0310736999381,578.0310736999381,578.0310736999381,578.0310736999381,f,0.2859861000906676,578.3528358999174,578.3528358999174,578.3528358999174,578.3528358999174,578.3528358999174,578.3528358999174,578.6316074999049,580.3142684998456,580.3310330999084,580.3310330999084,580.3310330999084,580.3310330999084,580.3310330999084,580.3310330999084,580.3310330999084,580.3310330999084,580.3310330999084,580.3310330999084,580.3310330999084,580.3310330999084,580.3310330999084,582.312625200022,582.312625200022,582.312625200022,582.312625200022,582.312625200022,582.312625200022,582.312625200022,64,53,45,39,64,60,582.312625200022,583.8302328998689,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
48,34,49,55,0,94,94,94,,,,,,,,None,583.8302328998689,583.8302328998689,583.8302328998689,583.8302328998689,583.8302328998689,583.8302328998689,f,0.2765106000006199,584.1306533999741,584.1306533999741,584.1306533999741,584.1306533999741,584.1306533999741,584.1306533999741,584.4140486998949,585.3804059000686,585.397106199991,585.397106199991,585.397106199991,585.397106199991,585.397106199991,585.397106199991,585.397106199991,585.397106199991,585.397106199991,585.397106199991,585.397106199991,585.397106199991,585.397106199991,586.661647999892,586.661647999892,586.661647999892,586.661647999892,586.661647999892,586.661647999892,586.661647999892,55,49,48,34,55,60,586.661647999892,588.6465696999803,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
56,35,49,59,0,95,95,95,,,,,,,,None,588.6465696999803,588.6465696999803,588.6465696999803,588.6465696999803,588.6465696999803,588.6465696999803,f,0.2577557999175042,588.9302729999181,588.9302729999181,588.9302729999181,588.9302729999181,588.9302729999181,588.9302729999181,589.230140700005,590.4462258999702,590.4462258999702,590.4462258999702,590.4462258999702,590.4462258999702,590.4462258999702,590.4462258999702,590.4462258999702,590.4462258999702,590.4462258999702,590.4462258999702,590.4462258999702,590.4462258999702,590.4462258999702,591.9609085998964,591.9609085998964,591.9609085998964,591.9609085998964,591.9609085998964,591.9609085998964,591.9609085998964,59,49,56,35,59,60,591.9609085998964,593.7287953998893,,,,,,,,,,,,,,,,,,,,３０３,f,２５,2023-05-18_10h13.42.050,RL,2022.2.5,59.82099166643925,
