arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,image_2.stopped,text_2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.59395450001466,11.59395450001466,space,7.164578600000823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
35,71,49,57,0,11,11,11,,,,,,,,,,,None,81.93505430000369,81.93505430000369,81.93505430000369,81.93505430000369,81.93505430000369,81.93505430000369,i,0.2146812000137288,82.16976079999586,82.16976079999586,82.16976079999586,82.16976079999586,82.16976079999586,82.16976079999586,82.452054399997,83.48502240001108,83.50152150000213,83.50152150000213,83.50152150000213,83.50152150000213,83.50152150000213,83.50152150000213,83.50152150000213,83.50152150000213,83.50152150000213,83.50152150000213,83.50152150000213,83.50152150000213,83.50152150000213,84.83338920000824,84.83338920000824,84.83338920000824,84.83338920000824,84.83338920000824,84.83338920000824,84.83338920000824,49,57,71,35,71,60,84.83338920000824,86.48442860000068,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
30,69,53,59,0,12,12,12,,,,,,,,,,,None,86.48442860000068,86.48442860000068,86.48442860000068,86.48442860000068,86.48442860000068,86.48442860000068,i,0.3953837999724783,86.90252550001605,86.90252550001605,86.90252550001605,86.90252550001605,86.90252550001605,86.90252550001605,87.1842856000003,88.03399490000447,88.0505947000056,88.0505947000056,88.0505947000056,88.0505947000056,88.0505947000056,88.0505947000056,88.0505947000056,88.0505947000056,88.0505947000056,88.0505947000056,88.0505947000056,88.0505947000056,88.0505947000056,89.19893010001397,89.19893010001397,89.19893010001397,89.19893010001397,89.19893010001397,89.19893010001397,89.19893010001397,53,59,69,30,69,60,89.19893010001397,91.01666779999505,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
17,60,50,50,0,13,13,13,,,,,,,,,,,None,91.01666779999505,91.01666779999505,91.01666779999505,91.01666779999505,91.01666779999505,91.01666779999505,i,0.35144699999364093,91.4058394000167,91.4058394000167,91.4058394000167,91.4058394000167,91.4058394000167,91.4058394000167,91.70024780000676,93.38300180001534,93.38300180001534,93.38300180001534,93.38300180001534,93.38300180001534,93.38300180001534,93.38300180001534,93.38300180001534,93.38300180001534,93.38300180001534,93.38300180001534,93.38300180001534,93.38300180001534,93.38300180001534,95.36470289999852,95.36470289999852,95.36470289999852,95.36470289999852,95.36470289999852,95.36470289999852,95.36470289999852,50,50,60,17,60,60,95.36470289999852,96.89931090001483,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
26,57,54,55,0,14,14,14,,,,,,,,,,,None,96.89931090001483,96.89931090001483,96.89931090001483,96.89931090001483,96.89931090001483,96.89931090001483,f,0.21193140000104904,97.13423150000744,97.13423150000744,97.13423150000744,97.13423150000744,97.13423150000744,97.13423150000744,97.43245310001657,99.04918960001669,99.04918960001669,99.04918960001669,99.04918960001669,99.04918960001669,99.04918960001669,99.04918960001669,99.04918960001669,99.04918960001669,99.04918960001669,99.04918960001669,99.04918960001669,99.04918960001669,99.04918960001669,100.96404360001907,100.96404360001907,100.96404360001907,100.96404360001907,100.96404360001907,100.96404360001907,100.96404360001907,54,55,57,26,54,60,100.96404360001907,102.8142891000025,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
24,60,50,56,0,15,15,15,,,,,,,,,,,None,102.8142891000025,102.8142891000025,102.8142891000025,102.8142891000025,102.8142891000025,102.8142891000025,r,0.03848940000170842,102.88715270001558,102.88715270001558,102.88715270001558,102.88715270001558,102.88715270001558,102.88715270001558,103.18172819999745,104.08135369999218,104.08135369999218,104.08135369999218,104.08135369999218,104.08135369999218,104.08135369999218,104.08135369999218,104.08135369999218,104.08135369999218,104.08135369999218,104.08135369999218,104.08135369999218,104.08135369999218,104.08135369999218,105.27962060002028,105.27962060002028,105.27962060002028,105.27962060002028,105.27962060002028,105.27962060002028,105.27962060002028,50,56,60,24,56,60,105.27962060002028,106.8805132000125,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
24,59,51,51,0,16,16,16,,,,,,,,,,,None,106.8805132000125,106.8805132000125,106.8805132000125,106.8805132000125,106.8805132000125,106.8805132000125,i,0.21154630000819452,107.11479690001579,107.11479690001579,107.11479690001579,107.11479690001579,107.11479690001579,107.11479690001579,107.41426180000417,108.83050290000392,108.83050290000392,108.83050290000392,108.83050290000392,108.83050290000392,108.83050290000392,108.83050290000392,108.83050290000392,108.83050290000392,108.83050290000392,108.83050290000392,108.83050290000392,108.83050290000392,108.83050290000392,110.54556679999223,110.54556679999223,110.54556679999223,110.54556679999223,110.54556679999223,110.54556679999223,110.54556679999223,51,51,59,24,59,60,110.54556679999223,112.51321440000902,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
15,64,53,56,0,17,17,17,,,,,,,,,,,None,112.51321440000902,112.51321440000902,112.51321440000902,112.51321440000902,112.51321440000902,112.51321440000902,i,0.2585125000041444,112.8006612000172,112.8006612000172,112.8006612000172,112.8006612000172,112.8006612000172,112.8006612000172,113.09661569999298,114.71315150000737,114.72960380002041,114.72960380002041,114.72960380002041,114.72960380002041,114.72960380002041,114.72960380002041,114.72960380002041,114.72960380002041,114.72960380002041,114.72960380002041,114.72960380002041,114.72960380002041,114.72960380002041,116.64425640000263,116.64425640000263,116.64425640000263,116.64425640000263,116.64425640000263,116.64425640000263,116.64425640000263,53,56,64,15,64,60,116.64425640000263,118.42865519999759,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
27,72,52,55,0,18,18,18,,,,,,,,,,,None,118.42865519999759,118.42865519999759,118.42865519999759,118.42865519999759,118.42865519999759,118.42865519999759,r,0.29271159999188967,118.74568920000456,118.74568920000456,118.74568920000456,118.74568920000456,118.74568920000456,118.74568920000456,119.04541570000583,121.01186460000463,121.01186460000463,121.01186460000463,121.01186460000463,121.01186460000463,121.01186460000463,121.01186460000463,121.01186460000463,121.01186460000463,121.01186460000463,121.01186460000463,121.01186460000463,121.01186460000463,121.01186460000463,123.27681470001698,123.27681470001698,123.27681470001698,123.27681470001698,123.27681470001698,123.27681470001698,123.27681470001698,52,55,72,27,55,60,123.27681470001698,125.14429870000458,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
31,69,51,63,0,19,19,19,,,,,,,,,,,None,125.14429870000458,125.14429870000458,125.14429870000458,125.14429870000458,125.14429870000458,125.14429870000458,i,0.19282510000630282,125.36246999999275,125.36246999999275,125.36246999999275,125.36246999999275,125.36246999999275,125.36246999999275,125.66141530001187,127.22787309999694,127.22787309999694,127.22787309999694,127.22787309999694,127.22787309999694,127.22787309999694,127.22787309999694,127.22787309999694,127.22787309999694,127.22787309999694,127.22787309999694,127.22787309999694,127.22787309999694,127.22787309999694,129.09205000000657,129.09205000000657,129.09205000000657,129.09205000000657,129.09205000000657,129.09205000000657,129.09205000000657,51,63,69,31,69,60,129.09205000000657,130.64373989999876,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
30,67,47,52,0,20,20,20,,,,,,,,,,,None,130.64373989999876,130.64373989999876,130.64373989999876,130.64373989999876,130.64373989999876,130.64373989999876,i,0.586197099997662,131.26265809999313,131.26265809999313,131.26265809999313,131.26265809999313,131.26265809999313,131.26265809999313,131.5602165000164,132.57636520001688,132.57636520001688,132.57636520001688,132.57636520001688,132.57636520001688,132.57636520001688,132.57636520001688,132.57636520001688,132.57636520001688,132.57636520001688,132.57636520001688,132.57636520001688,132.57636520001688,132.57636520001688,133.8911117000098,133.8911117000098,133.8911117000098,133.8911117000098,133.8911117000098,133.8911117000098,133.8911117000098,47,52,67,30,67,60,133.8911117000098,135.742087599996,,,,,,,,,,,,３４１,f,１９,2023-05-21_15h37.40.886,RL,2022.2.5,60.192809600810406,
