arm1,arm2,arm3,arm4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,image_2.started,text_2.started,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,docs.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,reward__sub.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,black_com.stopped,reward_sub.stopped,reward__sub.stopped,red_compare.stopped,green_com.stopped,yellow_com.stopped,blue_com.stopped,rewardred,rewardyellow,rewardblue,rewardgreen,subchoose,expectation,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image_expect_after.started,text_exp_after.started,image_expect_after.stopped,text_exp_after.stopped,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
60,54,61,63,0,107,107,107,,,,,,,,None,667.0614717998542,667.0614717998542,667.0614717998542,667.0614717998542,667.0614717998542,667.0614717998542,r,0.33300379989668727,667.4150495999493,667.4150495999493,667.4150495999493,667.4150495999493,667.4150495999493,667.4150495999493,667.7112046999391,668.9128371998668,668.9128371998668,668.9128371998668,668.9128371998668,668.9128371998668,668.9128371998668,668.9128371998668,668.9128371998668,668.9128371998668,668.9128371998668,668.9128371998668,668.9128371998668,668.9128371998668,668.9128371998668,670.411339199869,670.411339199869,670.411339199869,670.411339199869,670.411339199869,670.411339199869,670.411339199869,61,63,60,54,63,60,670.411339199869,672.3437922999728,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
59,56,52,59,0,108,108,108,,,,,,,,None,672.3437922999728,672.3437922999728,672.3437922999728,672.3437922999728,672.3437922999728,672.3437922999728,r,0.3763782000169158,672.7479832000099,672.7479832000099,672.7479832000099,672.7479832000099,672.7479832000099,672.7479832000099,673.027462599799,674.8928902999032,674.9097948998678,674.9097948998678,674.9097948998678,674.9097948998678,674.9097948998678,674.9097948998678,674.9097948998678,674.9097948998678,674.9097948998678,674.9097948998678,674.9097948998678,674.9097948998678,674.9097948998678,677.0770703000017,677.0770703000017,677.0770703000017,677.0770703000017,677.0770703000017,677.0770703000017,677.0770703000017,52,59,59,56,59,60,677.0770703000017,678.6758951998781,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
61,66,57,54,0,109,109,109,,,,,,,,None,678.6758951998781,678.6758951998781,678.6758951998781,678.6758951998781,678.6758951998781,678.6758951998781,f,0.41708009992726147,679.1292959998827,679.1292959998827,679.1292959998827,679.1292959998827,679.1292959998827,679.1292959998827,679.4095081000123,681.1589881998952,681.1757906998973,681.1757906998973,681.1757906998973,681.1757906998973,681.1757906998973,681.1757906998973,681.1757906998973,681.1757906998973,681.1757906998973,681.1757906998973,681.1757906998973,681.1757906998973,681.1757906998973,683.225378499832,683.225378499832,683.225378499832,683.225378499832,683.225378499832,683.225378499832,683.225378499832,57,54,61,66,57,60,683.225378499832,684.8915808999445,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
59,57,60,52,0,110,110,110,,,,,,,,None,684.8915808999445,684.8915808999445,684.8915808999445,684.8915808999445,684.8915808999445,684.8915808999445,j,0.3714346999768168,685.3007441998925,685.3007441998925,685.3007441998925,685.3007441998925,685.3007441998925,685.3007441998925,685.5917269999627,687.524730999954,687.5414748999756,687.5414748999756,687.5414748999756,687.5414748999756,687.5414748999756,687.5414748999756,687.5414748999756,687.5414748999756,687.5414748999756,687.5414748999756,687.5414748999756,687.5414748999756,687.5414748999756,689.7744419998489,689.7744419998489,689.7744419998489,689.7744419998489,689.7744419998489,689.7744419998489,689.7744419998489,60,52,59,57,57,60,689.7744419998489,691.4906012997963,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
60,58,68,54,0,111,111,111,,,,,,,,None,691.4906012997963,691.4906012997963,691.4906012997963,691.4906012997963,691.4906012997963,691.4906012997963,r,0.5040814999956638,692.0283878999762,692.0283878999762,692.0283878999762,692.0283878999762,692.0283878999762,692.0283878999762,692.3242781998124,693.4576669000089,693.4748048998881,693.4748048998881,693.4748048998881,693.4748048998881,693.4748048998881,693.4748048998881,693.4748048998881,693.4748048998881,693.4748048998881,693.4748048998881,693.4748048998881,693.4748048998881,693.4748048998881,694.9059558999725,694.9059558999725,694.9059558999725,694.9059558999725,694.9059558999725,694.9059558999725,694.9059558999725,68,54,60,58,54,60,694.9059558999725,696.7397636999376,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
57,62,64,51,0,112,112,112,,,,,,,,None,696.7397636999376,696.7397636999376,696.7397636999376,696.7397636999376,696.7397636999376,696.7397636999376,f,0.38179440004751086,697.1536116998177,697.1536116998177,697.1536116998177,697.1536116998177,697.1536116998177,697.1536116998177,697.4390153998975,699.2390721999109,699.2552983998321,699.2552983998321,699.2552983998321,699.2552983998321,699.2552983998321,699.2552983998321,699.2552983998321,699.2552983998321,699.2552983998321,699.2552983998321,699.2552983998321,699.2552983998321,699.2552983998321,701.3551801999565,701.3551801999565,701.3551801999565,701.3551801999565,701.3551801999565,701.3551801999565,701.3551801999565,64,51,57,62,64,60,701.3551801999565,703.2890558999497,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
64,66,65,42,0,113,113,113,,,,,,,,None,703.2890558999497,703.2890558999497,703.2890558999497,703.2890558999497,703.2890558999497,703.2890558999497,f,0.38184809987433255,703.6919448999688,703.6919448999688,703.6919448999688,703.6919448999688,703.6919448999688,703.6919448999688,703.9722431998234,705.52132109995,705.5371902999468,705.5371902999468,705.5371902999468,705.5371902999468,705.5371902999468,705.5371902999468,705.5371902999468,705.5371902999468,705.5371902999468,705.5371902999468,705.5371902999468,705.5371902999468,705.5371902999468,707.3874803998042,707.3874803998042,707.3874803998042,707.3874803998042,707.3874803998042,707.3874803998042,707.3874803998042,65,42,64,66,65,60,707.3874803998042,709.0866296999156,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
57,57,64,44,0,114,114,114,,,,,,,,None,709.0866296999156,709.0866296999156,709.0866296999156,709.0866296999156,709.0866296999156,709.0866296999156,f,0.35643510008230805,709.4736426998861,709.4736426998861,709.4736426998861,709.4736426998861,709.4736426998861,709.4736426998861,709.7546539998148,710.9033122998662,710.9200933999382,710.9200933999382,710.9200933999382,710.9200933999382,710.9200933999382,710.9200933999382,710.9200933999382,710.9200933999382,710.9200933999382,710.9200933999382,710.9200933999382,710.9200933999382,710.9200933999382,712.3708338998258,712.3708338998258,712.3708338998258,712.3708338998258,712.3708338998258,712.3708338998258,712.3708338998258,64,44,57,57,64,60,712.3708338998258,714.1196788998786,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
60,61,65,42,0,115,115,115,,,,,,,,None,714.1196788998786,714.1196788998786,714.1196788998786,714.1196788998786,714.1196788998786,714.1196788998786,f,0.5635254001244903,714.7115390999243,714.7115390999243,714.7115390999243,714.7115390999243,714.7115390999243,714.7115390999243,715.0034367998596,715.9521434998605,715.9521434998605,715.9521434998605,715.9521434998605,715.9521434998605,715.9521434998605,715.9521434998605,715.9521434998605,715.9521434998605,715.9521434998605,715.9521434998605,715.9521434998605,715.9521434998605,715.9521434998605,717.1866241998505,717.1866241998505,717.1866241998505,717.1866241998505,717.1866241998505,717.1866241998505,717.1866241998505,65,42,60,61,65,60,717.1866241998505,718.8196262000129,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
65,70,67,52,0,116,116,116,,,,,,,,None,718.8196262000129,718.8196262000129,718.8196262000129,718.8196262000129,718.8196262000129,718.8196262000129,f,0.43711899989284575,719.2896797999274,719.2896797999274,719.2896797999274,719.2896797999274,719.2896797999274,719.2896797999274,719.5697535998188,721.3526212999132,721.3701734999195,721.3701734999195,721.3701734999195,721.3701734999195,721.3701734999195,721.3701734999195,721.3701734999195,721.3701734999195,721.3701734999195,721.3701734999195,721.3701734999195,721.3701734999195,721.3701734999195,723.4522433998063,723.4522433998063,723.4522433998063,723.4522433998063,723.4522433998063,723.4522433998063,723.4522433998063,67,52,65,70,67,60,723.4522433998063,724.9848252998199,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
59,61,70,42,0,117,117,117,,,,,,,,None,724.9848252998199,724.9848252998199,724.9848252998199,724.9848252998199,724.9848252998199,724.9848252998199,f,0.4383327001705766,725.4571532998234,725.4571532998234,725.4571532998234,725.4571532998234,725.4571532998234,725.4571532998234,725.7514627999626,727.6183333999943,727.6364750999492,727.6364750999492,727.6364750999492,727.6364750999492,727.6364750999492,727.6364750999492,727.6364750999492,727.6364750999492,727.6364750999492,727.6364750999492,727.6364750999492,727.6364750999492,727.6364750999492,729.8175303000025,729.8175303000025,729.8175303000025,729.8175303000025,729.8175303000025,729.8175303000025,729.8175303000025,70,42,59,61,70,60,729.8175303000025,731.4674327999819,,,,,,,,,,,001,f,23,2023-05-13_12h06.36.688,RL,2022.2.5,60.057462942665616,
