bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_img1.stopped,instru_resp.keys,instru_resp.rt,instru_resp.started,instru_resp.stopped,instru_img2.started,instru_img2.stopped,instru_resp2.keys,instru_resp2.rt,instru_resp2.started,instru_resp2.stopped,fixbefore_2.started,fixbefore_2.stopped,rest_image.started,rest_image.stopped,rest_response.keys,rest_response.started,rest_response.stopped,red.started,red.stopped,green.started,green.stopped,yellow.started,yellow.stopped,blue.started,blue.stopped,choose_bandit.keys,choose_bandit.rt,choose_bandit.started,choose_bandit.stopped,Fixation.started,Fixation.stopped,black.started,black.stopped,red_2.started,red_2.stopped,green_2.started,green_2.stopped,yellow_2.started,yellow_2.stopped,blue_2.started,blue_2.stopped,fixation_2.started,fixation_2.stopped,docs.started,docs.stopped,image_2.started,image_2.stopped,black_com.started,black_com.stopped,reward_sub.started,reward_sub.stopped,palyerb.started,palyerb.stopped,reward__sub.started,reward__sub.stopped,compare.started,compare.stopped,red_compare.started,red_compare.stopped,green_com.started,green_com.stopped,yellow_com.started,yellow_com.stopped,blue_com.started,blue_com.stopped,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,image_3.started,image_3.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,bigx.started,bigx.stopped,intertrialfix.started,intertrialfix.stopped,rest_response.rt,image.started,image.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
1,112,0,112,0,,,,,,,,,,,,,,,None,None,None,None,None,1865.252373999916,None,1865.252373999916,None,1865.252373999916,None,1865.252373999916,None,i,0.36826019966974854,1865.252373999916,None,1865.252373999916,None,1865.661322900094,None,1865.661322900094,None,1865.661322900094,None,1865.661322900094,None,1865.661322900094,None,1865.661322900094,None,1865.9505342999473,None,1865.9505342999473,None,1867.9143290999345,None,1867.9143290999345,None,1867.9143290999345,None,1867.9143290999345,None,1867.9143290999345,None,1867.9143290999345,None,1867.9143290999345,None,1867.9143290999345,None,1867.9143290999345,None,51,44,70,68,70,53,1870.4246092000976,None,7.0,0.8071396998129785,1870.4246092000976,None,1870.4246092000976,None,1870.4246092000976,None,1870.4246092000976,None,None,None,1871.2517647002824,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,113,0,113,0,,,,,,,,,,,,,,,None,None,None,None,None,1873.2137040998787,None,1873.2137040998787,None,1873.2137040998787,None,1873.2137040998787,None,i,0.23348679998889565,1873.2137040998787,None,1873.2137040998787,None,1873.4735671998933,None,1873.4735671998933,None,1873.4735671998933,None,1873.4735671998933,None,1873.4735671998933,None,1873.4735671998933,None,1873.7626010002568,1875.7403644002043,1873.7626010002568,1875.7403644002043,1875.7614540001377,None,1875.7614540001377,None,1875.7614540001377,None,1875.7614540001377,None,1875.7614540001377,None,1875.7614540001377,None,1875.7614540001377,None,1875.7614540001377,None,1875.7614540001377,None,47,45,64,60,64,31,1878.2710123001598,None,7.0,1.6707180999219418,1878.2710123001598,None,1878.2710123001598,None,1878.2710123001598,None,1878.2710123001598,None,None,None,1879.9615984000266,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,114,0,114,0,,,,,,,,,,,,,,,None,None,None,None,None,1881.8073303001001,None,1881.8073303001001,None,1881.8073303001001,None,1881.8073303001001,None,i,0.22119939979165792,1881.8073303001001,None,1881.8073303001001,None,1882.0690077003092,None,1882.0690077003092,None,1882.0690077003092,None,1882.0690077003092,None,1882.0690077003092,None,1882.0690077003092,None,1882.3562679998577,1883.7023032000288,1882.3562679998577,1883.7023032000288,1883.724446600303,None,1883.724446600303,None,1883.724446600303,None,1883.724446600303,None,1883.724446600303,None,1883.724446600303,None,1883.724446600303,None,1883.724446600303,None,1883.724446600303,None,41,51,74,80,74,42,1886.2326994002797,None,7.0,0.491177000105381,1886.2326994002797,None,1886.2326994002797,None,1886.2326994002797,None,1886.2326994002797,None,None,None,1886.7428441001102,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,115,0,115,0,,,,,,,,,,,,,,,None,None,None,None,None,1888.4886233001016,None,1888.4886233001016,None,1888.4886233001016,None,1888.4886233001016,None,i,0.3592584999278188,1888.4886233001016,None,1888.4886233001016,None,1888.8824964002706,None,1888.8824964002706,None,1888.8824964002706,None,1888.8824964002706,None,1888.8824964002706,None,1888.8824964002706,None,1889.1705109998584,1890.6496862000786,1889.1705109998584,1890.6496862000786,1890.6705876002088,None,1890.6705876002088,None,1890.6705876002088,None,1890.6705876002088,None,1890.6705876002088,None,1890.6705876002088,None,1890.6705876002088,None,1890.6705876002088,None,1890.6705876002088,None,45,57,65,74,65,50,1893.1802999000065,None,7.0,0.6575321997515857,1893.1802999000065,None,1893.1802999000065,None,1893.1802999000065,None,1893.1802999000065,None,None,None,1893.8571723001078,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,116,0,116,0,,,,,,,,,,,,,,,None,None,None,None,None,1895.8185725999065,None,1895.8185725999065,None,1895.8185725999065,None,1895.8185725999065,None,i,0.4636244000867009,1895.8185725999065,None,1895.8185725999065,None,1896.3140703998506,None,1896.3140703998506,None,1896.3140703998506,None,1896.3140703998506,None,1896.3140703998506,None,1896.3140703998506,None,1896.600325500127,1897.6139623001218,1896.600325500127,1897.6139623001218,1897.63459650008,None,1897.63459650008,None,1897.63459650008,None,1897.63459650008,None,1897.63459650008,None,1897.63459650008,None,1897.63459650008,None,1897.63459650008,None,1897.63459650008,None,46,51,72,77,72,48,1900.145800600294,None,7.0,0.39125150023028255,1900.145800600294,None,1900.145800600294,None,1900.145800600294,None,1900.145800600294,None,None,None,1900.5550285000354,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,117,0,117,0,,,,,,,,,,,,,,,None,None,None,None,None,1902.2680832999758,None,1902.2680832999758,None,1902.2680832999758,None,1902.2680832999758,None,i,0.23915270017459989,1902.2680832999758,None,1902.2680832999758,None,1902.546025800053,None,1902.546025800053,None,1902.546025800053,None,1902.546025800053,None,1902.546025800053,None,1902.546025800053,None,1902.8332803002559,None,1902.8332803002559,None,1904.7310687000863,None,1904.7310687000863,None,1904.7310687000863,None,1904.7310687000863,None,1904.7310687000863,None,1904.7310687000863,None,1904.7310687000863,None,1904.7310687000863,None,1904.7310687000863,None,51,50,64,82,64,30,1907.2408815999515,None,6.0,0.4750423999503255,1907.2408815999515,None,1907.2408815999515,None,1907.2408815999515,None,1907.2408815999515,None,None,None,1907.7355809998699,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,118,0,118,0,,,,,,,,,,,,,,,None,None,None,None,None,1909.2487126002088,None,1909.2487126002088,None,1909.2487126002088,None,1909.2487126002088,None,i,0.23280439991503954,1909.2487126002088,None,1909.2487126002088,None,1909.5101107000373,None,1909.5101107000373,None,1909.5101107000373,None,1909.5101107000373,None,1909.5101107000373,None,1909.5101107000373,None,1909.7975909002125,None,1909.7975909002125,None,1910.9981959001161,None,1910.9981959001161,None,1910.9981959001161,None,1910.9981959001161,None,1910.9981959001161,None,1910.9981959001161,None,1910.9981959001161,None,1910.9981959001161,None,1910.9981959001161,None,54,46,69,74,69,37,1913.5097248000093,None,7.0,0.4903295999392867,1913.5097248000093,None,1913.5097248000093,None,1913.5097248000093,None,1913.5097248000093,None,None,None,1914.0184638001956,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,119,0,119,0,,,,,,,,,,,,,,,None,None,None,None,None,1915.7309844000265,None,1915.7309844000265,None,1915.7309844000265,None,1915.7309844000265,None,i,0.23563909996300936,1915.7309844000265,None,1915.7309844000265,None,1916.0086384001188,None,1916.0086384001188,None,1916.0086384001188,None,1916.0086384001188,None,1916.0086384001188,None,1916.0086384001188,None,1916.2967440001667,1917.5267099002376,1916.2967440001667,1917.5267099002376,1917.549712399952,None,1917.549712399952,None,1917.549712399952,None,1917.549712399952,None,1917.549712399952,None,1917.549712399952,None,1917.549712399952,None,1917.549712399952,None,1917.549712399952,None,43,44,64,73,64,52,1920.058756600134,None,6.0,0.7407827000133693,1920.058756600134,None,1920.058756600134,None,1920.058756600134,None,1920.058756600134,None,None,None,1920.8163589001633,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,120,0,120,0,,,,,,,,,,,,,,,None,None,None,None,None,1922.5790144000202,None,1922.5790144000202,None,1922.5790144000202,None,1922.5790144000202,None,i,0.3469036999158561,1922.5790144000202,None,1922.5790144000202,None,1922.9574442999437,None,1922.9574442999437,None,1922.9574442999437,None,1922.9574442999437,None,1922.9574442999437,None,1922.9574442999437,None,1923.2444617999718,None,1923.2444617999718,None,1925.1097393999808,None,1925.1097393999808,None,1925.1097393999808,None,1925.1097393999808,None,1925.1097393999808,None,1925.1097393999808,None,1925.1097393999808,None,1925.1097393999808,None,1925.1097393999808,None,48,35,62,79,62,49,1927.619463100098,None,6.0,0.5415117000229657,1927.619463100098,None,1927.619463100098,None,1927.619463100098,None,1927.619463100098,None,None,None,1928.1796384998597,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,121,0,121,0,,,,,,,,,,,,,,,None,None,None,None,None,1929.8428433001973,None,1929.8428433001973,None,1929.8428433001973,None,1929.8428433001973,None,i,0.25266760028898716,1929.8428433001973,None,1929.8428433001973,None,1930.135867900215,None,1930.135867900215,None,1930.135867900215,None,1930.135867900215,None,1930.135867900215,None,1930.135867900215,None,1930.42488340009,None,1930.42488340009,None,1932.1561929001473,None,1932.1561929001473,None,1932.1561929001473,None,1932.1561929001473,None,1932.1561929001473,None,1932.1561929001473,None,1932.1561929001473,None,1932.1561929001473,None,1932.1561929001473,None,44,51,60,85,60,35,1934.6670277998783,None,6.0,0.37530469987541437,1934.6670277998783,None,1934.6670277998783,None,1934.6670277998783,None,1934.6670277998783,None,None,None,1935.0608720001765,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,122,0,122,0,,,,,,,,,,,,,,,None,None,None,None,None,1936.757071299944,None,1936.757071299944,None,1936.757071299944,None,1936.757071299944,None,i,0.28327189991250634,1936.757071299944,None,1936.757071299944,None,1937.0685944999568,None,1937.0685944999568,None,1937.0685944999568,None,1937.0685944999568,None,1937.0685944999568,None,1937.0685944999568,None,1937.3561253002845,1938.187082100194,1937.3561253002845,1938.187082100194,1938.2083526002243,None,1938.2083526002243,None,1938.2083526002243,None,1938.2083526002243,None,1938.2083526002243,None,1938.2083526002243,None,1938.2083526002243,None,1938.2083526002243,None,1938.2083526002243,None,41,44,67,82,67,33,1940.7192354998551,None,7.0,0.7712763003073633,1940.7192354998551,None,1940.7192354998551,None,1940.7192354998551,None,1940.7192354998551,None,None,None,1941.5102192000486,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,123,0,123,0,,,,,,,,,,,,,,,None,None,None,None,None,1943.0567954001017,None,1943.0567954001017,None,1943.0567954001017,None,1943.0567954001017,None,i,0.2795119001530111,1943.0567954001017,None,1943.0567954001017,None,1943.3685117000714,None,1943.3685117000714,None,1943.3685117000714,None,1943.3685117000714,None,1943.3685117000714,None,1943.3685117000714,None,1943.6559065999463,None,1943.6559065999463,None,1945.3695461000316,None,1945.3695461000316,None,1945.3695461000316,None,1945.3695461000316,None,1945.3695461000316,None,1945.3695461000316,None,1945.3695461000316,None,1945.3695461000316,None,1945.3695461000316,None,44,49,65,88,65,28,1947.8796463999897,None,7.0,0.6775802001357079,1947.8796463999897,None,1947.8796463999897,None,1947.8796463999897,None,1947.8796463999897,None,None,None,1948.5744477002881,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,124,0,124,0,,,,,,,,,,,,,,,None,None,None,None,None,1950.2869128002785,None,1950.2869128002785,None,1950.2869128002785,None,1950.2869128002785,None,i,0.2693930002860725,1950.2869128002785,None,1950.2869128002785,None,1950.596567099914,None,1950.596567099914,None,1950.596567099914,None,1950.596567099914,None,1950.596567099914,None,1950.596567099914,None,1950.8859397000633,1952.6477295998484,1950.8859397000633,1952.6477295998484,1952.6688180002384,None,1952.6688180002384,None,1952.6688180002384,None,1952.6688180002384,None,1952.6688180002384,None,1952.6688180002384,None,1952.6688180002384,None,1952.6688180002384,None,1952.6688180002384,None,54,47,68,83,68,38,1955.1797791002318,None,7.0,0.38920130021870136,1955.1797791002318,None,1955.1797791002318,None,1955.1797791002318,None,1955.1797791002318,None,None,None,1955.5884807999246,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,125,0,125,0,,,,,,,,,,,,,,,None,None,None,None,None,1957.1514277001843,None,1957.1514277001843,None,1957.1514277001843,None,1957.1514277001843,None,i,0.2684177001938224,1957.1514277001843,None,1957.1514277001843,None,1957.447705599945,None,1957.447705599945,None,1957.447705599945,None,1957.447705599945,None,1957.447705599945,None,1957.447705599945,None,1957.7340831998736,1959.711185300257,1957.7340831998736,1959.711185300257,1959.732358300127,None,1959.732358300127,None,1959.732358300127,None,1959.732358300127,None,1959.732358300127,None,1959.732358300127,None,1959.732358300127,None,1959.732358300127,None,1959.732358300127,None,46,44,64,80,64,47,1962.2458363999613,None,6.0,1.9662255998700857,1962.2458363999613,None,1962.2458363999613,None,1962.2458363999613,None,1962.2458363999613,None,None,None,1964.2315056002699,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,126,0,126,0,,,,,,,,,,,,,,,None,None,None,None,None,1965.7615763000213,None,1965.7615763000213,None,1965.7615763000213,None,1965.7615763000213,None,i,0.8604981997050345,1965.7615763000213,None,1965.7615763000213,None,1966.6532176001929,None,1966.6532176001929,None,1966.6532176001929,None,1966.6532176001929,None,1966.6532176001929,None,1966.6532176001929,None,1966.9421434001997,None,1966.9421434001997,None,1967.8253965000622,None,1967.8253965000622,None,1967.8253965000622,None,1967.8253965000622,None,1967.8253965000622,None,1967.8253965000622,None,1967.8253965000622,None,1967.8253965000622,None,1967.8253965000622,None,41,55,68,85,68,30,1970.337211499922,None,7.0,0.6561791999265552,1970.337211499922,None,1970.337211499922,None,1970.337211499922,None,1970.337211499922,None,None,None,1971.012973099947,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,127,0,127,0,,,,,,,,,,,,,,,None,None,None,None,None,1972.6756624998525,None,1972.6756624998525,None,1972.6756624998525,None,1972.6756624998525,None,i,0.2710996000096202,1972.6756624998525,None,1972.6756624998525,None,1972.9865770000033,None,1972.9865770000033,None,1972.9865770000033,None,1972.9865770000033,None,1972.9865770000033,None,1972.9865770000033,None,1973.2742836000398,1974.221969900187,1973.2742836000398,1974.221969900187,1974.2419676999561,None,1974.2419676999561,None,1974.2419676999561,None,1974.2419676999561,None,1974.2419676999561,None,1974.2419676999561,None,1974.2419676999561,None,1974.2419676999561,None,1974.2419676999561,None,42,48,69,76,69,46,1976.75183199998,None,7.0,0.3943149000406265,1976.75183199998,None,1976.75183199998,None,1976.75183199998,None,1976.75183199998,None,None,None,1977.1628046999685,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,128,0,128,0,,,,,,,,,,,,,,,None,None,None,None,None,1978.8091305000708,None,1978.8091305000708,None,1978.8091305000708,None,1978.8091305000708,None,i,0.2591476999223232,1978.8091305000708,None,1978.8091305000708,None,1979.1060385000892,None,1979.1060385000892,None,1979.1060385000892,None,1979.1060385000892,None,1979.1060385000892,None,1979.1060385000892,None,1979.3912949999794,1980.4879475003108,1979.3912949999794,1980.4879475003108,1980.509415499866,None,1980.509415499866,None,1980.509415499866,None,1980.509415499866,None,1980.509415499866,None,1980.509415499866,None,1980.509415499866,None,1980.509415499866,None,1980.509415499866,None,43,50,56,74,56,34,1983.0200907001272,None,5.0,1.3380312002263963,1983.0200907001272,None,1983.0200907001272,None,1983.0200907001272,None,1983.0200907001272,None,None,None,1984.376495399978,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,129,0,129,0,,,,,,,,,,,,,,,None,None,None,None,None,1986.006054500118,None,1986.006054500118,None,1986.006054500118,None,1986.006054500118,None,j,0.4424062999896705,1986.006054500118,None,1986.006054500118,None,1986.4844180000946,None,1986.4844180000946,None,1986.4844180000946,None,1986.4844180000946,None,1986.4844180000946,None,1986.4844180000946,None,1986.7709741001017,1987.9676824999042,1986.7709741001017,1987.9676824999042,1987.9880850999616,None,1987.9880850999616,None,1987.9880850999616,None,1987.9880850999616,None,1987.9880850999616,None,1987.9880850999616,None,1987.9880850999616,None,1987.9880850999616,None,1987.9880850999616,None,44,50,67,73,73,46,1990.4992141001858,None,7.0,0.8556972001679242,1990.4992141001858,None,1990.4992141001858,None,1990.4992141001858,None,1990.4992141001858,None,None,None,1991.3738561002538,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
1,130,0,130,0,,,,,,,,,,,,,,,None,None,None,None,None,1992.9041110002436,None,1992.9041110002436,None,1992.9041110002436,None,1992.9041110002436,None,j,0.2685619997791946,1992.9041110002436,None,1992.9041110002436,None,1993.2155003002845,None,1993.2155003002845,None,1993.2155003002845,None,1993.2155003002845,None,1993.2155003002845,None,1993.2155003002845,None,1993.5027223001234,1995.3309463001788,1993.5027223001234,1995.3309463001788,1995.3523287000135,None,1995.3523287000135,None,1995.3523287000135,None,1995.3523287000135,None,1995.3523287000135,None,1995.3523287000135,None,1995.3523287000135,None,1995.3523287000135,None,1995.3523287000135,None,45,44,61,72,72,50,1997.8638575999066,None,7.0,0.3721886998973787,1997.8638575999066,None,1997.8638575999066,None,1997.8638575999066,None,1997.8638575999066,None,None,None,1998.2556135999039,None,,,,,,,138,f,22,2022_Dec_13_1336,RL,2021.2.3,60.17426476477965,
