bandit,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instru_img1.started,instru_resp.started,instru_resp.keys,instru_resp.rt,instru_img2.started,instru_resp2.started,instru_resp2.keys,instru_resp2.rt,fixbefore_2.started,rest_response.keys,red.started,green.started,yellow.started,blue.started,choose_bandit.started,Fixation.started,choose_bandit.keys,choose_bandit.rt,black.started,red_2.started,green_2.started,yellow_2.started,blue_2.started,fixation_2.started,docs.started,image_2.started,docs.stopped,image_2.stopped,black.stopped,red_2.stopped,green_2.stopped,yellow_2.stopped,blue_2.stopped,fixation_2.stopped,black_com.started,reward_sub.started,palyerb.started,reward__sub.started,compare.started,red_compare.started,green_com.started,yellow_com.started,blue_com.started,image_3.started,slider.started,text.started,image_4.started,image_5.started,rewardyellow,rewardred,rewardblue,rewardgreen,subchoose,playerb,slider.response,slider.rt,intertrialfix.started,intertrialfix.stopped,rest_image.started,rest_response.started,rest_response.rt,image.started,key_resp.started,key_resp.keys,participant,Gender,Age,date,expName,psychopyVersion,frameRate,
,,,,,12.406043199822307,12.406043199822307,space,1.4888165998272598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
,,,,,,,,,13.925319400150329,13.925319400150329,space,4.1413491000421345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,61,0,61,0,,,,,,,,,,None,523.8931927001104,523.8931927001104,523.8931927001104,523.8931927001104,523.8931927001104,523.8931927001104,f,0.5636287997476757,524.4768909001723,524.4768909001723,524.4768909001723,524.4768909001723,524.4768909001723,524.4768909001723,524.7743530999869,524.7743530999869,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,525.6884594997391,528.1976360999979,528.1976360999979,528.1976360999979,528.1976360999979,528.1976360999979,40,85,26,61,85,66,3.0,1.4114475999958813,529.6266772998497,531.5221445998177,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,62,0,62,0,,,,,,,,,,None,531.5221445998177,531.5221445998177,531.5221445998177,531.5221445998177,531.5221445998177,531.5221445998177,f,0.5583327002823353,532.1060131001286,532.1060131001286,532.1060131001286,532.1060131001286,532.1060131001286,532.1060131001286,532.4031973001547,532.4031973001547,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,533.7498455001041,536.2592015000992,536.2592015000992,536.2592015000992,536.2592015000992,536.2592015000992,46,72,33,55,72,57,3.0,1.3621147000230849,537.638125100173,539.4340935000218,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,63,0,63,0,,,,,,,,,,None,539.4340935000218,539.4340935000218,539.4340935000218,539.4340935000218,539.4340935000218,539.4340935000218,f,0.40882569970563054,539.8710477999412,539.8710477999412,539.8710477999412,539.8710477999412,539.8710477999412,539.8710477999412,540.1656065997668,540.1656065997668,541.910859500058,541.910859500058,541.910859500058,541.910859500058,541.910859500058,541.910859500058,541.910859500058,541.910859500058,541.910859500058,541.910859500058,541.910859500058,541.910859500058,541.910859500058,541.910859500058,541.910859500058,541.910859500058,541.910859500058,544.4196910997853,544.4196910997853,544.4196910997853,544.4196910997853,544.4196910997853,48,70,27,66,70,31,3.0,1.2950989003293216,545.7331028999761,547.5618799999356,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,64,0,64,0,,,,,,,,,,None,547.5618799999356,547.5618799999356,547.5618799999356,547.5618799999356,547.5618799999356,547.5618799999356,f,0.538900800049305,548.129595299717,548.129595299717,548.129595299717,548.129595299717,548.129595299717,548.129595299717,548.4261774998158,548.4261774998158,549.77247599978,549.77247599978,549.77247599978,549.77247599978,549.77247599978,549.77247599978,549.77247599978,549.77247599978,549.77247599978,549.77247599978,549.77247599978,549.77247599978,549.77247599978,549.77247599978,549.77247599978,549.77247599978,549.77247599978,552.2817090000026,552.2817090000026,552.2817090000026,552.2817090000026,552.2817090000026,48,73,18,60,73,54,3.0,1.1795304999686778,553.4785909997299,555.2409576000646,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,65,0,65,0,,,,,,,,,,None,555.2409576000646,555.2409576000646,555.2409576000646,555.2409576000646,555.2409576000646,555.2409576000646,f,0.6665330999530852,555.941168199759,555.941168199759,555.941168199759,555.941168199759,555.941168199759,555.941168199759,556.238477199804,556.238477199804,557.7177552999929,557.7177552999929,557.7343192999251,557.7343192999251,557.7343192999251,557.7343192999251,557.7343192999251,557.7343192999251,557.7343192999251,557.7343192999251,557.7343192999251,557.7343192999251,557.7343192999251,557.7343192999251,557.7343192999251,557.7343192999251,557.7343192999251,560.2437259000726,560.2437259000726,560.2437259000726,560.2437259000726,560.2437259000726,54,68,30,71,68,49,3.0,1.462508499622345,561.7225701999851,563.5347587000579,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,66,0,66,0,,,,,,,,,,None,563.5347587000579,563.5347587000579,563.5347587000579,563.5347587000579,563.5347587000579,563.5347587000579,f,0.5317640001885593,564.1019751001149,564.1019751001149,564.1019751001149,564.1019751001149,564.1019751001149,564.1019751001149,564.3998014000244,564.3998014000244,565.2804652000777,565.2804652000777,565.2967769997194,565.2967769997194,565.2967769997194,565.2967769997194,565.2967769997194,565.2967769997194,565.2967769997194,565.2967769997194,565.2967769997194,565.2967769997194,565.2967769997194,565.2967769997194,565.2967769997194,565.2967769997194,565.2967769997194,567.8058885000646,567.8058885000646,567.8058885000646,567.8058885000646,567.8058885000646,46,73,28,66,73,50,3.0,1.7104550004005432,569.53472399991,571.047628399916,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,67,0,67,0,,,,,,,,,,None,571.047628399916,571.047628399916,571.047628399916,571.047628399916,571.047628399916,571.047628399916,f,0.6817256999202073,571.7475653998554,571.7475653998554,571.7475653998554,571.7475653998554,571.7475653998554,571.7475653998554,572.045340300072,572.045340300072,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,573.4748488999903,575.9836836000904,575.9836836000904,575.9836836000904,575.9836836000904,575.9836836000904,52,74,26,72,74,45,3.0,1.3292494001798332,577.3301408998668,579.0594684998505,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,68,0,68,0,,,,,,,,,,None,579.0594684998505,579.0594684998505,579.0594684998505,579.0594684998505,579.0594684998505,579.0594684998505,f,0.7176156998611987,579.8129337998107,579.8129337998107,579.8129337998107,579.8129337998107,579.8129337998107,579.8129337998107,580.1063987999223,580.1063987999223,581.934714899864,581.934714899864,581.9519662000239,581.9519662000239,581.9519662000239,581.9519662000239,581.9519662000239,581.9519662000239,581.9519662000239,581.9519662000239,581.9519662000239,581.9519662000239,581.9519662000239,581.9519662000239,581.9519662000239,581.9519662000239,581.9519662000239,584.4609910999425,584.4609910999425,584.4609910999425,584.4609910999425,584.4609910999425,48,69,33,72,69,59,3.0,1.3784567001275718,585.8567463997751,587.8519472000189,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,69,0,69,0,,,,,,,,,,None,587.8519472000189,587.8519472000189,587.8519472000189,587.8519472000189,587.8519472000189,587.8519472000189,f,0.7366434000432491,588.6191206998192,588.6191206998192,588.6191206998192,588.6191206998192,588.6191206998192,588.6191206998192,588.9158320999704,588.9158320999704,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,590.3624309999868,592.871150800027,592.871150800027,592.871150800027,592.871150800027,592.871150800027,56,77,28,72,77,62,3.0,1.5780869000591338,594.4666292001493,596.2958367001265,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
1,70,0,70,0,,,,,,,,,,None,596.2958367001265,596.2958367001265,596.2958367001265,596.2958367001265,596.2958367001265,596.2958367001265,f,0.44122029980644584,596.7634958000854,596.7634958000854,596.7634958000854,596.7634958000854,596.7634958000854,596.7634958000854,597.0601915000007,597.0601915000007,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,598.5063523999415,601.0153020997532,601.0153020997532,601.0153020997532,601.0153020997532,601.0153020997532,56,89,28,71,89,47,4.0,1.6775294998660684,602.711215000134,604.5898359999992,,,,,,,123,f,1,2022-12-12_10h30.00.408,RL,2022.2.4,60.1468304121114,
